Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Radish,Cordillera Administrative Region (CAR),Abra,1400100000,0.00,0.00,0.00,0.00,0.00,0.05,0.00
Radish,Cordillera Administrative Region (CAR),Apayao,1408100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Cordillera Administrative Region (CAR),Benguet,1401100000,1268.73,1221.62,1229.90,1438.26,2637.65,2656.22,949.25
Radish,Cordillera Administrative Region (CAR),Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Cordillera Administrative Region (CAR),Kalinga,1403200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Cordillera Administrative Region (CAR),Mountain Province,1404400000,119.77,122.22,129.53,122.03,112.52,100.43,6.27
Radish,Region I (Ilocos Region),Ilocos Norte,102800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region I (Ilocos Region),Ilocos Sur,102900000,10.40,9.33,9.75,6.38,4.13,0.00,0.00
Radish,Region I (Ilocos Region),La Union,103300000,0.45,0.42,0.46,0.51,0.00,0.00,0.00
Radish,Region I (Ilocos Region),Pangasinan,105500000,39.27,37.09,37.35,35.20,33.11,21.17,17.56
Radish,Region II (Cagayan Valley),Batanes,200900000,0.03,0.03,0.05,0.00,0.03,0.13,0.09
Radish,Region II (Cagayan Valley),Cagayan,201500000,28.54,34.19,33.40,47.17,41.55,40.50,35.37
Radish,Region II (Cagayan Valley),Isabela,203100000,10.92,7.57,6.86,4.62,0.23,4.20,3.78
Radish,Region II (Cagayan Valley),Nueva Vizcaya,205000000,77.53,74.94,74.25,77.10,65.88,64.70,55.24
Radish,Region II (Cagayan Valley),Quirino,205700000,7.65,7.79,7.57,5.69,2.11,0.47,0.00
Radish,Region III (Central Luzon),Aurora,307700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region III (Central Luzon),Bataan,300800000,3.19,3.30,1.00,0.00,0.25,0.00,0.00
Radish,Region III (Central Luzon),Bulacan,301400000,143.85,144.64,176.87,167.55,151.70,68.16,70.59
Radish,Region III (Central Luzon),Nueva Ecija,304900000,163.84,158.09,145.24,138.91,122.38,82.55,26.30
Radish,Region III (Central Luzon),Pampanga,305400000,121.16,122.00,119.91,121.81,122.79,121.37,67.15
Radish,Region III (Central Luzon),Tarlac,306900000,65.50,65.10,60.40,63.23,62.65,37.60,23.67
Radish,Region III (Central Luzon),Zambales,307100000,58.54,57.71,59.20,58.39,45.27,0.00,0.00
Radish,Region IV-A (CALABARZON),Batangas,401000000,24.80,27.18,33.92,37.20,45.80,51.50,50.35
Radish,Region IV-A (CALABARZON),Cavite,402100000,129.02,105.06,100.24,90.94,92.95,70.43,28.90
Radish,Region IV-A (CALABARZON),Laguna,403400000,1082.13,1013.64,897.90,730.75,735.06,643.73,298.68
Radish,Region IV-A (CALABARZON),Quezon,405600000,209.57,215.04,200.25,198.95,191.64,191.53,32.93
Radish,Region IV-A (CALABARZON),Rizal,405800000,133.18,129.26,117.24,92.00,110.12,113.65,44.55
Radish,MIMAROPA Region,Marinduque,1704000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,MIMAROPA Region,Occidental Mindoro,1705100000,37.76,59.20,62.82,56.97,31.71,30.62,1.85
Radish,MIMAROPA Region,Oriental Mindoro,1705200000,22.91,25.99,24.04,32.33,27.06,24.61,0.00
Radish,MIMAROPA Region,Palawan,1705300000,72.69,82.34,60.98,51.69,52.91,39.69,22.38
Radish,MIMAROPA Region,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,MIMAROPA Region,Romblon,1705900000,56.44,49.95,51.18,36.44,48.78,41.58,12.36
Radish,Region V (Bicol Region),Albay,500500000,72.85,75.72,70.39,50.92,8.81,31.81,2.81
Radish,Region V (Bicol Region),Camarines Norte,501600000,4.93,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region V (Bicol Region),Camarines Sur,501700000,33.74,38.44,31.16,33.10,0.21,1.33,0.00
Radish,Region V (Bicol Region),Catanduanes,502000000,2.83,2.31,2.68,2.76,1.76,0.75,0.24
Radish,Region V (Bicol Region),Masbate,504100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region V (Bicol Region),Sorsogon,506200000,35.07,34.95,23.11,6.84,6.92,2.23,0.03
Radish,Region VI (Western Visayas),Aklan,600400000,51.66,46.26,36.77,45.77,43.99,51.02,8.51
Radish,Region VI (Western Visayas),Antique,600600000,117.95,118.42,115.31,114.27,118.25,127.64,89.09
Radish,Region VI (Western Visayas),Capiz,601900000,123.80,143.80,161.27,178.65,177.80,176.94,48.16
Radish,Region VI (Western Visayas),Guimaras,607900000,15.82,15.99,18.92,19.93,21.15,23.18,16.63
Radish,Region VI (Western Visayas),Iloilo,603000000,355.67,377.89,358.38,387.72,344.86,795.42,508.30
Radish,Region VI (Western Visayas),Negros Occidental,1804500000,345.59,326.39,332.79,318.08,0.00,0.00,0.00
Radish,Region VI (Western Visayas),Negros Occidental,1804500000,0.00,0.00,0.00,0.00,316.79,352.95,90.00
Radish,Negros Island Region (NIR),City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Negros Island Region (NIR),Negros Oriental,1804600000,0.00,0.00,0.00,0.00,494.50,637.94,60.21
Radish,Negros Island Region (NIR),Siquijor,1806100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region VII (Central Visayas),Bohol,701200000,0.00,0.00,0.00,3.48,0.10,1.11,0.00
Radish,Region VII (Central Visayas),Cebu,702200000,221.45,218.00,225.00,221.13,205.05,138.89,43.60
Radish,Negros Island Region (NIR),Negros Oriental,1804600000,832.57,864.14,747.66,309.15,0.00,0.00,0.00
Radish,Negros Island Region (NIR),Siquijor,1806100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region VIII (Eastern Visayas),Biliran,807800000,0.00,0.00,0.00,0.15,0.00,0.00,0.00
Radish,Region VIII (Eastern Visayas),Eastern Samar,802600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region VIII (Eastern Visayas),Leyte,803700000,6.40,6.31,6.08,4.61,5.53,5.25,0.63
Radish,Region VIII (Eastern Visayas),Northern Samar,804800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Radish,Region VIII (Eastern Visayas),Samar,806000000,0.00,0.00,0.00,0.00,0.03,0.00,0.00
Radish,Region VIII (Eastern Visayas),Southern Leyte,806400000,0.00,0.00,0.00,0.00,0.00,0.33,0.00
