Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Radish,CAR,Abra,1400100000,0,0,0,0,0,0.02,0.00
Radish,CAR,Apayao,1408100000,0,0,0,0,0,0.00,0.00
Radish,CAR,Benguet,1401100000,0,0,0,0,0,197.22,57.00
Radish,CAR,Ifugao,1402700000,0,0,0,0,0,0.00,0.00
Radish,CAR,Kalinga,1403200000,0,0,0,0,0,0.00,0.00
Radish,CAR,Mountain Province,1404400000,0,0,0,0,0,7.19,1.00
Radish,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0.00,0.00
Radish,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0.00,0.00
Radish,Region I,La Union,0103300000,0,0,0,0,0,0.00,0.00
Radish,Region I,Pangasinan,0105500000,0,0,0,0,0,5.52,2.50
Radish,Region II,Batanes,0200900000,0,0,0,0,0,0.10,0.07
Radish,Region II,Cagayan,0201500000,0,0,0,0,0,6.96,3.15
Radish,Region II,Isabela,0203100000,0,0,0,0,0,1.07,1.00
Radish,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,10.28,7.00
Radish,Region II,Quirino,0205700000,0,0,0,0,0,0.88,0.00
Radish,Region III,Aurora,0307700000,0,0,0,0,0,0.00,0.00
Radish,Region III,Bataan,0300800000,0,0,0,0,0,0.00,0.00
Radish,Region III,Bulacan,0301400000,0,0,0,0,0,8.00,8.00
Radish,Region III,Nueva Ecija,0304900000,0,0,0,0,0,21.81,10.72
Radish,Region III,Pampanga,0305400000,0,0,0,0,0,29.00,12.00
Radish,Region III,Tarlac,0306900000,0,0,0,0,0,11.00,4.00
Radish,Region III,Zambales,0307100000,0,0,0,0,0,0.00,0.00
Radish,Region IV-A,Batangas,0401000000,0,0,0,0,0,17.60,15.85
Radish,Region IV-A,Cavite,0402100000,0,0,0,0,0,9.92,5.20
Radish,Region IV-A,Laguna,0403400000,0,0,0,0,0,109.58,24.15
Radish,Region IV-A,Quezon,0405600000,0,0,0,0,0,67.00,16.00
Radish,Region IV-A,Rizal,0405800000,0,0,0,0,0,33.69,12.00
Radish,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0.00,0.00
Radish,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,10.00,0.24
Radish,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,6.36,0.00
Radish,MIMAROPA,Palawan,1705300000,0,0,0,0,0,13.42,9.02
