,,,,,
Agricultural Commodity Reference Dictionary,,,,,
,,,,,
,,,,,
Common Name,Scientific Name,Local/Commom Name (PH),Primary Category,Sub-Category,Definition & Botanical Description
Bottle Gourd,Lagenaria siceraria,Upo,Vegetables,Fruit Vegetables,"A vine-grown herbaceous plant producing long, green-skinned fruits with white flesh, typically harvested immature."
Eggplant,Solanum melongena,Talong,Vegetables,Fruit Vegetables,A tropical perennial plant grown for its edible purple or green elongated fruits with a spongy texture.
String Beans,Vigna unguiculata subsp. sesquipedalis,Sitaw,Vegetables,Legumes,"A climbing annual plant known for its remarkably long green pods, harvested as a vital legume source."
Lettuce,Lactuca sativa,Litsugas,Vegetables,Leafy Greens,"An annual leafy crop cultivated primarily for salads, known for crisp leaves and high water content."
Lady Finger,Abelmoschus esculentus,Okra,Vegetables,Fruit Vegetables,"A mucilaginous flowering plant valued for its fibrous, seed-containing green pods."
Squash,Cucurbita moschata,Kalabasa,Vegetables,Fruit Vegetables,"A sprawling vine that bears large, hard-skinned yellow/orange fruits rich in Vitamin A and carbohydrates."
Sponge Gourd,Luffa acutangula,Patola,Vegetables,Fruit Vegetables,"A cylindrical, ridged fruit vegetable harvested young for food or dried maturely for industrial loofah sponges."
Chinese Cabbage,Brassica rapa subsp. pekinensis,Pechay Baguio,Vegetables,Cruciferous,"A leafy vegetable forming a compact, elongated head with broad white ribs and light green leaves."
Bitter Gourd,Momordica charantia,Ampalaya,Vegetables,Fruit Vegetables,"A rugose, bitter-tasting green pod vegetable celebrated for its medicinal properties and blood sugar management."
Banana (Cavendish),Musa acuminata,Saging (Cavendish),Fruits,Tropical Fruits,"A premium global export banana variety, sweet and smooth, consumed fresh upon ripening."
Banana (Saba),Musa balbisiana,Saging (Saba),Fruits,Tropical Fruits,"A triploid hybrid cooking banana variety with thick, starchy square fruits widely used in local cuisine."
Tomato,Solanum lycopersicum,Kamatis,Vegetables,Fruit Vegetables,"A savory, juicy red fruit vegetable rich in lycopene, acting as a foundational culinary base."
Cucumber,Cucumis sativus,Pipino,Vegetables,Fruit Vegetables,"A cylindrical, high-moisture green creeping vine fruit widely consumed fresh for cooling properties."
Mushroom,Pleurotus ostreatus,Kabute,Vegetables,Fungi,"An edible macroscopic fungus variety (e.g., Oyster, Straw) grown under controlled substrate conditions."
Chili Pepper,Capsicum frutescens,Siling Labuyo,Herbs & Spices,Condiments,"A small, pungent, highly spicy native chili cultivar widely used to introduce heat to dishes."
Melon,Cucumis melo,Melon,Fruits,Tropical Fruits,"A sweet, fragrant round fruit with dynamic orange or green flesh and a high juice content."
Cassava,Manihot esculenta,Kamoteng Kahoy,Root Crops & Tubers,Tubers,"A major woody shrub root crop containing high starch content, requiring processing to eliminate cyanogenic glycosides."
Pachoy (Pok Choy),Brassica rapa subsp. chinensis,Pechay,Vegetables,Leafy Greens,"An erect, non-heading green leaf cabbage with smooth, spoon-shaped leaves and crisp white petioles."
Upland Kangkong,Ipomoea aquatica,Kangkong,Vegetables,Leafy Greens,"A semi-aquatic tropical trailing vine cultivated on land for its tender, nutrient-dense leaves and hollow stems."
Mustard Greens,Brassica juncea,Mustasa,Vegetables,Leafy Greens,"A pungent, slightly bitter cruciferous green leaf variety with ruffled edges, often preserved."
Sweet Pepper,Capsicum annuum,Siling Haba,Vegetables,Fruit Vegetables,"An elongated, mild-to-moderately spicy green pepper frequently utilized as an aromatic base in stews."
Spinach,Spinacia oleracea,Espenaka,Vegetables,Leafy Greens,"A temperate annual leafy herb rich in iron and vitamins, increasingly grown in highland areas."
Calamansi,Citrus microcarpa,Kalamansi,Fruits,Citrus,"A small, intensely sour indigenous citrus fruit with a green-to-yellow peel, central to regional gastronomy."
Lemongrass,Cymbopogon citratus,Tanglad,Herbs & Spices,Herbs,"A coarse, aromatic perennial grass emitting a strong citrus aroma from its essential oils."
Malabar spinach,Basella alba,Alugbati,Vegetables,Leafy Greens,"A succulent, smooth-leaved mucilaginous vine with red or green stems, highly resilient to tropical heat."
Moringa,Moringa oleifera,Malunggay,Vegetables,Leafy Greens,A 'superfood' tree crop with small oval leaflets globally recognized for exceptional multi-vitamin profiles.
Ginger,Zingiber officinale,Luya,Herbs & Spices,Roots/Rhizomes,"A pungent underground rhizome featuring zesty, warming essential oils used extensively in cooking and traditional healing."
Bell Pepper,Capsicum annuum,Siling Gansa,Vegetables,Fruit Vegetables,"Large, blocky, sweet-fleshed non-pungent peppers available in vibrant red, yellow, and green varieties."
Cauliflower,Brassica oleracea var. botrytis,Koliprawer,Vegetables,Cruciferous,"A cool-season crop where dense, compact white flower clusters (curds) form the primary edible structure."
Sweet Potato,Ipomoea batatas,Kamote (Commercial),Root Crops & Tubers,Roots,"A highly nutritious trailing root crop producing sweet, starchy tubers varying from white to deep orange."
Radish,Raphanus sativus,Labanos,Vegetables,Root Vegetables,"An elongated, crisp white root vegetable presenting a sharp, peppery bite due to sulfur compounds."
Sweet Corn,Zea mays var. saccharata,Mais,Vegetables,Grains/Cereals,"A high-sugar maize variant harvested at the milk stage to preserve tender, sweet kernels."
Spring Onion,Allium fistulosum,Sibuyas-dahon,Herbs & Spices,Condiments,"A perennial bunching onion harvested for its long, hollow green leaves and mild bulb base."
Sweet Potato Leaves,Ipomoea batatas (Leaves),Talbos ng Kamote,Vegetables,Leafy Greens,"The tender terminal vine tips of the sweet potato plant, consumed as an iron-rich leafy green."
Camote,Ipomoea batatas (Native),Kamote,Root Crops & Tubers,Roots,"Refers to traditional, heritage varieties of sweet potato cultivated locally for immediate food security."
Peanut,Arachis hypogaea,Mani,Vegetables,Legumes,"An annual subterranean legume cultivated for its high-protein, oil-rich seeds enclosed in a fibrous pod."
Onion (Red),Allium cepa,Sibuyas na Pula,Root Crops & Tubers,Bulbs,"A pungent, deep purple-red layered bulb crop essential as a primary savory aromatic foundation across cuisines."
Jute Mallow,Corchorus olitorius,Saluyot,Vegetables,Leafy Greens,A highly mucilaginous leafy green shrub known for heat tolerance; also source of industrial jute fiber.
Winged Beans,Psophocarpus tetragonolobus,Sigarilyas,Vegetables,Legumes,"A multi-sided legume with prominent wavy frills along four edges, entirely edible from root to leaf."
Abaca,Musa textilis,Abaka,Fiber Crops,Plant Fibers,"A close relative of the banana endemic to the Philippines, prized globally for yielding the strongest natural leaf fibers."
Piña,Ananas comosus (Fiber),Pinya (Fiber),Fiber Crops,Plant Fibers,"An exquisite fiber extracted from the long leaves of specific pineapple cultivars (e.g., Red Spanish)."
