Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,1400100000,0.00,0.00,0.00,0.00,6.00,1.60,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,1408100000,12.87,16.01,18.52,17.56,19.20,19.97,7.66
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,1401100000,149.50,170.43,205.85,167.83,173.00,180.04,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,1403200000,14.00,15.84,19.15,20.15,19.80,10.30,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],REGION I (ILOCOS REGION),Ilocos Norte,0102800000,70.86,72.63,73.83,76.74,77.60,54.77,21.77
Ubi [Greater yam],REGION I (ILOCOS REGION),Ilocos Sur,0102900000,111.09,105.65,104.00,100.03,124.63,127.91,22.68
Ubi [Greater yam],REGION I (ILOCOS REGION),La Union,0103300000,258.14,283.55,284.15,292.70,285.20,310.96,101.66
Ubi [Greater yam],REGION I (ILOCOS REGION),Pangasinan,0105500000,0.00,0.00,0.00,3.18,3.27,3.36,0.00
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Batanes,0200900000,191.98,185.46,192.94,193.40,124.50,114.90,4.63
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Cagayan,0201500000,932.91,962.95,1000.18,1041.71,1012.61,1009.90,386.20
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Isabela,0203100000,112.30,97.34,86.15,80.43,71.57,24.97,18.67
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Nueva Vizcaya,0205000000,192.67,190.39,188.89,250.75,218.41,235.12,57.03
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Quirino,0205700000,136.78,126.20,132.65,134.93,135.12,133.36,62.50
Ubi [Greater yam],REGION III (CENTRAL LUZON),Aurora,0307700000,87.62,80.46,58.00,57.80,55.99,169.64,16.16
Ubi [Greater yam],REGION III (CENTRAL LUZON),Bataan,0300800000,60.58,53.55,46.72,45.30,49.13,53.29,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Bulacan,0301400000,247.68,261.99,309.76,271.44,21.97,12.22,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Nueva Ecija,0304900000,14.17,9.98,10.09,9.50,0.00,0.00,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Pampanga,0305400000,10.15,10.22,10.22,10.13,10.24,10.27,1.31
Ubi [Greater yam],REGION III (CENTRAL LUZON),Tarlac,0306900000,4.82,5.53,7.07,20.59,6.25,6.72,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Zambales,0307100000,87.75,88.38,87.12,45.44,37.95,29.43,12.19
Ubi [Greater yam],REGION IV-A (CALABARZON),Batangas,0401000000,276.00,317.53,313.56,297.04,237.67,203.16,74.59
Ubi [Greater yam],REGION IV-A (CALABARZON),Cavite,0402100000,254.95,271.53,294.91,235.26,199.18,195.58,23.50
Ubi [Greater yam],REGION IV-A (CALABARZON),Laguna,0403400000,143.96,146.75,164.18,186.00,204.76,291.48,110.42
Ubi [Greater yam],REGION IV-A (CALABARZON),Quezon,0405600000,735.49,861.59,819.75,824.22,841.70,848.89,86.05
Ubi [Greater yam],REGION IV-A (CALABARZON),Rizal,0405800000,0.00,0.00,0.00,20.28,31.08,69.21,9.87
