Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Sweet Potato Leaves,CAR,Abra,1400100000,10.39,10.20,10.44,14.60,28.14,32.63,1.69
Sweet Potato Leaves,CAR,Apayao,1408100000,2.24,2.12,2.43,2.04,2.50,2.74,0.61
Sweet Potato Leaves,CAR,Benguet,1401100000,927.50,942.80,959.05,245.63,246.42,66.75,8.69
Sweet Potato Leaves,CAR,Ifugao,1402700000,6.76,6.03,5.55,7.99,9.09,8.31,3.02
Sweet Potato Leaves,CAR,Kalinga,1403200000,17.14,19.95,26.13,21.95,21.64,23.20,3.31
Sweet Potato Leaves,CAR,Mountain Province,1404400000,274.46,279.88,286.45,267.17,247.79,261.24,11.42
Sweet Potato Leaves,Region I,Ilocos Norte,0102800000,2125.06,2171.09,2251.34,2191.98,2142.68,1878.83,317.71
Sweet Potato Leaves,Region I,Ilocos Sur,0102900000,876.54,906.58,975.25,934.35,933.81,971.35,350.75
Sweet Potato Leaves,Region I,La Union,0103300000,719.93,728.41,714.47,675.42,678.15,640.35,120.99
Sweet Potato Leaves,Region I,Pangasinan,0105500000,766.68,777.58,828.03,749.38,760.09,747.19,148.06
Sweet Potato Leaves,Region II,Batanes,0200900000,4.62,3.71,4.27,4.65,4.45,6.51,4.79
Sweet Potato Leaves,Region II,Cagayan,0201500000,911.30,1032.10,1057.64,1012.58,809.70,912.82,396.16
Sweet Potato Leaves,Region II,Isabela,0203100000,376.81,343.21,331.64,307.14,308.99,306.20,66.62
Sweet Potato Leaves,Region II,Nueva Vizcaya,0205000000,189.69,201.79,195.59,214.45,180.10,201.12,46.25
Sweet Potato Leaves,Region II,Quirino,0205700000,152.81,124.41,137.59,139.75,140.69,154.83,4.82
Sweet Potato Leaves,Region III,Aurora,0307700000,157.36,225.96,297.55,250.00,218.83,444.49,21.17
Sweet Potato Leaves,Region III,Bataan,0300800000,93.88,93.95,88.77,97.82,118.47,137.05,12.43
Sweet Potato Leaves,Region III,Bulacan,0301400000,1490.79,1457.82,1511.02,1637.12,1303.83,1497.70,587.68
Sweet Potato Leaves,Region III,Nueva Ecija,0304900000,61.35,66.15,70.73,63.01,66.33,71.61,0.74
Sweet Potato Leaves,Region III,Pampanga,0305400000,109.84,107.75,116.75,113.95,119.95,118.36,21.31
Sweet Potato Leaves,Region III,Tarlac,0306900000,34.90,32.51,37.31,34.77,35.30,37.80,3.18
Sweet Potato Leaves,Region III,Zambales,0307100000,46.89,48.05,53.55,40.06,43.92,49.40,22.05
Sweet Potato Leaves,Region IV-A,Batangas,0401000000,957.52,843.63,707.95,633.61,517.34,497.55,22.07
