Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Cassava,CAR,Abra,1400100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,CAR,Apayao,1408100000,12435.84,11403.74,11647.36,12033.92,11811.34,10642.37,502.32
Cassava,CAR,Benguet,1401100000,1064.50,756.00,554.03,493.93,434.75,472.40,226.75
Cassava,CAR,Ifugao,1402700000,994.12,264.37,9.21,280.32,0.00,0.00,0.00
Cassava,CAR,Kalinga,1403200000,0.00,0.00,0.00,0.00,0.00,1.81,0.00
Cassava,CAR,Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region I,Ilocos Norte,0102800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region I,Ilocos Sur,0102900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region I,La Union,0103300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region I,Pangasinan,0105500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region II,Batanes,0200900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region II,Cagayan,0201500000,6405.25,6238.60,5738.01,5968.82,5336.13,4421.89,2135.08
Cassava,Region II,Isabela,0203100000,175101.93,135973.35,130601.24,127812.79,118140.31,114480.33,22633.70
Cassava,Region II,Nueva Vizcaya,0205000000,3138.25,3360.87,3714.99,3332.91,2911.26,2816.55,1032.54
Cassava,Region II,Quirino,0205700000,39875.36,30459.35,28951.85,29870.31,29110.72,26271.04,9385.56
Cassava,Region III,Aurora,0307700000,5.00,5.00,10.00,0.00,31.16,0.00,0.00
Cassava,Region III,Bataan,0300800000,602.72,709.55,140.25,0.00,0.00,0.00,0.00
Cassava,Region III,Bulacan,0301400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region III,Nueva Ecija,0304900000,77.00,62.28,0.00,0.00,0.00,0.00,0.00
Cassava,Region III,Pampanga,0305400000,7942.19,8546.40,8939.00,8705.63,9016.44,9383.46,1743.52
Cassava,Region III,Tarlac,0306900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region III,Zambales,0307100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region IV-A,Batangas,0401000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region IV-A,Cavite,0402100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region IV-A,Laguna,0403400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region IV-A,Quezon,0405600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region IV-A,Rizal,0405800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,MIMAROPA,Marinduque,1704000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,MIMAROPA,Occidental Mindoro,1705100000,1164.25,1484.60,1443.17,1674.92,1659.10,1855.92,20.79
Cassava,MIMAROPA,Oriental Mindoro,1705200000,348.10,345.42,255.26,186.49,180.53,139.20,15.00
Cassava,MIMAROPA,Palawan,1705300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,MIMAROPA,Romblon,1705900000,12.40,12.35,11.91,0.00,0.00,0.00,0.00
Cassava,Region V,Albay,0500500000,3742.38,2711.48,1743.27,1028.31,355.06,6.92,9.09
Cassava,Region V,Camarines Norte,0501600000,616.06,20.00,0.00,0.00,0.00,0.00,15.32
Cassava,Region V,Camarines Sur,0501700000,4778.03,4320.04,3945.76,2126.36,1.91,0.00,0.00
Cassava,Region V,Catanduanes,0502000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region V,Masbate,0504100000,4651.40,4893.93,4701.93,4005.57,3964.57,0.00,0.00
Cassava,Region V,Sorsogon,0506200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region VI,Aklan,0600400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region VI,Antique,0600600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region VI,Capiz,0601900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region VI,Guimaras,0607900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region VI,Iloilo,0603000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,NIR,City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,13996.85,14426.94,7465.55
Cassava,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,450.17,450.00,194.67
Cassava,Region VII,Bohol,0701200000,169.23,235.24,325.98,544.08,458.99,718.27,27.43
Cassava,Region VII,Cebu,0702200000,8694.84,8359.70,8735.00,8857.51,8602.19,7497.58,1376.27
Cassava,NIR,Negros Oriental,1804600000,15092.20,15332.24,14142.41,17318.25,0.00,0.00,0.00
Cassava,NIR,Siquijor,1806100000,524.50,445.23,459.36,553.94,0.00,0.00,0.00
Cassava,Region VIII,Biliran,0807800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cassava,Region VIII,Eastern Samar,0802600000,27.83,28.57,29.68,423.89,452.95,383.75,12.34
Cassava,Region VIII,Leyte,0803700000,31284.39,31439.84,30783.65,30345.48,29806.20,29787.00,9432.00
Cassava,Region VIII,Northern Samar,0804800000,0.00,0.00,0.00,0.00,0.00,0.00,1.15
Cassava,Region VIII,Samar,0806000000,0.00,0.00,0.00,29.41,145.24,136.95,0.00
Cassava,Region VIII,Southern Leyte,0806400000,0.00,0.00,0.00,0.00,0.00,0.18,0.00
Cassava,Region IX,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
