Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Banana,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,3036.64,759.16
Banana,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,2727.22,657.99
Banana,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,1040,260
Banana,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,1653.2,380.05
Banana,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,1447.9,364.95
Banana,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,465.56,116.97
Banana,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,6631.8,1639.18
Banana,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,5519.08,1379.77
Banana,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,4541.27,1122.19
Banana,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,12230,3023
Banana,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,119.84,31.82
Banana,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,17017.26,4262.15
Banana,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,45476.16,11369.04
Banana,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,8013.8,2124.36
Banana,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,33088.44,8226.36
Banana,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,1448.76,372.95
Banana,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,1860.85,550.14
Banana,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,6481.4,1620.6
Banana,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,2517.12,618.14
Banana,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,2086.54,559.12
Banana,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,3448.79,862.79
Banana,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,2412.08,603.02
Banana,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,21656.92,5414.23
Banana,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,14171.1,3527.15
Banana,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,25360,6331
Banana,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,39194.79,9804.5
Banana,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,5350.24,1236.88
Banana,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,2496,621.5
Banana,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,3442.68,862.61
Banana,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,60288.96,15073.12
Banana,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,15889.94,2917.59
Banana,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,5499.03,1332.05
Banana,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,1307.57
Banana,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,9905,2479
Banana,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,13262.08,3315.52
Banana,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,36918.84,9229.71
