Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Coconut (w/ husk),Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,1.0467,0.9806
Coconut (w/ husk),Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0.8958241758241757,0.9547252747252747
Coconut (w/ husk),Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,0.5102777777777778,0.8066666666666666
Coconut (w/ husk),Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,1.7472098214285712,1.3406808035714284
Coconut (w/ husk),Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,0.6022941176470589,0.13823529411764707
Coconut (w/ husk),Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,0.6583912611717974,0.8575968222442899
Coconut (w/ husk),Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,0.49301967813359665,0.4508241237764446
Coconut (w/ husk),Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,1.3541880014119063,1.0439611250697935
Coconut (w/ husk),Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,0.543327683885547,0.5027133263312008
Coconut (w/ husk),Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,1.2110429406625898,1.14659947895242
Coconut (w/ husk),Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,0.10424019607843137,0.10467787114845938
Coconut (w/ husk),Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,1.514206459645525,1.1508188076754065
Coconut (w/ husk),Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,1.2873596014492754,1.1448514492753623
Coconut (w/ husk),Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,1.2893079470198676,1.6332185430463575
Coconut (w/ husk),Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,0.7531433607520563,0.7902702702702703
Coconut (w/ husk),Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0.41597436905997875,0.16688947033529142
Coconut (w/ husk),Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,1.0250087310826541,0.6277648428405123
Coconut (w/ husk),Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0.5319747899159664,0.49201680672268905
Coconut (w/ husk),Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,1.3447281423647748,2.1790813814447496
Coconut (w/ husk),Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,1.1746674727932285,1.7052631578947366
Coconut (w/ husk),Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0.5721160714285715,0.4035714285714286
Coconut (w/ husk),Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0.26503814126826997,0.2962499272113201
Coconut (w/ husk),Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,0.5524039358600583,0.7445551020408163
Coconut (w/ husk),Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,0.8253613492886084,0.5751773584905661
Coconut (w/ husk),Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,0.407640171723908,0.41626058686228745
Coconut (w/ husk),Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,0.8591057365012157,0.5401942119571626
Coconut (w/ husk),Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0.9903359550561798,0.8922256410256411
Coconut (w/ husk),MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0.5475341354196929,0.36424701450669233
Coconut (w/ husk),MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,2.053847193973847,1.034232335923107
Coconut (w/ husk),MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0.6120311397059265,0.2226530619582295
Coconut (w/ husk),MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,1.0013020131129375,0.41406831940040356
Coconut (w/ husk),MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,1.0194365583937472,1.127399781934552
Coconut (w/ husk),MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0.8570131421744325
Coconut (w/ husk),Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,0.6649121703973827,0.49700406700403593
Coconut (w/ husk),Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,1.5301430394625724,0.8843944241142414
Coconut (w/ husk),Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,0.7016224141263049,0.612976337211423
Coconut (w/ husk),Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0.04633488681757656,0.00048316530340498384
Coconut (w/ husk),Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0.9822837802444051,0.7199686916357638
Coconut (w/ husk),Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,0.2077668438849402,0.12604446731857952
Coconut (w/ husk),Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,0.41962719977692403,0.5048181311190978
Coconut (w/ husk),Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,1.0620353232979816,1.3383787204926445
Coconut (w/ husk),Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,1.6483882470594857,1.6862524064171123
Coconut (w/ husk),Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,1.013912125863392,1.0626882191780822
Coconut (w/ husk),Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,1.4701267918088736,1.253269624573379
Coconut (w/ husk),Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Coconut (w/ husk),Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0.777983769931663,0.7111111111111111
Coconut (w/ husk),Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0.6350944601914633,0.24605027500652168
Coconut (w/ husk),Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0.4225028533384059,0.3235933041658741
Coconut (w/ husk),Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0.4411764705882353
Coconut (w/ husk),Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,0.6265499084110681,0.6091844000000001
Coconut (w/ husk),Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,0.7377071521843336,0.47496462576038084
Coconut (w/ husk),Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Coconut (w/ husk),Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Coconut (w/ husk),Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,0.6074594914025473,0.47537504702479855
Coconut (w/ husk),Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,0.8816513972003036,0.6940306095429751
Coconut (w/ husk),Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,0.6314449311309304,0.3633511003219167
Coconut (w/ husk),Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,0.7869431487745535,0.45410432615275054
Coconut (w/ husk),Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,1.3655684800037797,1.4784737678750743
Coconut (w/ husk),Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,1.177457846561484,0.4715259544742864
Coconut (w/ husk),Region IX (Zamboanga Peninsula),Sulu,0906600000,0,0,0,0,0,0,0.6307877318116976
Coconut (w/ husk),Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,0.8445606472583931,0.8098857517075043
Coconut (w/ husk),Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,1.0093187618516934,0.926865967944367
Coconut (w/ husk),Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,1.0653839013376112,1.0116928214038707
Coconut (w/ husk),Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,1.8572985228891614,1.5164198799828783
Coconut (w/ husk),Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,1.1917876683501682,1.2899694865319866
Coconut (w/ husk),Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,1.4994110001760497,1.6080912204516475
Coconut (w/ husk),Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,1.8851646651582836,1.790468252433443
Coconut (w/ husk),Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,1.4982917857142857,1.2597025510204083
Coconut (w/ husk),Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,1.2521117816091953,1.2283837164750957
Coconut (w/ husk),Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,0.97222988921258,0.9284932724554527
Coconut (w/ husk),Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,1.481220569565648,1.4336960446984062
Coconut (w/ husk),Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,2.015286117141488,2.110502444182573
Coconut (w/ husk),Region XI (Davao Region),Davao Occidental,1108600000,0,0,0,0,0,1.7188406895170167,1.5472542061040553
Coconut (w/ husk),Region XI (Davao Region),Davao Oriental,1102500000,0,0,0,0,0,1.1023151918423781,1.1010231273731448
Coconut (w/ husk),Region XI (Davao Region),City of Davao,1130700000,0,0,0,0,0,2.005373235024818,2.3432518647026384
Coconut (w/ husk),Region XII (SOCCSKSARGEN),Cotabato,1204700000,0,0,0,0,0,0.8594417513759133,0.7761331063961473
Coconut (w/ husk),Region XII (SOCCSKSARGEN),Sarangani,1208000000,0,0,0,0,0,1.5165555675968416,1.6298243902696234
Coconut (w/ husk),Region XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,0,0,0,0,0,1.722426545003428,1.9667594920178904
Coconut (w/ husk),Region XII (SOCCSKSARGEN),South Cotabato,1206300000,0,0,0,0,0,1.6291081875870608,1.5678814608480347
Coconut (w/ husk),Region XIII (Caraga),Agusan del Norte,1600200000,0,0,0,0,0,1.2215171739130435,1.37123759332455
Coconut (w/ husk),Region XIII (Caraga),Agusan del Sur,1600300000,0,0,0,0,0,1.2424354280059375,1.384698664027709
Coconut (w/ husk),Region XIII (Caraga),Dinagat Islands,1608500000,0,0,0,0,0,0.3632840093690746,0.6982410021673092
Coconut (w/ husk),Region XIII (Caraga),Surigao del Norte,1606700000,0,0,0,0,0,0.3718179356558198,0.3235015864166278
Coconut (w/ husk),Region XIII (Caraga),Surigao del Sur,1606800000,0,0,0,0,0,1.155337777092299,1.1442935715894202
Coconut (w/ husk),Region XIII (Caraga),City of Butuan,1630400000,0,0,0,0,0,0,1.3712378516624042
Coconut (w/ husk),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)3,Basilan,1900700000,0,0,0,0,0,0.22394626250735727,0.11048551236749116
Coconut (w/ husk),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)4,Lanao del Sur,1903600000,0,0,0,0,0,0.7970216767285064,0.7886529916842043
Coconut (w/ husk),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)5,Maguindanao,1908800000,0,0,0,0,0,0,0
Coconut (w/ husk),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)6,Maguindanao del Norte,1908700000,0,0,0,0,0,2.6074352973462434,2.787640769103108
Coconut (w/ husk),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)7,Maguindanao del Sur,1908800000,0,0,0,0,0,1.0986183295587557,0.8747090036186753
Coconut (w/ husk),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)8,Sulu,0906600000,0,0,0,0,0,0.7657789229671897,0
Coconut (w/ husk),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)9,Tawi-tawi,1907000000,0,0,0,0,0,0.818489901889807,0.8455450982350151
