Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Mango,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,526.59,134.9
Mango,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,536,125.3
Mango,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,958.84,239.71
Mango,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,459.49,115.82
Mango,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,432,108
Mango,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,402.65,103.63
Mango,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,18995.24,4750.31
Mango,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,5184,1297
Mango,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,9833.32,2441.03
Mango,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,52695,10949
Mango,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,52,13
Mango,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,9798,2449.5
Mango,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,12467.2,3116.8
Mango,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,15078,3769.5
Mango,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,3714.08,928.52
Mango,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,47.68,11.92
Mango,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,4140.36,1032
Mango,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,35488,8872
Mango,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,40802.36,10200.59
Mango,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,5137.85,1277.29
Mango,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,13314.52,3328.63
Mango,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,34635.96,8658.99
Mango,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,43217.92,10804.48
Mango,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,4465.4,1113.35
Mango,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,544,136
Mango,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,2758.06,691
Mango,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,3502.02,878.54
Mango,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,668,167
Mango,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,1506.2,376.55
Mango,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,770.16,192.54
Mango,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,5721.86,1251.65
Mango,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,3150.57,787.5
Mango,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,42.26
Mango,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,212.08,53.81
Mango,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,493.8,123.45
Mango,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,1282.56,320.64
Mango,Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,78.55,19.66
Mango,Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,5077.44,1231.71
Mango,Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,943,235
Mango,Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,1228.86,311.34
Mango,Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,1440.04,360.25
Mango,Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,316,78
Mango,Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,12953.56,3243.78
Mango,Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,15071,3768
Mango,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Mango,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,11276,2819
Mango,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,16879.92,4219.98
