Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Mango,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,1.9636719269260714,0.5782060785767235
Mango,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0.020559701492537313,0.0035115722266560257
Mango,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,0.3801989904467899,0.18459805598431436
Mango,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,0.5704803151319942,0
Mango,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,1.0542592592592592,0.04518518518518518
Mango,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,0.33319259903141685,0.006851297886712342
Mango,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,1.1476459365609488,1.506436422044035
Mango,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,2.2435551697530864,0.22973014649190437
Mango,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,1.697875183559571,0.8818531521529845
Mango,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,2.101390264730999,1.9144250616494658
Mango,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,0,0
Mango,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,0.6384639722392325,0.002077975096958563
Mango,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,1.6422003336755646,0.0032854209445585215
Mango,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,1.3547459875315029,0.0030295795198302163
Mango,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,0.3801587472536941,0.0013462284064963599
Mango,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0.29677013422818793,0.33808724832214765
Mango,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0.8389777700489813,1.350029069767442
Mango,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0.26375535392245264,0.4549684400360685
Mango,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0.2939477030250211,0.2754419107130078
Mango,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,1.3789269830765787,3.6486232570520403
Mango,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0.16835454826760557,0.3187137050378084
Mango,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0.4877505921591317,1.9607760258413511
Mango,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,0.6631767563084943,0.18102398264423647
Mango,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,0.43092220181842616,0.10995643777787759
Mango,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,0.6597610294117647,0.3900735294117647
Mango,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,2.0264388737010797,0.04512301013024602
Mango,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,1.1366811154704999,0.8483962027909943
Mango,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0.14865269461077843,0
Mango,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0.28279776922055505,0.7370601513743195
Mango,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0.16273241923756104,0.002804612028669368
Mango,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,2.372525717161902,0.048535932569008906
Mango,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0.39199890813408367,0.03377777777777778
Mango,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0.628490298154283
Mango,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,0.7856469256884194,0.2345288979743542
Mango,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0.4140542729850142,0.0004860267314702308
Mango,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,0.1354868388223553,0.06446482035928144
Mango,Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0.022406110757479312,0.00254323499491353
Mango,Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0.08163956639566396,0.0044490992197838775
Mango,Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,0.22602332979851536,0.04204255319148936
Mango,Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,1.5171947984310663,0.027269223357101562
Mango,Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,0.8321504958195606,0.5890631505898681
Mango,Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,0.5719620253164557,0.13243589743589743
Mango,Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,1.8367298256232263,1.6472078870946858
Mango,Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,2.0766757348550198,0.7807192144373672
Mango,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Mango,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,1.1376206101454416,0.1704185881518269
Mango,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,2.2288861558585586,0.07752880345404482
Mango,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0.5061804222648753,0.046189258312020455
Mango,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Mango,Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,0.20207669274606394,0.14957814589978394
Mango,Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,1.6613128665798165,0.1345867157326416
Mango,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Mango,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Mango,Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,0.3160058571750395,0.0011263798152737104
Mango,Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,0.27002322997677003,0.05009594990405009
Mango,Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,0.29915774446823695,0.048297749567224456
Mango,Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,0.03405520646319569,0.0008926578888640928
Mango,Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,0.4667677066390655,0
Mango,Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,0.18077756580044083,0.029453119218530305
Mango,Region IX (Zamboanga Peninsula),Sulu,0906600000,0,0,0,0,0,0,0.0031904994017813624
Mango,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,0.40269125825750646,0.02570383589715752
Mango,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,1.6238434501757386,1.9932335212910754
Mango,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,2.062974964488636,0.6759055397727273
Mango,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,1.4250887573964497,0.4647135576115092
Mango,Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,0.3412689634047767,0.04459324932569834
Mango,Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,0.4624989611900607,0.055846422338568937
Mango,Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,0.748613476039893,0.24779858915105815
Mango,Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,2.7186906960317936,0.10713221965977075
Mango,Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,2.6014200617482794,0.06588630585716622
Mango,Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,0.08416360137390075,0.04076364876053182
