Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ginger,CAR,Abra,1400100000,126.26,122.15,125.14,79.03,43.78,78.80,26.05
Ginger,CAR,Apayao,1408100000,59.11,70.33,71.92,69.54,63.25,50.60,18.19
Ginger,CAR,Benguet,1401100000,263.00,286.23,311.72,301.82,299.48,372.82,121.35
Ginger,CAR,Ifugao,1402700000,509.15,577.95,738.03,605.43,710.55,571.81,49.12
Ginger,CAR,Kalinga,1403200000,65.54,72.41,81.81,100.46,93.70,90.25,53.17
Ginger,CAR,Mountain Province,1404400000,20.38,24.26,27.32,26.07,24.61,27.15,1.35
Ginger,Region I,Ilocos Norte,0102800000,541.23,564.77,593.27,638.97,617.46,712.87,307.06
Ginger,Region I,Ilocos Sur,0102900000,138.66,144.47,151.84,163.94,152.56,159.31,40.80
Ginger,Region I,La Union,0103300000,242.97,230.71,242.09,248.33,235.60,171.12,60.67
Ginger,Region I,Pangasinan,0105500000,125.42,127.31,129.01,112.47,125.57,137.49,100.87
Ginger,Region II,Batanes,0200900000,9.81,9.46,7.95,10.56,7.79,6.28,3.88
Ginger,Region II,Cagayan,0201500000,1094.14,1224.01,1294.63,1155.04,954.72,838.55,537.10
Ginger,Region II,Isabela,0203100000,115.65,117.16,117.76,115.45,108.05,101.15,59.04
Ginger,Region II,Nueva Vizcaya,0205000000,3761.20,4024.85,3800.75,3826.71,7140.75,7150.17,3055.45
Ginger,Region II,Quirino,0205700000,273.16,324.06,328.46,340.55,344.61,340.47,459.18
Ginger,Region III,Aurora,0307700000,108.24,120.09,131.66,142.68,146.23,130.05,132.84
Ginger,Region III,Bataan,0300800000,58.88,66.34,75.14,57.37,64.99,80.59,0.00
Ginger,Region III,Bulacan,0301400000,315.25,315.00,312.00,323.80,318.25,123.30,0.00
Ginger,Region III,Nueva Ecija,0304900000,521.95,528.35,580.14,655.56,644.26,558.81,198.79
Ginger,Region III,Pampanga,0305400000,10.44,10.55,10.48,10.55,461.04,461.07,3.71
Ginger,Region III,Tarlac,0306900000,165.41,185.34,192.03,197.69,216.46,395.98,177.13
Ginger,Region III,Zambales,0307100000,170.42,153.43,145.05,128.44,156.24,112.23,244.03
Ginger,Region IV-A,Batangas,0401000000,446.84,498.28,441.00,521.02,390.51,376.58,110.79
Ginger,Region IV-A,Cavite,0402100000,336.74,389.93,328.88,231.56,172.90,186.64,17.78
Ginger,Region IV-A,Laguna,0403400000,132.84,151.53,132.13,171.76,140.21,191.98,0.00
Ginger,Region IV-A,Quezon,0405600000,2229.71,2241.34,2282.37,2221.24,2118.20,2190.23,1046.89
Ginger,Region IV-A,Rizal,0405800000,47.58,56.62,80.68,171.00,161.82,332.97,370.65
Ginger,MIMAROPA,Marinduque,1704000000,36.35,38.90,33.96,38.15,38.02,31.82,0.86
Ginger,MIMAROPA,Occidental Mindoro,1705100000,73.02,100.81,146.24,158.55,170.49,197.32,55.25
Ginger,MIMAROPA,Oriental Mindoro,1705200000,159.13,139.27,153.36,180.44,189.18,260.77,7.16
Ginger,MIMAROPA,Palawan,1705300000,362.01,349.74,307.15,250.54,243.18,243.42,55.73
Ginger,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Ginger,MIMAROPA,Romblon,1705900000,117.93,132.58,146.16,168.17,153.70,165.83,82.20
Ginger,Region V,Albay,0500500000,129.08,162.67,179.36,130.16,23.13,21.50,1.21
Ginger,Region V,Camarines Norte,0501600000,34.72,50.38,38.23,49.53,34.18,24.10,1.59
Ginger,Region V,Camarines Sur,0501700000,77.42,93.52,114.38,124.76,86.40,146.05,96.93
Ginger,Region V,Catanduanes,0502000000,13.92,12.36,13.84,14.24,13.49,8.58,0.08
Ginger,Region V,Masbate,0504100000,87.82,91.71,95.88,203.27,198.42,170.00,101.60
Ginger,Region V,Sorsogon,0506200000,16.05,17.02,15.42,13.18,10.80,10.48,1.92
Ginger,Region VI,Aklan,0600400000,226.95,273.20,311.78,259.59,236.44,223.85,56.15
Ginger,Region VI,Antique,0600600000,214.26,204.57,231.32,217.69,206.46,208.79,53.23
Ginger,Region VI,Capiz,0601900000,317.77,337.30,366.24,393.50,374.00,332.90,108.13
Ginger,Region VI,Guimaras,0607900000,14.25,20.36,29.45,33.23,36.88,40.23,15.75
Ginger,Region VI,Iloilo,0603000000,174.80,191.81,194.03,201.12,187.39,928.96,265.08
Ginger,NIR,Negros Occidental,1804500000,541.33,564.69,589.16,639.96,0.00,0.00,0.00
Ginger,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,604.93,625.64,192.20
Ginger,NIR,City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ginger,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,804.90,482.75,350.00
Ginger,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,19.26,19.58,13.59
Ginger,Region VII,Bohol,0701200000,564.15,521.34,436.22,372.17,292.96,462.59,111.32
Ginger,Region VII,Cebu,0702200000,917.04,940.24,911.00,898.74,774.85,875.19,229.27
Ginger,NIR,Negros Oriental,1804600000,512.44,690.65,945.57,1204.70,0.00,0.00,0.00
Ginger,NIR,Siquijor,1806100000,18.03,19.70,20.34,19.77,0.00,0.00,0.00
Ginger,Region VIII,Biliran,0807800000,302.00,343.00,329.56,324.67,319.89,298.65,74.40
Ginger,Region VIII,Eastern Samar,0802600000,36.12,39.87,45.02,64.44,80.86,132.87,10.92
Ginger,Region VIII,Leyte,0803700000,1210.04,1000.95,948.68,981.74,871.38,892.00,15.75
Ginger,Region VIII,Northern Samar,0804800000,26.87,27.42,29.00,29.09,28.32,26.98,7.00
Ginger,Region VIII,Samar,0806000000,225.30,267.55,303.09,305.27,297.85,294.44,45.02
Ginger,Region VIII,Southern Leyte,0806400000,57.57,59.87,57.90,61.83,112.59,108.48,32.44
Ginger,Region IX,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ginger,Region IX,Zamboanga del Norte,0907200000,180.36,188.96,206.46,345.19,276.74,375.12,48.00
Ginger,Region IX,Zamboanga del Sur,0907300000,211.95,223.44,240.18,325.28,322.14,102.89,12.50
Ginger,Region IX,City of Zamboanga,0907400000,117.87,119.28,119.16,0.00,0.00,19.28,8.24
Ginger,Region IX,Zamboanga Sibugay,0908300000,88.69,81.30,79.96,81.63,86.88,87.13,24.16
Ginger,Region X,Bukidnon,1001300000,465.47,517.67,467.00,466.26,401.43,382.56,52.96
Ginger,Region X,Camiguin,1001800000,24.11,34.32,36.74,54.19,55.83,45.83,17.16
Ginger,Region X,Lanao del Norte,1003500000,4348.00,4215.00,4245.00,4256.00,4260.00,4269.00,650.00
Ginger,Region X,Misamis Occidental,1004200000,383.20,400.00,510.45,529.51,486.80,494.20,71.58
Ginger,Region X,Misamis Oriental,1004300000,220.66,218.66,270.19,242.48,221.90,226.34,53.46
Ginger,Region XI,Davao de Oro,1108200000,419.55,486.17,491.22,700.83,453.58,458.39,145.65
Ginger,Region XI,Davao del Norte,1102300000,116.01,118.47,118.76,116.32,114.74,116.71,14.75
Ginger,Region XI,Davao del Sur,1102400000,268.76,277.16,302.60,511.75,522.18,386.52,49.16
Ginger,Region XI,City of Davao,1130700000,166.35,174.61,207.42,0.00,0.00,153.79,22.80
Ginger,Region XI,Davao Occidental,1108600000,2.82,2.78,2.72,2.79,2.70,2.66,0.38
Ginger,Region XI,Davao Oriental,1102500000,25.73,28.37,26.33,26.83,35.39,35.16,10.15
Ginger,Region XII,Cotabato,1204700000,368.39,354.22,326.82,236.88,238.16,226.95,90.69
Ginger,Region XII,Sarangani,1208000000,39.31,39.90,40.69,37.12,47.61,85.00,15.50
Ginger,Region XII,Sultan Kudarat,1206500000,66.39,68.06,66.28,66.06,63.64,62.75,33.94
Ginger,Region XII,South Cotabato,1206300000,105.59,114.05,132.76,143.62,71.21,105.23,19.18
Ginger,Region XIII,Agusan del Norte,1600200000,13.30,14.61,14.42,15.61,14.39,14.48,1.34
Ginger,Region XIII,City of Butuan,1630400000,0.00,0.00,0.00,0.00,0.00,0.00,0.69
Ginger,Region XIII,Agusan del Sur,1600300000,140.11,129.52,126.64,107.79,105.62,104.33,26.38
Ginger,Region XIII,Dinagat Islands,1608500000,6.54,7.28,8.03,22.51,6.33,1.30,0.33
Ginger,Region XIII,Surigao del Norte,1606700000,10.51,10.80,8.23,3.98,3.14,1.69,0.18
Ginger,Region XIII,Surigao del Sur,1606800000,62.45,67.46,64.89,29.39,8.48,2.22,2.55
Ginger,BARMM,Basilan,1900700000,22.84,23.93,26.34,27.85,13.44,6.10,0.27
Ginger,BARMM,Lanao del Sur,1903600000,750.15,750.89,750.83,751.74,1117.13,1368.16,348.10
Ginger,BARMM,Maguindanao,,139.30,143.30,144.85,145.80,102.42,1459.02,319.94
Ginger,BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,295.81,169.00
Ginger,BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,1163.21,150.94
Ginger,BARMM,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ginger,BARMM,Tawi-tawi,1907000000,5.74,5.88,5.48,4.95,5.86,6.74,0.70
