Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Lettuce,Cordillera Administrative Region (CAR),Abra,1400100000,0.00,0.00,0.00,0.00,0.53,0.56
Lettuce,Cordillera Administrative Region (CAR),Apayao,1408100000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Cordillera Administrative Region (CAR),Benguet,1401100000,1315.67,1412.23,1462.24,1474.32,3754.32,6504.06
Lettuce,Cordillera Administrative Region (CAR),Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Cordillera Administrative Region (CAR),Kalinga,1403200000,0.00,0.00,0.00,0.00,0.09,0.10
Lettuce,Cordillera Administrative Region (CAR),Mountain Province,1404400000,85.17,77.29,81.75,77.53,72.74,74.23
Lettuce,Region I (Ilocos Region),Ilocos Norte,0102800000,0.00,0.00,0.00,0.00,0.00,0.15
Lettuce,Region I (Ilocos Region),Ilocos Sur,0102900000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region I (Ilocos Region),La Union,0103300000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region I (Ilocos Region),Pangasinan,0105500000,0.00,0.00,0.00,0.01,0.08,0.06
Lettuce,Region II (Cagayan Valley),Batanes,0200900000,0.13,0.24,0.29,0.60,0.25,1.50
Lettuce,Region II (Cagayan Valley),Cagayan,0201500000,0.00,0.00,0.00,0.00,0.10,0.30
Lettuce,Region II (Cagayan Valley),Isabela,0203100000,1.40,1.32,1.35,1.45,1.66,1.54
Lettuce,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0.57,0.53,0.53,2.40,43.61,33.37
Lettuce,Region II (Cagayan Valley),Quirino,0205700000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region III (Central Luzon),Aurora,0307700000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region III (Central Luzon),Bataan,0300800000,0.00,0.41,0.00,0.00,3.72,4.21
Lettuce,Region III (Central Luzon),Bulacan,0301400000,0.64,0.59,0.63,0.68,0.77,0.70
Lettuce,Region III (Central Luzon),Nueva Ecija,0304900000,0.00,0.00,0.00,0.00,0.36,0.00
Lettuce,Region III (Central Luzon),Pampanga,0305400000,1.70,1.82,1.99,2.15,4.28,4.58
Lettuce,Region III (Central Luzon),Tarlac,0306900000,5.25,4.75,4.80,4.92,4.60,0.00
Lettuce,Region III (Central Luzon),Zambales,0307100000,0.00,0.00,0.00,0.32,0.99,1.07
Lettuce,Region IV-A (CALABARZON),Batangas,0401000000,0.00,0.00,4.53,0.49,9.08,11.98
Lettuce,Region IV-A (CALABARZON),Cavite,0402100000,131.56,160.07,174.11,175.04,253.16,447.73
