Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Saluyot,CAR,Abra,1400100000,6.84,6.80,6.89,9.92,8.39,27.57,0.45
Saluyot,CAR,Apayao,1408100000,0.00,0.00,0.00,0.00,1.19,2.00,0.56
Saluyot,CAR,Benguet,1401100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saluyot,CAR,Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.09,0.84
Saluyot,CAR,Kalinga,1403200000,2.35,2.47,2.39,2.40,5.17,4.29,0.00
Saluyot,CAR,Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saluyot,Region I,Ilocos Norte,0102800000,381.75,381.70,399.24,393.82,388.46,388.84,110.54
Saluyot,Region I,Ilocos Sur,0102900000,123.31,114.32,138.78,122.97,123.77,124.92,14.81
Saluyot,Region I,La Union,0103300000,37.43,40.33,41.62,40.81,42.22,41.79,5.38
Saluyot,Region I,Pangasinan,0105500000,243.59,248.35,252.67,224.97,226.85,217.94,15.51
Saluyot,Region II,Batanes,0200900000,0.05,0.05,0.07,0.11,1.25,0.06,0.00
Saluyot,Region II,Cagayan,0201500000,11.15,12.08,9.82,12.19,11.90,26.18,4.46
Saluyot,Region II,Isabela,0203100000,20.08,18.59,17.20,16.28,16.82,17.28,5.05
Saluyot,Region II,Nueva Vizcaya,0205000000,32.86,37.39,39.47,44.30,35.70,38.07,17.71
Saluyot,Region II,Quirino,0205700000,8.12,7.43,8.40,8.70,9.63,10.67,1.53
Saluyot,Region III,Aurora,0307700000,39.97,45.87,71.08,74.46,68.58,8.83,2.83
Saluyot,Region III,Bataan,0300800000,6.92,8.83,8.14,6.81,7.60,7.44,1.31
Saluyot,Region III,Bulacan,0301400000,0.00,0.00,0.00,0.02,124.25,70.41,5.70
Saluyot,Region III,Nueva Ecija,0304900000,41.22,43.67,41.70,42.44,52.72,51.70,0.52
Saluyot,Region III,Pampanga,0305400000,9.60,9.71,8.62,8.77,8.74,8.71,5.92
Saluyot,Region III,Tarlac,0306900000,20.37,20.69,21.45,25.42,26.14,25.25,3.46
Saluyot,Region III,Zambales,0307100000,47.21,41.45,39.63,24.09,24.93,5.94,5.77
Saluyot,Region IV-A,Batangas,0401000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saluyot,Region IV-A,Cavite,0402100000,7.97,7.59,7.25,3.44,2.96,1.57,2.08
Saluyot,Region IV-A,Laguna,0403400000,4.91,5.05,5.07,8.21,8.98,16.87,1.21
Saluyot,Region IV-A,Quezon,0405600000,0.00,0.00,0.00,0.00,0.30,0.32,0.00
Saluyot,Region IV-A,Rizal,0405800000,2.22,2.23,2.34,2.69,7.16,6.95,1.07
Saluyot,MIMAROPA,Marinduque,1704000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saluyot,MIMAROPA,Occidental Mindoro,1705100000,0.00,0.00,0.00,0.00,0.00,0.12,0.00
Saluyot,MIMAROPA,Oriental Mindoro,1705200000,0.30,0.28,0.25,0.86,0.92,0.93,0.14
Saluyot,MIMAROPA,Palawan,1705300000,3.83,3.39,3.29,2.87,2.94,2.93,0.75
Saluyot,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.19
Saluyot,MIMAROPA,Romblon,1705900000,2.01,1.95,1.88,1.67,1.95,2.08,0.55
Saluyot,Region V,Albay,0500500000,0.00,0.00,0.00,0.01,0.58,0.00,0.00
Saluyot,Region V,Camarines Norte,0501600000,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Saluyot,Region V,Camarines Sur,0501700000,0.00,0.00,0.00,0.00,0.49,0.00,0.09
Saluyot,Region V,Catanduanes,0502000000,0.00,0.00,0.00,0.00,0.10,0.11,0.08
Saluyot,Region V,Masbate,0504100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saluyot,Region V,Sorsogon,0506200000,0.00,0.00,0.00,0.00,0.02,0.02,0.00
Saluyot,Region VI,Aklan,0600400000,48.24,48.27,48.34,48.15,48.43,43.29,14.81
Saluyot,Region VI,Antique,0600600000,130.57,137.83,140.81,139.47,134.47,119.19,34.53
Saluyot,Region VI,Capiz,0601900000,54.80,59.84,54.30,41.44,52.84,53.91,13.91
Saluyot,Region VI,Guimaras,0607900000,47.07,63.09,79.60,81.51,85.44,97.85,15.80
Saluyot,Region VI,Iloilo,0603000000,596.00,640.00,668.00,696.43,631.98,749.29,161.16
Saluyot,NIR,Negros Occidental,1804500000,79.29,99.03,108.56,134.61,0.00,0.00,0.00
Saluyot,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,117.72,117.14,15.36
Saluyot,NIR,City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saluyot,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,1.47,1.47,0.24
Saluyot,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,0.26,0.95,0.21
Saluyot,Region VII,Bohol,0701200000,0.00,0.00,0.00,0.76,3.42,3.15,0.66
Saluyot,Region VII,Cebu,0702200000,11.73,12.47,12.80,11.63,10.58,10.60,2.47
Saluyot,NIR,Negros Oriental,1804600000,1.85,1.41,1.10,1.45,0.00,0.00,0.00
Saluyot,NIR,Siquijor,1806100000,0.27,0.30,0.34,0.29,0.00,0.00,0.00
Saluyot,Region VIII,Biliran,0807800000,0.10,0.32,0.29,0.44,0.28,0.32,0.06
Saluyot,Region VIII,Eastern Samar,0802600000,0.05,0.06,0.09,0.59,0.78,0.61,0.18
Saluyot,Region VIII,Leyte,0803700000,0.67,0.73,0.74,0.81,0.39,1.26,0.08
Saluyot,Region VIII,Northern Samar,0804800000,1.93,1.95,1.99,2.00,1.48,0.00,0.00
Saluyot,Region VIII,Samar,0806000000,6.25,6.63,8.57,4.26,3.15,4.47,2.30
Saluyot,Region VIII,Southern Leyte,0806400000,0.00,0.00,0.00,0.00,1.69,1.70,0.38
Saluyot,Region IX,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saluyot,Region IX,Zamboanga del Norte,0907200000,2.45,2.29,1.87,4.11,4.29,4.22,0.19
Saluyot,Region IX,Zamboanga del Sur,0907300000,20.71,21.10,21.64,39.06,36.10,20.34,4.70
Saluyot,Region IX,City of Zamboanga,0907400000,14.88,17.82,18.66,0.00,0.00,7.60,2.71
Saluyot,Region IX,Zamboanga Sibugay,0908300000,2.05,1.84,1.72,1.67,1.69,1.79,0.17
Saluyot,Region X,Bukidnon,1001300000,9.72,15.62,12.47,7.47,7.21,6.83,0.66
Saluyot,Region X,Camiguin,1001800000,2.70,2.57,3.09,5.33,4.46,5.28,1.25
Saluyot,Region X,Lanao del Norte,1003500000,48.81,49.45,48.18,47.85,49.18,49.89,0.49
Saluyot,Region X,Misamis Occidental,1004200000,1.15,1.19,1.17,1.21,1.22,2.30,1.16
Saluyot,Region X,Misamis Oriental,1004300000,25.89,24.30,26.01,26.02,102.95,104.19,2.09
Saluyot,Region XI,Davao de Oro,1108200000,10.37,10.35,10.16,12.38,13.77,14.03,3.66
Saluyot,Region XI,Davao del Norte,1102300000,29.41,28.76,29.05,30.09,29.94,30.34,2.79
Saluyot,Region XI,Davao del Sur,1102400000,35.49,35.39,35.16,75.01,75.07,37.86,4.49
Saluyot,Region XI,City of Davao,1130700000,43.59,43.26,41.55,0.00,0.00,31.76,6.50
Saluyot,Region XI,Davao Occidental,1108600000,1.32,1.27,0.96,0.93,0.86,0.90,0.29
Saluyot,Region XI,Davao Oriental,1102500000,3.53,10.22,2.63,2.55,2.27,2.06,0.49
Saluyot,Region XII,Cotabato,1204700000,35.82,35.81,35.82,30.90,31.48,22.63,1.93
Saluyot,Region XII,Sarangani,1208000000,26.86,27.75,27.92,49.08,54.18,54.43,1.20
Saluyot,Region XII,Sultan Kudarat,1206500000,27.00,25.88,25.87,26.06,25.20,25.70,4.59
