Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Sigarilyas,CAR,Abra,1400100000,0.00,0.00,0.00,1.75,17.11,14.72,0.00
Sigarilyas,CAR,Apayao,1408100000,1.24,1.40,1.72,1.44,3.49,3.68,1.76
Sigarilyas,CAR,Benguet,1401100000,0.00,0.00,0.00,2.74,1.84,1.12,0.00
Sigarilyas,CAR,Ifugao,1402700000,21.75,20.97,24.98,15.46,29.00,14.97,4.30
Sigarilyas,CAR,Kalinga,1403200000,3.09,3.87,4.83,5.07,4.87,3.83,1.37
Sigarilyas,CAR,Mountain Province,1404400000,8.54,8.39,8.58,7.90,8.31,8.22,0.00
Sigarilyas,Region I,Ilocos Norte,0102800000,113.94,109.23,109.06,110.10,111.14,106.17,47.93
Sigarilyas,Region I,Ilocos Sur,0102900000,30.94,30.96,33.26,31.04,24.84,32.25,10.76
Sigarilyas,Region I,La Union,0103300000,47.74,50.28,52.62,53.80,53.15,52.61,18.25
Sigarilyas,Region I,Pangasinan,0105500000,80.78,78.68,76.11,63.80,65.83,63.34,28.66
Sigarilyas,Region II,Batanes,0200900000,0.74,0.52,0.42,0.53,0.61,1.71,1.91
Sigarilyas,Region II,Cagayan,0201500000,68.14,67.15,67.07,59.12,16.65,29.55,9.28
Sigarilyas,Region II,Isabela,0203100000,58.36,117.61,113.39,108.05,105.89,100.38,4.40
Sigarilyas,Region II,Nueva Vizcaya,0205000000,7.46,7.52,7.93,7.35,7.76,7.95,1.89
Sigarilyas,Region II,Quirino,0205700000,31.20,30.17,32.06,32.81,33.58,32.53,13.92
Sigarilyas,Region III,Aurora,0307700000,0.00,0.00,0.00,1.77,15.49,19.38,8.26
Sigarilyas,Region III,Bataan,0300800000,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Sigarilyas,Region III,Bulacan,0301400000,25.99,25.82,24.62,20.63,27.60,25.03,2.89
Sigarilyas,Region III,Nueva Ecija,0304900000,39.48,40.50,42.15,38.76,37.54,37.76,0.50
Sigarilyas,Region III,Pampanga,0305400000,4.15,4.13,4.08,4.05,4.04,4.06,0.00
Sigarilyas,Region III,Tarlac,0306900000,6.47,7.12,6.99,6.34,17.96,17.63,5.20
Sigarilyas,Region III,Zambales,0307100000,33.74,36.57,31.57,30.24,33.18,15.00,0.23
Sigarilyas,Region IV-A,Batangas,0401000000,10.70,10.63,7.20,10.73,11.70,19.23,2.54
Sigarilyas,Region IV-A,Cavite,0402100000,6.54,5.87,4.69,1.73,10.00,9.71,1.75
Sigarilyas,Region IV-A,Laguna,0403400000,9.40,9.44,9.56,11.56,10.18,10.59,5.01
Sigarilyas,Region IV-A,Quezon,0405600000,19.18,21.25,21.60,20.15,20.41,21.43,13.18
Sigarilyas,Region IV-A,Rizal,0405800000,0.00,0.00,0.00,0.40,0.93,2.00,0.13
Sigarilyas,MIMAROPA,Marinduque,1704000000,4.81,4.92,4.25,3.66,2.90,2.84,1.12
Sigarilyas,MIMAROPA,Occidental Mindoro,1705100000,0.00,0.00,0.00,0.00,0.22,0.13,0.00
Sigarilyas,MIMAROPA,Oriental Mindoro,1705200000,1.60,1.27,1.23,1.24,1.05,0.96,0.04
Sigarilyas,MIMAROPA,Palawan,1705300000,5.04,4.77,4.32,4.06,4.06,4.16,0.89
Sigarilyas,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sigarilyas,MIMAROPA,Romblon,1705900000,0.53,0.71,0.75,0.73,1.33,2.20,1.88
Sigarilyas,Region V,Albay,0500500000,192.23,237.90,282.39,263.37,242.52,244.51,48.90
