Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Spring Onion,CAR,Abra,1400100000,0.00,0.00,0.00,0.00,0.00,0.68,0.00
Spring Onion,CAR,Apayao,1408100000,0.00,0.00,0.00,0.00,0.25,0.26,0.00
Spring Onion,CAR,Benguet,1401100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,CAR,Ifugao,1402700000,0.00,0.00,0.00,8.26,24.22,3.02,3.53
Spring Onion,CAR,Kalinga,1403200000,0.00,0.00,0.00,8.34,0.00,0.89,0.00
Spring Onion,CAR,Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region I,Ilocos Norte,0102800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region I,Ilocos Sur,0102900000,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Spring Onion,Region I,La Union,0103300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region I,Pangasinan,0105500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region II,Batanes,0200900000,0.00,0.00,0.00,0.00,0.00,0.21,0.00
Spring Onion,Region II,Cagayan,0201500000,0.00,0.00,0.00,0.99,0.13,0.79,0.28
Spring Onion,Region II,Isabela,0203100000,0.00,0.00,0.00,0.06,0.21,0.14,0.00
Spring Onion,Region II,Nueva Vizcaya,0205000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region II,Quirino,0205700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region III,Aurora,0307700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region III,Bataan,0300800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region III,Bulacan,0301400000,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Spring Onion,Region III,Nueva Ecija,0304900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region III,Pampanga,0305400000,0.00,0.00,0.00,9.63,11.76,32.64,1.51
Spring Onion,Region III,Tarlac,0306900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region III,Zambales,0307100000,0.00,0.00,0.00,0.00,0.00,0.00,2.02
Spring Onion,Region IV-A,Batangas,0401000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region IV-A,Cavite,0402100000,0.00,0.00,0.00,0.00,0.03,0.07,0.00
Spring Onion,Region IV-A,Laguna,0403400000,194.75,200.63,174.50,108.47,191.64,183.84,33.08
Spring Onion,Region IV-A,Quezon,0405600000,0.00,0.00,0.00,0.00,22.00,22.26,0.01
Spring Onion,Region IV-A,Rizal,0405800000,0.00,0.00,0.00,0.00,0.00,0.45,0.00
Spring Onion,MIMAROPA,Marinduque,1704000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,MIMAROPA,Occidental Mindoro,1705100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,MIMAROPA,Oriental Mindoro,1705200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,MIMAROPA,Palawan,1705300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Spring Onion,MIMAROPA,Romblon,1705900000,0.00,0.00,0.00,0.00,5.25,5.03,4.94
Spring Onion,Region V,Albay,0500500000,0.00,0.00,0.00,0.00,18.73,14.04,0.01
Spring Onion,Region V,Camarines Norte,0501600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region V,Camarines Sur,0501700000,0.00,0.00,0.00,0.69,32.99,8.35,0.31
Spring Onion,Region V,Catanduanes,0502000000,0.00,0.00,0.00,0.00,0.75,1.51,0.71
Spring Onion,Region V,Masbate,0504100000,0.00,0.00,0.00,0.98,0.00,0.00,0.00
Spring Onion,Region V,Sorsogon,0506200000,0.00,0.00,0.00,0.00,0.03,0.00,0.00
Spring Onion,Region VI,Aklan,0600400000,5.47,5.37,5.01,5.54,5.30,6.35,0.15
Spring Onion,Region VI,Antique,0600600000,21.08,22.93,21.70,24.29,24.39,23.77,6.57
Spring Onion,Region VI,Capiz,0601900000,75.32,69.30,67.15,41.57,60.00,58.28,14.88
Spring Onion,Region VI,Guimaras,0607900000,1.75,2.91,3.95,3.42,3.42,4.00,0.92
Spring Onion,Region VI,Iloilo,0603000000,124.55,135.80,134.42,145.25,124.66,168.47,179.19
Spring Onion,NIR,Negros Occidental,1804500000,180.67,153.60,157.38,164.13,0.00,0.00,0.00
Spring Onion,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,156.49,153.79,56.14
Spring Onion,NIR,City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,602.53,649.04,125.90
Spring Onion,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,39.13,35.07,3.41
Spring Onion,Region VII,Bohol,0701200000,626.35,578.36,566.08,501.24,463.87,501.75,61.91
Spring Onion,Region VII,Cebu,0702200000,2548.63,2531.21,2530.00,2391.57,2170.11,2522.68,728.81
Spring Onion,NIR,Negros Oriental,1804600000,707.46,753.50,851.46,921.01,0.00,0.00,0.00
Spring Onion,NIR,Siquijor,1806100000,45.25,47.45,48.32,40.63,0.00,0.00,0.00
Spring Onion,Region VIII,Biliran,0807800000,0.00,0.00,0.28,0.39,0.45,0.42,0.07
Spring Onion,Region VIII,Eastern Samar,0802600000,0.00,0.00,0.00,0.00,1.43,3.81,0.00
Spring Onion,Region VIII,Leyte,0803700000,0.00,0.00,0.00,13.52,301.02,300.12,281.00
Spring Onion,Region VIII,Northern Samar,0804800000,0.00,0.00,0.00,0.00,0.28,0.00,0.10
Spring Onion,Region VIII,Samar,0806000000,0.00,0.00,0.00,0.00,0.03,0.14,0.00
Spring Onion,Region VIII,Southern Leyte,0806400000,0.00,0.00,0.00,0.00,35.07,22.46,13.72
Spring Onion,Region IX,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region IX,Zamboanga del Norte,0907200000,0.00,0.00,0.00,5.28,12.97,12.49,0.05
Spring Onion,Region IX,Zamboanga del Sur,0907300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region IX,City of Zamboanga,0907400000,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Spring Onion,Region IX,Zamboanga Sibugay,0908300000,0.00,0.00,0.00,0.12,0.68,0.87,0.65
Spring Onion,Region X,Bukidnon,1001300000,0.00,0.00,0.00,6.43,83.01,87.42,14.78
Spring Onion,Region X,Camiguin,1001800000,0.55,0.70,0.57,0.67,1.43,2.40,0.64
Spring Onion,Region X,Lanao del Norte,1003500000,16.42,17.50,17.66,17.22,30.60,27.60,11.66
Spring Onion,Region X,Misamis Occidental,1004200000,0.00,0.00,0.00,0.00,5.07,22.40,15.20
Spring Onion,Region X,Misamis Oriental,1004300000,0.00,0.00,0.00,0.00,0.95,1.68,0.00
Spring Onion,Region XI,Davao de Oro,1108200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region XI,Davao del Norte,1102300000,0.00,0.00,0.00,0.00,0.61,0.00,0.00
Spring Onion,Region XI,Davao del Sur,1102400000,0.00,0.00,0.00,0.00,0.03,0.04,0.00
Spring Onion,Region XI,City of Davao,1130700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region XI,Davao Occidental,1108600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region XI,Davao Oriental,1102500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region XII,Cotabato,1204700000,27.20,40.06,35.64,51.97,39.70,35.52,7.38
Spring Onion,Region XII,Sarangani,1208000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region XII,Sultan Kudarat,1206500000,79.83,81.94,84.56,84.89,81.99,84.61,17.86
Spring Onion,Region XII,South Cotabato,1206300000,0.00,54.45,65.67,61.97,92.06,26.81,5.21
Spring Onion,Region XIII,Agusan del Norte,1600200000,0.00,0.00,0.00,1.81,2.19,2.30,0.08
Spring Onion,Region XIII,City of Butuan,1630400000,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Spring Onion,Region XIII,Agusan del Sur,1600300000,0.00,0.00,0.00,0.00,5.00,9.58,1.53
Spring Onion,Region XIII,Dinagat Islands,1608500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,Region XIII,Surigao del Norte,1606700000,0.03,0.02,3.00,2.08,3.09,2.79,0.03
Spring Onion,Region XIII,Surigao del Sur,1606800000,0.00,0.01,0.01,0.00,4.45,2.45,1.39
Spring Onion,BARMM,Basilan,1900700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,BARMM,Lanao del Sur,1903600000,0.00,0.00,0.00,82.56,99.84,106.19,1.24
Spring Onion,BARMM,Maguindanao,,0.00,0.00,0.00,0.00,0.00,433.60,200.00
Spring Onion,BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spring Onion,BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,433.60,200.00
Spring Onion,BARMM,Sulu,0906600000,0.00,0.00,0.00,0.00,2.03,0.32,0.00
Spring Onion,BARMM,Tawi-tawi,1907000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
