Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Sugarcane,Cordillera Administrative Region (CAR),Abra,1400100000,174.9,177.52,179.97,172.85,119.6,135.35,116.33
Sugarcane,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,7.18,6.82
Sugarcane,Cordillera Administrative Region (CAR),Benguet,1401100000,9.49,8.26,7.51,7.16,3.05,1.5,4.4
Sugarcane,Cordillera Administrative Region (CAR),Ifugao,1402700000,12.78,14.9,14.6,15.85,16.07,10.17,1.64
Sugarcane,Cordillera Administrative Region (CAR),Kalinga,1403200000,21950.7,21145.46,22171.56,17830.55,21428.15,15793.48,18860
Sugarcane,Cordillera Administrative Region (CAR),Mountain Province,1404400000,762.54,841.23,863.37,829.41,775.79,701.37,537.89
Sugarcane,Region I (Ilocos Region),Ilocos Norte,102800000,10811.82,10332.74,10538.02,10463.32,10485.56,10522.34,9798.64
Sugarcane,Region I (Ilocos Region),Ilocos Sur,102900000,2888.11,3051.64,2998.41,3035.92,3085.78,3100.75,1397.74
Sugarcane,Region I (Ilocos Region),La Union,103300000,2056.54,2073.64,2146.42,1989.69,1781.26,1893.03,917.06
Sugarcane,Region I (Ilocos Region),Pangasinan,105500000,3867.26,3939.3,1906.43,1930.97,1828,1645.61,1755.94
Sugarcane,Region II (Cagayan Valley),Batanes,200900000,2.63,1.63,0.95,0.8,3.33,3.38,1.2
Sugarcane,Region II (Cagayan Valley),Cagayan,201500000,82674.92,102288.9,119666.7,121301.71,128389.1,150363.01,116208.73
Sugarcane,Region II (Cagayan Valley),Isabela,203100000,236198.65,249205.56,249896.25,244441.26,239250.29,246053.71,38355.09
Sugarcane,Region II (Cagayan Valley),Nueva Vizcaya,205000000,10.93,10.16,10.94,11.13,10.55,10.5,0
Sugarcane,Region II (Cagayan Valley),Quirino,205700000,206.84,190.5,186.47,182.98,161.86,173.39,22.73
Sugarcane,Region III (Central Luzon),Aurora,307700000,0,0,0,0,0,0,0
Sugarcane,Region III (Central Luzon),Bataan,300800000,640.73,826.2,206.55,0,0,0,0
Sugarcane,Region III (Central Luzon),Bulacan,301400000,1.3,1.2,1.15,0,0,0,0
