Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Tomato,CAR,Abra,1400100000,457.73,449.76,444.92,434.56,399.29,382.90,117.71
Tomato,CAR,Apayao,1408100000,11.14,11.67,12.74,11.86,13.12,12.02,11.44
Tomato,CAR,Benguet,1401100000,1915.91,1640.69,1369.65,1593.65,2107.12,1800.92,666.84
Tomato,CAR,Ifugao,1402700000,78.89,183.44,347.84,596.24,1112.92,5412.39,2809.66
Tomato,CAR,Kalinga,1403200000,49.51,51.01,55.26,57.40,53.80,50.30,33.78
Tomato,CAR,Mountain Province,1404400000,564.21,534.73,526.47,386.89,429.34,445.84,236.80
Tomato,Region I,Ilocos Norte,0102800000,27456.47,26910.21,24007.59,23429.68,21727.66,13137.22,6579.75
Tomato,Region I,Ilocos Sur,0102900000,24841.67,26448.19,17041.16,19051.83,18056.14,19069.23,15038.25
Tomato,Region I,La Union,0103300000,2372.29,2368.19,2315.34,2379.70,2280.10,2466.22,1362.94
Tomato,Region I,Pangasinan,0105500000,18764.91,19400.44,19441.52,18692.79,18208.26,18966.82,15219.46
Tomato,Region II,Batanes,0200900000,12.18,10.36,10.85,13.49,15.66,15.97,6.12
Tomato,Region II,Cagayan,0201500000,727.66,775.37,571.73,538.25,513.22,530.90,443.73
Tomato,Region II,Isabela,0203100000,1007.79,1006.85,797.50,739.25,577.24,554.25,542.29
Tomato,Region II,Nueva Vizcaya,0205000000,9713.45,9417.02,9336.58,9539.17,9621.78,14281.23,7455.78
Tomato,Region II,Quirino,0205700000,44.86,80.01,80.65,84.49,94.55,100.25,60.41
Tomato,Region III,Aurora,0307700000,40.63,57.76,72.15,48.83,35.68,8.70,2.03
Tomato,Region III,Bataan,0300800000,386.68,437.81,452.47,374.38,404.77,426.90,388.23
Tomato,Region III,Bulacan,0301400000,4481.20,4504.78,4879.53,4758.32,4240.55,4643.50,3165.86
Tomato,Region III,Nueva Ecija,0304900000,18391.87,18351.21,19891.26,21173.46,22235.62,22547.24,21148.05
Tomato,Region III,Pampanga,0305400000,3562.30,3773.13,4013.56,4222.06,4157.88,3813.75,2494.45
Tomato,Region III,Tarlac,0306900000,4273.40,4370.92,4704.20,4358.95,4365.78,4374.37,1893.24
Tomato,Region III,Zambales,0307100000,666.36,621.63,657.07,607.06,508.88,410.48,191.08
Tomato,Region IV-A,Batangas,0401000000,1889.32,2410.53,2341.56,2493.07,2195.75,2014.11,1135.21
Tomato,Region IV-A,Cavite,0402100000,181.84,204.89,232.39,210.36,313.69,498.46,210.65
Tomato,Region IV-A,Laguna,0403400000,5782.24,6056.60,5747.76,6790.61,6761.15,6477.07,261.08
Tomato,Region IV-A,Quezon,0405600000,5904.58,5770.77,5841.29,5884.40,6464.35,6469.28,5367.07
Tomato,Region IV-A,Rizal,0405800000,144.04,152.34,193.16,227.66,211.86,251.37,197.98
Tomato,MIMAROPA,Marinduque,1704000000,54.93,60.54,65.28,70.30,75.77,64.68,35.53
Tomato,MIMAROPA,Occidental Mindoro,1705100000,1097.89,1317.27,1175.90,1067.23,641.29,943.99,137.03
Tomato,MIMAROPA,Oriental Mindoro,1705200000,1444.57,1324.45,1554.67,1218.34,1119.64,962.71,5.43
Tomato,MIMAROPA,Palawan,1705300000,657.29,599.16,525.97,323.92,321.80,335.88,131.83
Tomato,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,63.86
Tomato,MIMAROPA,Romblon,1705900000,233.57,235.83,207.76,295.82,236.68,266.27,129.81
Tomato,Region V,Albay,0500500000,1017.75,1042.56,1047.91,1082.99,1049.49,816.02,42.97
