Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Sigarilyas,CAR,Abra,1400100000,0,0,0,0,0,0.80,0.00
Sigarilyas,CAR,Apayao,1408100000,0,0,0,0,0,2.31,0.91
Sigarilyas,CAR,Benguet,1401100000,0,0,0,0,0,0.44,0.00
Sigarilyas,CAR,Ifugao,1402700000,0,0,0,0,0,4.51,1.00
Sigarilyas,CAR,Kalinga,1403200000,0,0,0,0,0,1.27,0.09
Sigarilyas,CAR,Mountain Province,1404400000,0,0,0,0,0,4.00,0.00
Sigarilyas,Region I,Ilocos Norte,0102800000,0,0,0,0,0,50.59,14.85
Sigarilyas,Region I,Ilocos Sur,0102900000,0,0,0,0,0,25.24,5.13
Sigarilyas,Region I,La Union,0103300000,0,0,0,0,0,35.68,9.54
Sigarilyas,Region I,Pangasinan,0105500000,0,0,0,0,0,47.36,19.00
Sigarilyas,Region II,Batanes,0200900000,0,0,0,0,0,1.07,0.35
Sigarilyas,Region II,Cagayan,0201500000,0,0,0,0,0,15.45,5.50
Sigarilyas,Region II,Isabela,0203100000,0,0,0,0,0,10.91,0.37
Sigarilyas,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,15.13,5.00
Sigarilyas,Region II,Quirino,0205700000,0,0,0,0,0,9.50,4.58
Sigarilyas,Region III,Aurora,0307700000,0,0,0,0,0,45.76,41.61
Sigarilyas,Region III,Bataan,0300800000,0,0,0,0,0,0.01,0.00
Sigarilyas,Region III,Bulacan,0301400000,0,0,0,0,0,21.33,4.57
Sigarilyas,Region III,Nueva Ecija,0304900000,0,0,0,0,0,27.04,8.52
Sigarilyas,Region III,Pampanga,0305400000,0,0,0,0,0,8.00,0.00
Sigarilyas,Region III,Tarlac,0306900000,0,0,0,0,0,8.38,1.00
Sigarilyas,Region III,Zambales,0307100000,0,0,0,0,0,3.24,0.05
Sigarilyas,Region IV-A,Batangas,0401000000,0,0,0,0,0,32.80,20.00
Sigarilyas,Region IV-A,Cavite,0402100000,0,0,0,0,0,3.46,0.77
Sigarilyas,Region IV-A,Laguna,0403400000,0,0,0,0,0,6.23,0.47
Sigarilyas,Region IV-A,Quezon,0405600000,0,0,0,0,0,16.97,6.00
