Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Ampalaya Production,0102800000,Ilocos Norte,1291.43,1711.33,77.96,328.91,1304.31,1752.21,81.41,332.45,1330.07,1858.53,74.56,362.37,1338.6,1774.02,77.98,342.52,1344.33,1194.92,98.55,366.37,1321.75
Overall Ampalaya Production,0102900000,Ilocos Sur,558.18,326.17,274.61,1171.73,644.09,368.67,306.22,1285.88,727.25,374.73,303.75,1219.09,685.67,409.56,304.99,1230.14,711.43,416.15,323.73,1257.28,727.37
Overall Ampalaya Production,0103300000,La Union,772.64,547.23,187.71,567.42,800.69,559.71,192.53,605.72,843.69,538.66,183.13,615.03,853.14,527.75,190.28,586.43,900.84,568.89,206.82,437.24,820.96
Overall Ampalaya Production,0105500000,Pangasinan,819.98,995.0,464.11,305.7,837.33,1035.3,432.41,292.49,837.87,1023.52,380.35,254.66,822.87,1011.0,406.6,228.0,1351.0,975.0,434.65,209.14,1628.8
Overall Ampalaya Production,0200900000,Batanes,0.35,1.85,1.22,0.05,0.42,1.24,0.96,0.24,0.14,1.75,1.09,0.3,0.67,1.78,1.95,0.41,1.15,2.05,2.17,0.63,1.83
Overall Ampalaya Production,0201500000,Cagayan,234.01,701.03,318.63,23.22,223.92,685.67,292.76,15.76,275.82,727.39,285.8,13.25,259.5,678.5,289.28,14.12,212.08,785.25,388.83,18.22,267.66
Overall Ampalaya Production,0203100000,Isabela,966.48,1434.15,310.56,128.98,974.21,1485.78,317.73,115.23,970.3,1482.7,330.84,140.0,968.63,1409.56,299.54,136.1,967.56,1427.88,329.03,130.44,861.8
Overall Ampalaya Production,0205000000,Nueva Vizcaya,310.29,48.79,148.06,475.82,335.49,52.17,139.02,364.43,395.1,55.56,143.54,392.78,365.3,69.6,121.28,64.25,380.2,84.16,141.02,59.36,395.71
Overall Ampalaya Production,0205700000,Quirino,11.76,15.65,66.86,2.2,13.73,17.39,75.11,2.13,15.0,18.71,69.59,3.49,13.47,18.05,81.44,2.85,14.24,18.38,124.98,12.85,15.45
Overall Ampalaya Production,0300800000,Bataan,85.01,201.49,2.7,20.48,108.89,196.42,2.1,15.89,82.57,195.56,2.28,16.95,92.23,221.83,2.09,28.17,63.04,332.74,3.0,18.44,112.65
Overall Ampalaya Production,0301400000,Bulacan,1678.81,1122.75,233.15,950.12,1653.98,1263.8,229.42,872.31,1605.59,995.12,257.35,980.51,1500.75,1554.97,230.84,974.23,1586.77,1570.87,225.4,1065.38,1605.18
Overall Ampalaya Production,0304900000,Nueva Ecija,4332.13,3534.53,2475.13,108.59,4027.97,3426.41,2351.82,103.94,4007.83,3541.33,2114.75,97.6,3486.26,3133.11,2531.56,86.74,3122.64,3508.37,2239.74,73.68,3538.91
Overall Ampalaya Production,0305400000,Pampanga,1280.19,7919.03,29.93,550.98,1431.0,8529.9,32.28,487.95,1470.77,9070.27,31.93,524.0,1602.79,9187.33,36.08,496.02,1711.13,9964.58,36.81,507.74,1752.05
Overall Ampalaya Production,0306900000,Tarlac,250.23,296.59,8.21,993.34,252.59,307.75,7.38,841.84,240.88,384.49,7.94,920.14,245.5,333.62,8.5,938.35,319.26,344.71,9.67,891.43,335.1
Overall Ampalaya Production,0307100000,Zambales,143.49,56.9,4.31,51.36,198.31,47.88,4.2,45.53,215.03,43.62,44.69,50.85,150.39,38.84,1.1,39.8,185.5,14.04,15.1,18.38,23.59
Overall Ampalaya Production,0307700000,Aurora,25.0,158.38,33.48,7.04,20.35,148.0,34.0,12.17,13.79,152.0,30.6,11.22,8.74,94.04,32.17,18.62,1.83,68.6,32.26,41.72,2.0
Overall Ampalaya Production,0401000000,Batangas,20.9,301.14,4477.73,24.22,16.78,318.9,4814.81,19.56,17.4,264.3,3412.67,15.52,35.0,320.0,2462.24,14.25,182.6,420.0,1738.0,18.59,181.29
Overall Ampalaya Production,0402100000,Cavite,45.35,1202.07,135.27,231.6,55.15,1273.55,134.57,208.9,51.38,1469.73,186.0,170.08,41.45,1112.75,261.38,223.5,72.69,1119.54,257.24,226.53,77.26
Overall Ampalaya Production,0403400000,Laguna,10.25,395.22,428.43,188.87,10.03,332.37,336.48,164.05,10.18,327.0,268.0,116.1,60.36,185.05,218.34,114.85,171.32,223.72,235.39,107.57,214.0
