Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Ampalaya Production,0102800000,Ilocos Norte,3002.76,406.87,3056.52,413.86,3188.6,436.93,3112.62,420.5,2539.25,464.92
Overall Ampalaya Production,0102900000,Ilocos Sur,884.35,1446.34,1012.76,1592.1,1101.98,1522.84,1095.23,1535.13,1127.58,1581.01
Overall Ampalaya Production,0103300000,La Union,1319.87,755.13,1360.4,798.25,1382.35,798.16,1380.89,776.71,1469.73,644.06
Overall Ampalaya Production,0105500000,Pangasinan,1814.98,769.81,1872.63,724.9,1861.39,635.01,1833.87,634.6,2326.0,643.79
Overall Ampalaya Production,0200900000,Batanes,2.2,1.27,1.66,1.2,1.89,1.39,2.45,2.36,3.2,2.8
Overall Ampalaya Production,0201500000,Cagayan,935.04,341.85,909.59,308.52,1003.21,299.05,938.0,303.4,997.33,407.05
Overall Ampalaya Production,0203100000,Isabela,2400.63,439.54,2459.99,432.96,2453.0,470.84,2378.19,435.64,2395.44,459.47
Overall Ampalaya Production,0205000000,Nueva Vizcaya,359.08,623.88,387.66,503.45,450.66,536.32,434.9,185.53,464.36,200.38
Overall Ampalaya Production,0205700000,Quirino,27.41,69.06,31.12,77.24,33.71,73.08,31.52,84.29,32.62,137.83
Overall Ampalaya Production,0300800000,Bataan,286.5,23.18,305.31,17.99,278.13,19.23,314.06,30.26,395.78,21.44
Overall Ampalaya Production,0301400000,Bulacan,2801.56,1183.27,2917.78,1101.73,2600.71,1237.86,3055.72,1205.07,3157.64,1290.78
Overall Ampalaya Production,0304900000,Nueva Ecija,7866.66,2583.72,7454.38,2455.76,7549.16,2212.35,6619.37,2618.3,6631.01,2313.42
Overall Ampalaya Production,0305400000,Pampanga,9199.22,580.91,9960.9,520.23,10541.04,555.93,10790.12,532.1,11675.71,544.55
Overall Ampalaya Production,0306900000,Tarlac,546.82,1001.55,560.34,849.22,625.37,928.08,579.12,946.85,663.97,901.1
Overall Ampalaya Production,0307100000,Zambales,200.39,55.67,246.19,49.73,258.65,95.54,189.23,40.9,199.54,33.48
Overall Ampalaya Production,0307700000,Aurora,183.38,40.52,168.35,46.17,165.79,41.82,102.78,50.79,70.43,73.98
Overall Ampalaya Production,0401000000,Batangas,322.04,4501.95,335.68,4834.37,281.7,3428.19,355.0,2476.49,602.6,1756.59
Overall Ampalaya Production,0402100000,Cavite,1247.42,366.87,1328.7,343.47,1521.11,356.08,1154.2,484.88,1192.23,483.77
Overall Ampalaya Production,0403400000,Laguna,405.47,617.3,342.4,500.53,337.18,384.1,245.41,333.19,395.04,342.96
Overall Ampalaya Production,0405600000,Quezon,4220.07,7074.01,4380.87,6930.27,4289.72,6988.14,4042.94,6279.52,3905.26,6645.76
Overall Ampalaya Production,0405800000,Rizal,88.47,17.0,87.51,17.16,99.6,60.77,94.85,86.79,184.51,62.53
Overall Ampalaya Production,0500500000,Albay,437.09,239.22,456.39,224.43,612.06,221.21,584.18,160.94,514.26,184.5
Overall Ampalaya Production,0501600000,Camarines Norte,160.81,54.34,152.5,29.79,92.37,29.28,83.36,9.63,76.56,10.26
Overall Ampalaya Production,0501700000,Camarines Sur,1156.15,110.69,974.13,104.82,1049.24,112.62,779.66,107.19,770.93,183.28
Overall Ampalaya Production,0502000000,Catanduanes,6.33,3.98,6.76,3.17,5.48,3.88,7.48,3.53,6.68,3.83
Overall Ampalaya Production,0504100000,Masbate,279.28,640.04,286.73,658.23,269.95,637.36,58.48,614.65,127.56,514.81
Overall Ampalaya Production,0506200000,Sorsogon,18.06,67.58,15.52,59.69,13.34,64.71,14.32,20.07,16.8,24.43
Overall Ampalaya Production,0600400000,Aklan,97.26,82.71,90.35,65.91,74.75,67.68,93.1,79.16,95.91,85.21
Overall Ampalaya Production,0600600000,Antique,341.23,128.81,330.26,146.98,345.09,140.65,348.93,155.29,410.8,182.74
Overall Ampalaya Production,0601900000,Capiz,316.05,352.6,313.9,337.92,321.9,343.92,297.25,333.25,293.96,252.22
Overall Ampalaya Production,0603000000,Iloilo,578.7,366.1,482.13,321.15,487.97,323.53,482.25,307.59,813.18,708.42
Overall Ampalaya Production,0607900000,Guimaras,139.57,161.13,171.37,175.19,190.1,183.13,174.25,268.59,231.06,280.67
Overall Ampalaya Production,0701200000,Bohol,176.0,643.28,136.52,634.88,194.64,498.69,144.56,528.47,196.41,455.81
Overall Ampalaya Production,0702200000,Cebu,435.45,816.46,390.0,880.0,401.67,903.0,262.21,885.12,416.12,907.39
Overall Ampalaya Production,0802600000,Eastern Samar,5.81,8.72,5.78,10.87,5.0,251.65,13.53,440.31,14.35,303.01
Overall Ampalaya Production,0803700000,Leyte,309.95,328.09,295.46,304.05,316.01,305.22,307.34,299.3,303.5,293.5
Overall Ampalaya Production,0804800000,Northern Samar,64.0,57.3,65.25,58.0,70.08,55.5,83.5,53.15,82.25,71.81
Overall Ampalaya Production,0806000000,Samar (Western Samar),45.07,74.7,43.48,90.98,46.43,123.7,53.56,120.32,52.99,122.83
Overall Ampalaya Production,0806400000,Southern Leyte,77.05,45.06,47.35,47.37,56.16,48.22,57.43,48.49,58.43,61.33
Overall Ampalaya Production,0807800000,Biliran,32.0,26.5,31.63,23.74,24.02,23.97,19.67,17.99,18.03,19.08
Overall Ampalaya Production,0906600000,,9.8,33.5,9.85,33.1,10.3,35.0,10.4,35.0,10.61,36.42
Overall Ampalaya Production,0907200000,Zamboanga del Norte,55.3,258.44,62.81,290.33,63.71,388.48,71.68,201.59,58.19,179.03
Overall Ampalaya Production,0907300000,Zamboanga del Sur,393.61,374.91,422.87,413.62,2243.39,3141.67,1979.19,3181.68,572.35,399.98
Overall Ampalaya Production,0907400000,Zamboanga City,1841.25,2302.5,1833.91,2290.12,,,,,450.0,1053.89
Overall Ampalaya Production,0908300000,Zamboanga Sibugay,79.06,101.5,86.81,97.7,87.17,98.99,81.43,98.43,81.86,100.53
Overall Ampalaya Production,1001300000,Bukidnon,101.4,412.75,100.5,479.9,68.91,430.26,64.7,410.16,68.6,441.99
Overall Ampalaya Production,1001800000,Camiguin,12.3,27.81,12.03,35.3,15.94,30.99,13.63,45.13,18.92,28.56
Overall Ampalaya Production,1003500000,Lanao del Norte,169.0,381.0,168.0,385.0,169.35,388.5,164.0,391.0,160.0,392.0
Overall Ampalaya Production,1004200000,Misamis Occidental,245.0,171.2,260.92,183.63,275.53,192.5,234.6,193.56,242.01,196.79
Overall Ampalaya Production,1004300000,Misamis Oriental,364.0,1199.0,414.7,1207.29,372.54,1200.0,528.36,1138.24,515.6,1128.65
Overall Ampalaya Production,1102300000,Davao del Norte,113.76,173.88,110.97,168.17,118.66,179.19,122.13,180.94,123.7,178.06
Overall Ampalaya Production,1102400000,Davao del Sur,143.29,417.64,132.64,391.25,522.36,857.61,487.48,845.3,234.46,216.92
Overall Ampalaya Production,1102500000,Davao Oriental,141.72,180.14,136.01,165.86,143.75,161.5,140.21,154.19,146.03,147.55
Overall Ampalaya Production,1108200000,Davao de Oro (Compostela Valley),364.32,478.42,359.56,474.83,351.39,501.96,337.89,483.59,328.03,485.59
Overall Ampalaya Production,1108600000,Davao Occidental,28.14,69.64,26.99,68.34,26.75,65.83,27.75,67.77,29.59,69.41
Overall Ampalaya Production,1130700000,Davao City,371.62,428.22,389.35,443.63,,,,,241.87,495.62
Overall Ampalaya Production,1204700000,Cotabato (North Cotabato),110.81,497.81,98.85,408.46,102.28,383.59,159.45,339.15,138.51,222.65
Overall Ampalaya Production,1206300000,South Cotabato,80.79,138.29,84.0,106.09,98.7,118.82,98.3,121.3,181.84,119.4
Overall Ampalaya Production,1206500000,Sultan Kudarat,80.66,100.5,88.42,101.06,98.41,106.2,92.05,99.76,99.22,113.54
Overall Ampalaya Production,1208000000,Sarangani,16.5,84.5,16.73,86.0,18.1,60.0,23.0,92.0,28.0,86.75
Overall Ampalaya Production,1400100000,Abra,237.42,49.62,235.08,47.95,228.25,23.63,148.06,28.16,144.0,54.58
Overall Ampalaya Production,1401100000,Benguet,,,,,,0.03,,7.07,137.4,0.19
