Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Avocado Production,0102800000,Ilocos Norte,,64.89,145.57,2.79,,67.69,155.09,2.57,,65.85,126.53,2.1,0.03,63.14,122.4,1.9,0.03,63.31,131.6,2.19,0.02
Overall Avocado Production,0102900000,Ilocos Sur,,327.0,921.97,,,350.26,960.07,,,400.42,939.23,18.79,,330.8,934.88,,0.65,344.73,938.68,0.05,1.29
Overall Avocado Production,0103300000,La Union,,335.75,228.76,,,353.11,243.91,,,373.48,238.67,2.11,9.85,335.23,240.0,1.97,13.79,368.59,77.48,2.19,11.82
Overall Avocado Production,0105500000,Pangasinan,,20.9,46.25,73.5,,19.91,42.14,70.0,,17.78,40.46,69.0,,15.88,38.84,66.0,0.89,16.57,40.07,64.08,1.46
Overall Avocado Production,0200900000,Batanes,,,0.44,,,,0.28,,,,0.35,,,,0.18,,,,,,
Overall Avocado Production,0201500000,Cagayan,,23.13,1165.49,,,25.13,1240.31,,,26.83,1054.5,,,25.98,911.99,2.33,,22.85,1082.75,39.96,
Overall Avocado Production,0203100000,Isabela,,7.21,1049.98,,,6.57,1046.41,,,6.0,1042.0,,0.16,5.46,1033.97,,0.15,5.38,1039.09,,0.16
Overall Avocado Production,0205000000,Nueva Vizcaya,2.82,418.95,719.1,,2.89,421.27,797.97,,4.34,441.78,758.54,6.18,3.62,431.53,778.26,,3.98,436.66,771.68,9.4,4.38
Overall Avocado Production,0205700000,Quirino,,30.59,576.99,,,30.95,558.85,,,31.31,576.0,,,22.8,576.49,,,14.29,571.96,,
Overall Avocado Production,0300800000,Bataan,,52.64,20.32,,,51.03,21.05,,,52.55,18.1,,,52.07,17.52,,,85.45,18.46,,0.01
Overall Avocado Production,0301400000,Bulacan,9.11,6.12,26.54,,10.4,5.9,25.67,,10.0,5.69,21.5,,8.75,5.25,18.5,,9.71,5.21,17.49,,9.59
Overall Avocado Production,0304900000,Nueva Ecija,,38.82,47.77,,,40.93,48.59,,,39.64,44.19,,0.13,27.64,46.27,,,43.0,60.82,,
Overall Avocado Production,0305400000,Pampanga,,0.35,1.3,4.05,,0.33,1.28,4.04,,0.34,1.27,4.03,0.91,2.73,1.27,4.04,0.8,2.79,1.26,4.0,0.83
Overall Avocado Production,0306900000,Tarlac,2.1,21.69,13.82,7.75,1.73,25.09,10.52,5.76,1.25,25.75,13.31,6.94,1.69,24.2,13.5,7.12,1.71,23.21,13.21,6.93,2.03
Overall Avocado Production,0307100000,Zambales,,62.49,119.1,,,69.46,129.98,,,74.29,59.36,129.11,,51.6,77.37,64.55,,30.88,6.12,,
Overall Avocado Production,0307700000,Aurora,,115.0,186.24,0.74,,198.81,213.49,,,200.0,120.09,2.19,26.49,169.74,118.82,1.62,,23.11,106.87,1.01,0.58
Overall Avocado Production,0401000000,Batangas,,15.98,152.34,,,13.55,130.67,,,11.86,250.0,9.01,0.33,35.0,234.68,9.65,0.29,30.86,251.23,10.5,0.35
Overall Avocado Production,0402100000,Cavite,,204.63,280.29,,,238.5,296.75,,,274.45,260.89,4.33,8.61,222.1,218.33,3.35,,165.6,202.91,,10.39
Overall Avocado Production,0403400000,Laguna,,2.13,45.92,0.84,,3.06,44.26,0.82,,3.12,36.65,0.85,0.02,3.28,21.17,4.18,,3.97,34.03,3.15,29.92
Overall Avocado Production,0405600000,Quezon,,3.42,7.76,51.76,,3.12,7.22,56.78,0.52,2.9,42.89,57.92,0.5,2.5,56.51,49.43,0.47,2.72,63.49,59.67,0.5
Overall Avocado Production,0405800000,Rizal,,9.82,42.04,,,9.52,51.33,,,8.99,50.0,,,8.66,48.95,1.07,,17.2,51.33,,
Overall Avocado Production,0500500000,Albay,6.67,17.38,46.95,20.1,6.24,28.31,60.61,18.0,,26.29,51.78,5.28,7.68,25.51,51.69,0.95,10.41,32.97,57.27,2.69,2.9
Overall Avocado Production,0501600000,Camarines Norte,,56.97,62.46,79.14,,33.93,69.99,,,50.85,60.42,0.07,1.97,33.74,83.76,,,16.46,103.77,0.57,1.94
Overall Avocado Production,0501700000,Camarines Sur,,3.45,4.85,,,4.75,5.2,,,6.0,5.6,7.57,20.89,83.91,6.0,1.79,14.5,120.6,6.44,16.38,0.56
Overall Avocado Production,0502000000,Catanduanes,,0.1,20.88,0.05,,0.22,48.72,0.25,,0.18,72.92,0.21,0.99,0.26,85.02,0.15,0.2,0.22,43.27,0.5,0.04
Overall Avocado Production,0504100000,Masbate,46.0,21.5,174.0,0.52,45.0,21.52,173.0,0.51,45.14,21.6,,0.46,46.15,22.78,171.0,0.47,,28.18,168.19,0.42,5.92
Overall Avocado Production,0506200000,Sorsogon,,154.39,440.79,0.26,,162.1,374.67,,,129.68,414.47,0.23,0.16,97.26,331.58,,0.2,87.53,316.03,0.48,0.19
Overall Avocado Production,0600400000,Aklan,18.86,43.75,8.05,49.23,17.84,46.21,5.21,46.77,17.0,44.24,7.06,30.3,11.01,28.65,6.77,29.0,10.54,27.43,6.48,12.85,4.67
Overall Avocado Production,0600600000,Antique,1.27,28.55,30.01,1.12,1.05,29.1,29.24,1.47,1.88,32.73,29.68,3.4,2.22,29.65,28.88,3.33,2.23,29.69,29.27,5.46,6.28
Overall Avocado Production,0601900000,Capiz,4.31,15.25,37.5,17.92,5.6,18.89,38.43,18.7,5.17,17.72,37.35,18.41,5.24,17.75,39.77,19.63,4.57,19.15,41.3,19.9,4.28
Overall Avocado Production,0603000000,Iloilo,,160.0,156.0,7.6,,168.0,175.0,7.25,,176.0,158.67,6.57,0.01,174.0,156.87,6.5,21.53,182.0,154.5,22.53,10.17
Overall Avocado Production,0607900000,Guimaras,0.2,14.0,27.51,0.03,0.25,14.9,36.18,0.04,0.47,17.88,29.96,0.02,0.52,18.25,32.35,,0.65,25.85,35.0,,3.75
Overall Avocado Production,0701200000,Bohol,18.1,106.64,142.98,2.16,,10.65,64.82,0.84,0.1,93.19,60.99,10.95,20.97,45.78,53.72,13.64,24.61,213.39,140.91,23.83,4.18
Overall Avocado Production,0702200000,Cebu,1.7,118.8,544.0,285.0,1.0,84.0,530.0,275.0,0.72,73.84,499.0,273.58,1.6,74.65,469.0,268.0,2.0,76.0,312.14,216.12,1.87
Overall Avocado Production,0802600000,Eastern Samar,,3.5,4.85,3.79,,3.51,4.69,3.96,,5.19,6.1,14.26,12.78,6.01,7.32,13.98,14.31,7.51,12.34,6.71,15.03
Overall Avocado Production,0803700000,Leyte,1.2,26.78,66.62,16.9,0.88,23.15,66.59,16.7,0.88,28.18,66.57,19.71,0.87,36.78,68.0,20.88,0.85,37.1,69.0,19.0,0.84
Overall Avocado Production,0804800000,Northern Samar,2.15,14.25,0.76,6.34,2.17,14.3,0.78,7.12,2.0,16.5,0.79,7.0,1.99,18.5,0.8,6.5,,18.0,0.79,6.0,0.66
Overall Avocado Production,0806000000,Samar (Western Samar),5.0,7.36,174.83,,,7.51,179.97,,,10.88,155.14,,14.79,11.15,171.27,5.04,,11.86,168.79,5.25,
Overall Avocado Production,0806400000,Southern Leyte,,10.3,12.08,,,6.5,5.85,,,7.65,7.45,,2.56,12.05,7.45,12.22,3.49,,23.33,13.61,2.23
Overall Avocado Production,0807800000,Biliran,0.45,6.8,20.0,25.0,0.34,5.7,26.0,21.0,0.2,8.67,23.64,20.79,0.18,7.88,17.42,18.9,0.24,8.66,18.61,20.23,0.21
Overall Avocado Production,0906600000,,1.6,41.0,2.69,7.0,1.7,42.0,2.4,8.0,1.5,41.5,2.4,8.1,1.6,42.0,2.5,8.2,1.62,44.3,2.65,7.41,1.63
Overall Avocado Production,0907200000,Zamboanga del Norte,5.7,231.93,45.05,1.78,4.56,218.44,39.03,1.48,5.2,254.51,41.71,6.25,5.3,263.65,46.12,5.67,5.02,245.53,47.6,5.96,8.35
Overall Avocado Production,0907300000,Zamboanga del Sur,4.12,228.34,87.51,73.73,4.2,238.63,89.17,74.89,289.76,498.79,134.59,105.71,280.21,435.44,130.04,88.87,298.1,241.29,121.0,234.67,125.4
Overall Avocado Production,0907400000,Zamboanga City,275.06,184.58,47.48,48.08,284.67,190.4,47.55,49.83,,,,,,,,,,189.47,98.0,95.83,100.62
Overall Avocado Production,0908300000,Zamboanga Sibugay,7.61,56.88,27.65,,7.6,61.46,24.68,,6.87,66.69,25.85,7.46,6.02,60.81,25.13,6.98,7.15,65.96,15.58,0.96,7.75
Overall Avocado Production,1001300000,Bukidnon,28.14,187.68,78.6,11.2,28.0,186.0,79.0,9.0,17.42,172.47,83.56,10.57,28.57,159.0,84.5,10.0,30.0,149.6,82.44,14.0,25.33
Overall Avocado Production,1001800000,Camiguin,0.25,6.81,28.19,1.4,0.16,4.33,27.56,1.11,0.2,5.44,8.5,1.2,1.8,7.04,31.86,1.3,2.32,19.22,35.0,1.27,4.76
Overall Avocado Production,1003500000,Lanao del Norte,85.0,95.0,75.0,17.0,80.0,103.0,73.0,20.0,90.0,105.0,72.0,19.2,85.0,115.0,73.0,19.0,83.0,118.15,74.0,20.1,86.0
Overall Avocado Production,1004200000,Misamis Occidental,1.42,7.58,23.5,11.0,1.57,7.97,25.0,10.6,1.0,8.55,26.0,10.7,1.02,17.74,26.88,10.75,1.03,18.36,27.75,10.68,1.04
Overall Avocado Production,1004300000,Misamis Oriental,6.1,33.0,14.97,0.43,6.5,39.11,16.66,0.49,5.15,34.8,10.52,1.23,5.92,42.47,14.05,1.4,5.86,44.24,15.0,1.45,5.59
Overall Avocado Production,1102300000,Davao del Norte,34.01,51.42,55.67,40.23,35.1,49.45,60.89,39.79,34.02,49.69,60.89,39.17,31.89,50.31,60.88,39.4,33.97,55.04,59.51,39.39,33.8
Overall Avocado Production,1102400000,Davao del Sur,34.12,31.12,19.28,1.61,33.61,32.84,18.74,1.59,205.2,316.27,246.41,187.59,203.0,332.08,249.24,191.72,212.74,37.53,27.09,21.0,22.85
Overall Avocado Production,1102500000,Davao Oriental,17.17,35.23,27.16,14.57,18.46,36.49,28.38,14.21,19.54,36.63,26.85,15.24,18.69,35.31,25.7,14.67,20.07,37.84,27.17,15.73,21.07
Overall Avocado Production,1108200000,Davao de Oro (Compostela Valley),4.46,135.45,65.34,72.1,4.31,130.18,62.35,74.2,11.62,120.62,59.97,58.85,11.25,116.56,58.07,56.72,11.61,120.81,58.28,57.22,11.35
Overall Avocado Production,1108600000,Davao Occidental,0.07,0.23,,,0.09,0.24,,,0.09,0.91,,,1.19,5.79,4.45,,1.28,6.28,4.3,,1.24
Overall Avocado Production,1130700000,Davao City,198.34,290.19,232.36,188.0,196.85,295.83,230.5,190.0,,,,,,,,,,307.83,222.38,172.2,187.41
Overall Avocado Production,1204700000,Cotabato (North Cotabato),22.97,74.83,7.25,0.08,24.85,75.49,10.07,0.1,32.56,84.75,13.55,0.36,49.58,79.28,16.83,0.84,46.43,80.16,5.74,3.45,70.35
Overall Avocado Production,1206300000,South Cotabato,28.69,118.26,79.44,48.98,33.2,129.87,102.24,56.57,38.04,149.35,111.64,67.6,67.6,157.1,103.1,71.15,107.96,230.72,143.69,82.87,104.44
Overall Avocado Production,1206500000,Sultan Kudarat,17.53,44.23,3.99,4.71,18.01,38.6,3.99,4.9,17.35,35.14,11.58,4.98,16.58,33.38,35.52,5.9,17.31,37.71,10.86,5.16,195.13
Overall Avocado Production,1208000000,Sarangani,15.0,20.0,22.0,33.0,16.0,19.3,25.0,32.0,15.6,24.63,26.3,32.0,15.0,24.58,30.5,31.0,21.0,25.81,27.51,31.6,17.2
Overall Avocado Production,1400100000,Abra,,79.22,7.08,19.43,,82.75,6.89,18.6,,78.06,6.4,10.23,0.6,74.16,5.8,8.9,2.8,81.6,3.04,,
Overall Avocado Production,1401100000,Benguet,,233.04,258.85,,,242.33,265.75,,,245.5,270.0,,4.38,230.0,250.0,,,225.0,182.82,,8.8
Overall Avocado Production,1402700000,Ifugao,,,10.23,,,,13.13,,,,13.92,,,18.29,10.98,,,20.36,11.36,,
Overall Avocado Production,1403200000,Kalinga,,0.75,44.06,,,1.2,47.28,,,1.3,41.91,,,,44.59,,,2.2,44.28,,
Overall Avocado Production,1404400000,Mountain Province,,93.07,170.07,,,102.78,161.0,,,100.37,186.76,,,98.02,190.5,,,102.92,171.45,1.82,
Overall Avocado Production,1408100000,Apayao,,10.0,21.09,,,8.82,22.31,,,10.11,21.09,4.27,,10.45,20.0,3.42,,10.97,19.0,3.56,
Overall Avocado Production,1600200000,Agusan del Norte,1.17,32.41,23.0,2.05,1.1,35.54,25.0,2.1,1.56,44.07,23.0,2.05,1.55,35.01,22.67,14.91,1.67,38.0,24.5,15.5,1.41
Overall Avocado Production,1600300000,Agusan del Sur,2.4,69.77,4.46,1.7,2.08,64.9,3.95,1.6,2.09,50.62,2.93,1.7,2.1,5.4,3.0,1.6,2.2,5.9,3.18,1.54,2.51
Overall Avocado Production,1606700000,Surigao del Norte,0.45,10.05,17.1,1.5,0.18,8.5,18.81,3.1,0.2,7.15,10.25,1.35,0.34,8.0,9.5,,0.56,9.87,20.24,0.12,0.21
Overall Avocado Production,1606800000,Surigao del Sur,0.32,75.6,177.02,8.28,0.48,104.76,238.3,8.2,0.72,87.74,1.75,11.34,1.33,15.0,8.36,10.26,0.51,6.62,8.0,11.25,0.85
Overall Avocado Production,1608500000,Dinagat Islands,0.03,7.02,6.55,0.28,,6.4,0.55,0.15,0.03,6.97,2.68,0.11,,,1.91,0.33,,6.34,1.14,,
Overall Avocado Production,1630400000,Butuan City,,,,,,,,,,,,,,,,,,,,,0.64
Overall Avocado Production,1704000000,Marinduque,,20.39,86.27,,,21.73,110.47,,,25.92,71.81,3.97,,22.5,26.62,0.5,,23.96,19.46,0.63,
Overall Avocado Production,1705100000,Occidental Mindoro,,226.63,91.13,143.1,,202.94,75.85,123.29,,201.38,,128.55,7.94,210.0,30.54,,,206.86,23.91,0.81,1.55
Overall Avocado Production,1705200000,Oriental Mindoro,0.04,1.43,13.04,0.01,0.04,1.28,10.97,,0.02,1.49,7.78,0.71,0.03,2.7,8.72,0.58,0.2,3.0,14.33,0.4,0.3
Overall Avocado Production,1705300000,Palawan,67.73,211.07,18.03,803.78,53.67,240.43,22.22,789.42,57.37,260.81,5.91,54.89,55.31,254.79,5.62,51.48,53.19,244.7,5.72,55.36,55.01
Overall Avocado Production,1705900000,Romblon,,69.91,58.03,19.28,,71.99,60.33,25.15,,59.25,32.98,20.12,4.35,51.55,52.71,19.45,4.72,54.42,56.52,16.04,4.35
Overall Avocado Production,1731500000,Puerto Princesa City,,,,,,,,,,,,,,,,,,,,,15.46
Overall Avocado Production,1804500000,Negros Occidental,,46.0,76.55,4.27,,52.73,88.33,5.38,,61.49,90.0,5.48,0.05,77.65,87.49,5.38,0.1,90.0,127.03,5.41,15.85
Overall Avocado Production,1804600000,Negros Oriental,3.35,67.42,422.0,,0.75,28.27,405.0,,2.5,43.62,125.5,43.44,2.2,71.78,71.28,30.36,1.91,55.03,77.78,18.63,2.2
Overall Avocado Production,1806100000,Siquijor,0.08,3.74,15.35,6.13,0.05,3.7,14.6,5.87,0.08,4.0,10.0,5.55,0.1,5.14,13.41,5.85,0.09,6.32,13.7,5.85,0.08
Overall Avocado Production,1900700000,Basilan,0.8,4.84,6.38,,0.84,5.11,6.57,1.65,0.82,4.97,0.27,,0.99,12.77,1.07,,2.39,52.59,2.08,1.0,5.12
Overall Avocado Production,1903600000,Lanao del Sur,8.13,4.98,9.63,9.26,8.12,4.99,9.64,9.24,8.11,5.0,9.7,28.65,13.29,6.4,22.53,1.23,16.74,11.03,21.27,1.82,16.7
Overall Avocado Production,1907000000,Tawi-Tawi,0.48,2.5,0.64,0.45,0.58,2.8,0.56,0.5,0.48,2.2,0.6,0.42,0.55,1.8,1.6,0.8,0.11,0.8,4.07,,6.26
Overall Avocado Production,1908700000,Maguindanao del Norte,,,,,,,,,,,,,,,,,20.75,470.25,480.0,325.0,20.0
Overall Avocado Production,1908800000,Maguindanao del Sur,48.0,425.0,180.0,11.0,49.0,426.5,181.0,11.15,49.0,639.75,182.0,11.2,50.53,651.0,296.62,39.05,13.18,292.95,92.5,42.5,2.19
