Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Avocado Production,0102800000,Ilocos Norte,64.89,148.36,67.69,157.66,65.85,128.63,63.17,124.3,63.34,133.79
Overall Avocado Production,0102900000,Ilocos Sur,327.0,921.97,350.26,960.07,400.42,958.02,330.8,934.88,345.38,938.73
Overall Avocado Production,0103300000,La Union,335.75,228.76,353.11,243.91,373.48,240.78,345.08,241.97,382.38,79.67
Overall Avocado Production,0105500000,Pangasinan,20.9,119.75,19.91,112.14,17.78,109.46,15.88,104.84,17.46,104.15
Overall Avocado Production,0200900000,Batanes,,0.44,,0.28,,0.35,,0.18,,
Overall Avocado Production,0201500000,Cagayan,23.13,1165.49,25.13,1240.31,26.83,1054.5,25.98,914.32,22.85,1122.71
Overall Avocado Production,0203100000,Isabela,7.21,1049.98,6.57,1046.41,6.0,1042.0,5.62,1033.97,5.53,1039.09
Overall Avocado Production,0205000000,Nueva Vizcaya,421.77,719.1,424.16,797.97,446.12,764.72,435.15,778.26,440.64,781.08
Overall Avocado Production,0205700000,Quirino,30.59,576.99,30.95,558.85,31.31,576.0,22.8,576.49,14.29,571.96
Overall Avocado Production,0300800000,Bataan,52.64,20.32,51.03,21.05,52.55,18.1,52.07,17.52,85.45,18.46
Overall Avocado Production,0301400000,Bulacan,15.23,26.54,16.3,25.67,15.69,21.5,14.0,18.5,14.92,17.49
Overall Avocado Production,0304900000,Nueva Ecija,38.82,47.77,40.93,48.59,39.64,44.19,27.77,46.27,43.0,60.82
Overall Avocado Production,0305400000,Pampanga,0.35,5.35,0.33,5.32,0.34,5.3,3.64,5.31,3.59,5.26
Overall Avocado Production,0306900000,Tarlac,23.79,21.57,26.82,16.28,27.0,20.25,25.89,20.62,24.92,20.14
Overall Avocado Production,0307100000,Zambales,62.49,119.1,69.46,129.98,74.29,188.47,51.6,141.92,30.88,6.12
Overall Avocado Production,0307700000,Aurora,115.0,186.98,198.81,213.49,200.0,122.28,196.23,120.44,23.11,107.88
Overall Avocado Production,0401000000,Batangas,15.98,152.34,13.55,130.67,11.86,259.01,35.33,244.33,31.15,261.73
Overall Avocado Production,0402100000,Cavite,204.63,280.29,238.5,296.75,274.45,265.22,230.71,221.68,165.6,202.91
Overall Avocado Production,0403400000,Laguna,2.13,46.76,3.06,45.08,3.12,37.5,3.3,25.35,3.97,37.18
Overall Avocado Production,0405600000,Quezon,3.42,59.52,3.12,64.0,3.42,100.81,3.0,105.94,3.19,123.16
Overall Avocado Production,0405800000,Rizal,9.82,42.04,9.52,51.33,8.99,50.0,8.66,50.02,17.2,51.33
Overall Avocado Production,0500500000,Albay,24.05,67.05,34.55,78.61,26.29,57.06,33.19,52.64,43.38,59.96
Overall Avocado Production,0501600000,Camarines Norte,56.97,141.6,33.93,69.99,50.85,60.49,35.71,83.76,16.46,104.34
Overall Avocado Production,0501700000,Camarines Sur,3.45,4.85,4.75,5.2,6.0,13.17,104.8,7.79,135.1,22.82
Overall Avocado Production,0502000000,Catanduanes,0.1,20.93,0.22,48.97,0.18,73.13,1.25,85.17,0.42,43.77
Overall Avocado Production,0504100000,Masbate,67.5,174.52,66.52,173.51,66.74,0.46,68.93,171.47,28.18,168.61
Overall Avocado Production,0506200000,Sorsogon,154.39,441.05,162.1,374.67,129.68,414.7,97.42,331.58,87.73,316.51
Overall Avocado Production,0600400000,Aklan,62.61,57.28,64.05,51.98,61.24,37.36,39.66,35.77,37.97,19.33
Overall Avocado Production,0600600000,Antique,29.82,31.13,30.15,30.71,34.61,33.08,31.87,32.21,31.92,34.73
Overall Avocado Production,0601900000,Capiz,19.56,55.42,24.49,57.13,22.89,55.76,22.99,59.4,23.72,61.2
Overall Avocado Production,0603000000,Iloilo,160.0,163.6,168.0,182.25,176.0,165.24,174.01,163.37,203.53,177.03
Overall Avocado Production,0607900000,Guimaras,14.2,27.54,15.15,36.22,18.35,29.98,18.77,32.35,26.5,35.0
Overall Avocado Production,0701200000,Bohol,124.74,145.14,10.65,65.66,93.29,71.94,66.75,67.36,238.0,164.74
Overall Avocado Production,0702200000,Cebu,120.5,829.0,85.0,805.0,74.56,772.58,76.25,737.0,78.0,528.26
Overall Avocado Production,0802600000,Eastern Samar,3.5,8.64,3.51,8.65,5.19,20.36,18.79,21.3,21.82,19.05
Overall Avocado Production,0803700000,Leyte,27.98,83.52,24.03,83.29,29.06,86.28,37.65,88.88,37.95,88.0
Overall Avocado Production,0804800000,Northern Samar,16.4,7.1,16.47,7.9,18.5,7.79,20.49,7.3,18.0,6.79
Overall Avocado Production,0806000000,Samar (Western Samar),12.36,174.83,7.51,179.97,10.88,155.14,25.94,176.31,11.86,174.04
Overall Avocado Production,0806400000,Southern Leyte,10.3,12.08,6.5,5.85,7.65,7.45,14.61,19.67,3.49,36.94
Overall Avocado Production,0807800000,Biliran,7.25,45.0,6.04,47.0,8.87,44.43,8.06,36.32,8.9,38.84
Overall Avocado Production,0906600000,,42.6,9.69,43.7,10.4,43.0,10.5,43.6,10.7,45.92,10.06
Overall Avocado Production,0907200000,Zamboanga del Norte,237.63,46.83,223.0,40.51,259.71,47.96,268.95,51.79,250.55,53.56
Overall Avocado Production,0907300000,Zamboanga del Sur,232.46,161.24,242.83,164.06,788.55,240.3,715.65,218.91,539.39,355.67
Overall Avocado Production,0907400000,Zamboanga City,459.64,95.56,475.07,97.38,,,,,189.47,193.83
Overall Avocado Production,0908300000,Zamboanga Sibugay,64.49,27.65,69.06,24.68,73.56,33.31,66.83,32.11,73.11,16.54
Overall Avocado Production,1001300000,Bukidnon,215.82,89.8,214.0,88.0,189.89,94.13,187.57,94.5,179.6,96.44
Overall Avocado Production,1001800000,Camiguin,7.06,29.59,4.49,28.67,5.64,9.7,8.84,33.16,21.54,36.27
Overall Avocado Production,1003500000,Lanao del Norte,180.0,92.0,183.0,93.0,195.0,91.2,200.0,92.0,201.15,94.1
Overall Avocado Production,1004200000,Misamis Occidental,9.0,34.5,9.54,35.6,9.55,36.7,18.76,37.63,19.39,38.43
Overall Avocado Production,1004300000,Misamis Oriental,39.1,15.4,45.61,17.15,39.95,11.75,48.39,15.45,50.1,16.45
Overall Avocado Production,1102300000,Davao del Norte,85.43,95.9,84.55,100.68,83.71,100.06,82.2,100.28,89.01,98.9
Overall Avocado Production,1102400000,Davao del Sur,65.24,20.89,66.45,20.33,521.47,434.0,535.08,440.96,250.27,48.09
Overall Avocado Production,1102500000,Davao Oriental,52.4,41.73,54.95,42.59,56.17,42.09,54.0,40.37,57.91,42.9
Overall Avocado Production,1108200000,Davao de Oro (Compostela Valley),139.91,137.44,134.49,136.55,132.24,118.82,127.81,114.79,132.42,115.5
Overall Avocado Production,1108600000,Davao Occidental,0.3,,0.33,,1.0,,6.98,4.45,7.56,4.3
Overall Avocado Production,1130700000,Davao City,488.53,420.36,492.68,420.5,,,,,307.83,394.58
Overall Avocado Production,1204700000,Cotabato (North Cotabato),97.8,7.33,100.34,10.17,117.31,13.91,128.86,17.67,126.59,9.19
Overall Avocado Production,1206300000,South Cotabato,146.95,128.42,163.07,158.81,187.39,179.24,224.7,174.25,338.68,226.56
Overall Avocado Production,1206500000,Sultan Kudarat,61.76,8.7,56.61,8.89,52.49,16.56,49.96,41.42,55.02,16.02
Overall Avocado Production,1208000000,Sarangani,35.0,55.0,35.3,57.0,40.23,58.3,39.58,61.5,46.81,59.11
Overall Avocado Production,1400100000,Abra,79.22,26.51,82.75,25.49,78.06,16.63,74.76,14.7,84.4,3.04
Overall Avocado Production,1401100000,Benguet,233.04,258.85,242.33,265.75,245.5,270.0,234.38,250.0,225.0,182.82
Overall Avocado Production,1402700000,Ifugao,,10.23,,13.13,,13.92,18.29,10.98,20.36,11.36
Overall Avocado Production,1403200000,Kalinga,0.75,44.06,1.2,47.28,1.3,41.91,,44.59,2.2,44.28
Overall Avocado Production,1404400000,Mountain Province,93.07,170.07,102.78,161.0,100.37,186.76,98.02,190.5,102.92,173.27
Overall Avocado Production,1408100000,Apayao,10.0,21.09,8.82,22.31,10.11,25.36,10.45,23.42,10.97,22.56
Overall Avocado Production,1600200000,Agusan del Norte,33.58,25.05,36.64,27.1,45.63,25.05,36.56,37.58,39.67,40.0
Overall Avocado Production,1600300000,Agusan del Sur,72.17,6.16,66.98,5.55,52.71,4.63,7.5,4.6,8.1,4.72
Overall Avocado Production,1606700000,Surigao del Norte,10.5,18.6,8.68,21.91,7.35,11.6,8.34,9.5,10.43,20.36
Overall Avocado Production,1606800000,Surigao del Sur,75.92,185.3,105.24,246.5,88.46,13.09,16.33,18.62,7.13,19.25
