Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Banana Cardava Production,0102800000,Ilocos Norte,1415.62,1145.64,2892.34,57.92,1585.62,1270.35,3027.01,51.1,1618.76,1343.04,2945.01,48.97,1540.0,1327.16,2954.79,47.74,1507.74,1350.82,2595.68,49.27,1552.67
Banana Cardava Production,0102900000,Ilocos Sur,1598.51,1270.54,1481.99,1027.66,1759.22,1419.41,1584.07,1212.7,1956.82,1330.1,1442.23,988.57,1858.02,1337.85,1502.76,1054.37,1868.06,1362.45,1480.67,1085.21,1904.54
Banana Cardava Production,0103300000,La Union,1427.37,863.39,834.51,710.42,1365.8,909.41,881.33,759.65,1446.93,947.69,826.42,774.93,1372.85,669.41,736.19,713.18,1279.15,707.69,340.47,616.21,1252.67
Banana Cardava Production,0105500000,Pangasinan,247.78,3450.9,551.4,3750.95,273.65,3624.17,573.51,3748.0,293.95,3569.55,614.1,3402.0,313.2,3514.84,656.98,3166.0,297.0,3640.0,703.17,2909.87,285.12
Banana Cardava Production,0200900000,Batanes,0.9,0.98,1.21,0.15,0.28,0.41,0.87,0.16,0.8,0.98,1.96,0.3,3.78,1.18,2.45,0.18,1.4,1.1,2.94,0.44,1.72
Banana Cardava Production,0201500000,Cagayan,2769.69,24615.6,10533.5,115.69,2290.56,23825.31,9975.97,107.58,2228.75,25161.52,9378.45,105.11,2253.93,24493.42,9962.64,89.15,1998.1,22845.1,8354.89,104.56,2107.92
Banana Cardava Production,0203100000,Isabela,7129.67,80939.01,47789.68,7924.4,7131.1,81610.81,48732.09,7974.32,7132.05,81696.12,49740.0,8173.67,8391.68,81500.0,47540.41,6083.0,7971.8,76820.4,45439.12,5698.55,6474.15
Banana Cardava Production,0205000000,Nueva Vizcaya,3055.13,3203.81,5037.75,2478.62,3339.01,3471.87,5345.45,2842.1,3592.37,3559.5,5191.6,2775.05,3465.69,3515.69,5268.53,1646.92,3165.4,2489.78,5080.49,1615.52,2532.32
Banana Cardava Production,0205700000,Quirino,3120.43,19242.53,12687.45,12022.44,3321.85,21508.69,13387.93,12231.47,3219.44,24592.82,12966.21,11888.98,2966.0,21953.87,12486.9,7691.5,2721.1,19642.15,10754.16,5906.43,2234.11
Banana Cardava Production,0300800000,Bataan,40.91,181.87,120.43,150.25,53.0,200.36,131.69,149.06,57.89,226.12,138.92,186.33,97.33,148.39,102.87,218.46,101.76,227.02,166.32,228.54,90.82
Banana Cardava Production,0301400000,Bulacan,1935.0,1876.77,1049.82,3454.06,2650.63,2149.0,1119.14,3069.38,2566.44,2154.0,1166.64,3550.35,2595.44,1974.9,1052.9,3375.1,2985.27,1962.85,910.54,3331.61,2715.72
Banana Cardava Production,0304900000,Nueva Ecija,568.65,777.01,1030.71,678.81,575.88,786.4,1046.6,586.83,599.91,823.54,938.11,553.83,566.18,802.34,842.77,381.82,513.21,753.33,776.54,351.56,477.92
Banana Cardava Production,0305400000,Pampanga,285.08,352.5,189.8,153.35,316.28,384.21,204.95,161.18,342.23,427.59,202.68,168.95,351.58,476.69,217.75,177.4,360.93,531.31,220.38,181.28,375.88
Banana Cardava Production,0306900000,Tarlac,647.94,1006.05,790.83,120.38,720.5,1136.57,780.99,112.55,630.81,1156.41,785.33,142.89,666.42,1099.68,795.25,149.71,675.25,1245.51,863.88,136.36,728.82
Banana Cardava Production,0307100000,Zambales,2684.29,1701.43,2130.98,2202.01,3063.47,2169.56,2211.77,2380.7,2285.65,2234.65,1812.0,2163.27,2185.27,1628.38,1588.08,1807.09,2002.73,991.2,933.38,1749.26,1505.47
