Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Banana Cardava Production,0102800000,Ilocos Norte,2561.26,2950.26,2855.97,3078.11,2961.8,2993.98,2867.16,3002.53,2858.56,2644.95,1552.67
Banana Cardava Production,0102900000,Ilocos Sur,2869.05,2509.65,3178.63,2796.77,3286.92,2430.8,3195.87,2557.13,3230.51,2565.88,1904.54
Banana Cardava Production,0103300000,La Union,2290.76,1544.93,2275.21,1640.98,2394.62,1601.35,2042.26,1449.37,1986.84,956.68,1252.67
Banana Cardava Production,0105500000,Pangasinan,3698.68,4302.35,3897.82,4321.51,3863.5,4016.1,3828.04,3822.98,3937.0,3613.04,285.12
Banana Cardava Production,0200900000,Batanes,1.88,1.36,0.69,1.03,1.78,2.26,4.96,2.63,2.5,3.38,1.72
Banana Cardava Production,0201500000,Cagayan,27385.29,10649.19,26115.87,10083.55,27390.27,9483.56,26747.35,10051.79,24843.2,8459.45,2107.92
Banana Cardava Production,0203100000,Isabela,88068.68,55714.08,88741.91,56706.41,88828.17,57913.67,89891.68,53623.41,84792.2,51137.67,6474.15
Banana Cardava Production,0205000000,Nueva Vizcaya,6258.94,7516.37,6810.88,8187.55,7151.87,7966.65,6981.38,6915.45,5655.18,6696.01,2532.32
Banana Cardava Production,0205700000,Quirino,22362.96,24709.89,24830.54,25619.4,27812.26,24855.19,24919.87,20178.4,22363.25,16660.59,2234.11
Banana Cardava Production,0300800000,Bataan,222.78,270.68,253.36,280.75,284.01,325.25,245.72,321.33,328.78,394.86,90.82
Banana Cardava Production,0301400000,Bulacan,3811.77,4503.88,4799.63,4188.52,4720.44,4716.99,4570.34,4428.0,4948.12,4242.15,2715.72
Banana Cardava Production,0304900000,Nueva Ecija,1345.66,1709.52,1362.28,1633.43,1423.45,1491.94,1368.52,1224.59,1266.54,1128.1,477.92
Banana Cardava Production,0305400000,Pampanga,637.58,343.15,700.49,366.13,769.82,371.63,828.27,395.15,892.24,401.66,375.88
Banana Cardava Production,0306900000,Tarlac,1653.99,911.21,1857.07,893.54,1787.22,928.22,1766.1,944.96,1920.76,1000.24,728.82
Banana Cardava Production,0307100000,Zambales,4385.72,4332.99,5233.03,4592.47,4520.3,3975.27,3813.65,3395.17,2993.93,2682.64,1505.47
Banana Cardava Production,0307700000,Aurora,853.98,1160.35,1028.15,1558.03,1421.15,1086.77,1282.91,1162.95,58.71,727.34,7.28
Banana Cardava Production,0401000000,Batangas,5196.07,14140.06,4828.23,15159.59,4048.59,15269.59,5647.0,15315.84,4386.83,15172.73,1567.4
Banana Cardava Production,0402100000,Cavite,8877.26,4129.95,9538.12,4319.46,7883.45,4625.1,6250.34,1895.28,6486.66,1776.37,1899.8
Banana Cardava Production,0403400000,Laguna,1887.76,3788.81,2792.2,3953.12,2701.16,4185.76,2557.94,3780.28,2666.12,4057.05,1512.63
Banana Cardava Production,0405600000,Quezon,12636.1,6099.93,14220.33,6549.81,13148.84,6930.69,12834.96,7147.13,14022.16,7398.78,4529.83
Banana Cardava Production,0405800000,Rizal,602.26,1858.89,809.41,1785.86,925.52,1729.5,900.08,1590.21,871.54,1462.7,170.81
Banana Cardava Production,0500500000,Albay,1551.92,1688.12,1939.58,2082.54,1734.94,1787.78,1840.96,1800.92,2115.84,2304.23,891.49
Banana Cardava Production,0501600000,Camarines Norte,154.89,8018.33,215.79,5034.96,159.1,2866.98,195.66,3122.08,136.3,2625.01,49.12
Banana Cardava Production,0501700000,Camarines Sur,3072.81,7344.1,4030.44,9033.2,3506.81,8564.47,4438.65,7365.05,5872.21,8347.74,1082.06
Banana Cardava Production,0502000000,Catanduanes,18.7,86.69,52.1,166.79,31.33,253.44,48.85,260.62,34.11,226.95,1.26
