Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Banana Cavendish Production,0102900000,Ilocos Sur,,,,,,,,,,,0.85,0.63,,,,0.38,1.62,4.23,1.12,0.51,1.87
Banana Cavendish Production,0105500000,Pangasinan,,,,,,,,,,,0.76,,,,0.8,,,,,,
Banana Cavendish Production,0201500000,Cagayan,,,,,,,,,,,,,,,,3.24,,,,,
Banana Cavendish Production,0203100000,Isabela,,,,,,,,,,,,,1.71,11.04,,,1.45,10.2,9.4,2.34,1.23
Banana Cavendish Production,0205000000,Nueva Vizcaya,81.43,47.83,160.28,64.32,87.25,53.3,170.96,65.66,91.84,56.2,165.62,63.5,89.54,54.75,168.29,32.79,72.1,38.02,161.6,29.01,63.01
Banana Cavendish Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,2.64,,,
Banana Cavendish Production,0402100000,Cavite,,1.45,,,,1.82,,,,1.67,,,0.54,0.95,0.97,0.4,0.35,1.3,3.34,,
Banana Cavendish Production,0403400000,Laguna,73.83,156.69,128.13,182.02,213.9,259.27,291.08,203.5,104.07,51.43,115.05,266.76,146.52,49.76,71.5,102.62,,,,,
Banana Cavendish Production,0500500000,Albay,,,,,,,,,,,,,1.17,,1.1,1.02,2.59,1.18,3.59,,
Banana Cavendish Production,0501600000,Camarines Norte,,,,,,,,,,,,72.06,,,,,,,,,
Banana Cavendish Production,0501700000,Camarines Sur,,,,,,,,,,,,,,,,1.0,,,,,
Banana Cavendish Production,0502000000,Catanduanes,,,,,,,,,,,,,9.5,,,,0.23,1.49,,3.98,0.04
Banana Cavendish Production,0600400000,Aklan,2.95,6.11,8.78,7.94,3.05,6.24,9.09,7.42,3.0,5.82,8.4,6.29,4.87,6.05,8.75,7.21,5.58,6.0,8.68,7.15,4.22
Banana Cavendish Production,0600600000,Antique,3.0,3.09,8.0,7.3,2.73,3.07,7.84,7.16,2.92,2.88,8.03,7.2,1.04,2.72,8.0,7.0,1.07,2.73,5.42,6.4,2.01
Banana Cavendish Production,0601900000,Capiz,1.9,3.2,3.31,6.65,2.28,3.84,3.51,6.99,2.41,4.06,3.19,7.38,2.5,4.05,3.12,7.2,2.51,4.07,3.27,3.49,2.51
Banana Cavendish Production,0603000000,Iloilo,210.0,475.0,210.0,386.11,221.49,516.37,189.5,362.95,212.63,495.0,193.17,305.81,216.75,480.0,187.32,296.55,213.15,485.0,192.0,344.04,214.95
Banana Cavendish Production,0607900000,Guimaras,0.27,0.1,0.3,0.5,0.11,0.06,0.35,0.4,0.1,0.05,0.3,0.36,0.09,,0.35,0.73,0.09,0.1,0.64,0.36,0.11
