Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Banana Cavendish Production,0102900000,Ilocos Sur,,,,,,1.48,,0.38,5.85,1.63
Banana Cavendish Production,0105500000,Pangasinan,,,,,,0.76,,0.8,,
Banana Cavendish Production,0201500000,Cagayan,,,,,,,,3.24,,
Banana Cavendish Production,0203100000,Isabela,,,,,,,12.75,,11.65,11.74
Banana Cavendish Production,0205000000,Nueva Vizcaya,129.26,224.6,140.55,236.62,148.04,229.12,144.29,201.08,110.12,190.61
Banana Cavendish Production,0306900000,Tarlac,,,,,,,,,2.64,
Banana Cavendish Production,0402100000,Cavite,1.45,,1.82,,1.67,,1.49,1.37,1.65,3.34
Banana Cavendish Production,0403400000,Laguna,230.52,310.15,473.17,494.58,155.5,381.81,196.28,174.12,,
Banana Cavendish Production,0500500000,Albay,,,,,,,1.17,2.12,3.77,3.59
Banana Cavendish Production,0501600000,Camarines Norte,,,,,,72.06,,,,
Banana Cavendish Production,0501700000,Camarines Sur,,,,,,,,1.0,,
Banana Cavendish Production,0502000000,Catanduanes,,,,,,,9.5,,1.72,3.98
Banana Cavendish Production,0600400000,Aklan,9.06,16.72,9.29,16.51,8.82,14.69,10.92,15.96,11.58,15.83
Banana Cavendish Production,0600600000,Antique,6.09,15.3,5.8,15.0,5.8,15.23,3.76,15.0,3.8,11.82
Banana Cavendish Production,0601900000,Capiz,5.1,9.96,6.12,10.5,6.47,10.57,6.55,10.32,6.58,6.76
Banana Cavendish Production,0603000000,Iloilo,685.0,596.11,737.86,552.45,707.63,498.98,696.75,483.87,698.15,536.04
Banana Cavendish Production,0607900000,Guimaras,0.37,0.8,0.17,0.75,0.15,0.66,0.09,1.08,0.19,1.0
Banana Cavendish Production,0701200000,Bohol,202.3,202.02,15.27,107.59,113.94,169.04,211.07,186.83,218.84,296.01
Banana Cavendish Production,0702200000,Cebu,22.43,14.3,17.0,14.0,20.4,15.33,18.06,14.68,18.5,15.38
Banana Cavendish Production,0802600000,Eastern Samar,,,,,,0.56,,0.64,52.41,0.58
Banana Cavendish Production,0803700000,Leyte,40.21,47.48,38.09,48.73,33.6,47.97,35.0,48.85,35.3,47.68
Banana Cavendish Production,0804800000,Northern Samar,,,,,,,3.61,55.92,,
Banana Cavendish Production,0806400000,Southern Leyte,,,,,,31.8,1.26,47.65,91.56,49.41
Banana Cavendish Production,0807800000,Biliran,,,,,,,5.36,,,
Banana Cavendish Production,0907200000,Zamboanga del Norte,,,,,,,18.91,18.49,37.67,37.32
Banana Cavendish Production,0907300000,Zamboanga del Sur,80.24,59.32,83.26,58.52,68.66,55.79,60.06,53.5,70.01,96.37
Banana Cavendish Production,0908300000,Zamboanga Sibugay,8.55,20.05,8.69,19.29,9.15,20.0,8.64,19.81,8.64,18.79
Banana Cavendish Production,1001300000,Bukidnon,655860.43,697101.0,656493.0,698721.75,648311.58,704055.5,614310.0,701622.0,612785.39,671471.4
Banana Cavendish Production,1001800000,Camiguin,5.24,6.55,3.16,8.05,4.24,19.81,36.6,18.35,51.41,33.47
Banana Cavendish Production,1004200000,Misamis Occidental,347.5,136.0,377.97,157.46,366.91,165.0,359.42,169.78,365.48,174.51
Banana Cavendish Production,1004300000,Misamis Oriental,6133.01,5028.52,7288.36,4963.6,8594.68,5057.58,6626.7,4781.0,6781.0,5017.7
Banana Cavendish Production,1102300000,Davao del Norte,735480.26,640213.3,724665.42,648017.71,722048.69,657607.8,711906.63,659003.26,709636.38,662116.27
Banana Cavendish Production,1102400000,Davao del Sur,76962.61,92398.2,73984.81,91264.67,168769.85,198660.17,158918.68,196673.57,122144.48,99647.85
Banana Cavendish Production,1102500000,Davao Oriental,6088.97,7245.44,6297.77,6821.02,5833.85,6490.54,6512.04,6298.64,6154.49,6789.41
Banana Cavendish Production,1108200000,Davao de Oro (Compostela Valley),319311.51,335572.09,319630.98,326352.73,318081.25,321265.16,287197.28,309954.02,285044.54,310148.31
Banana Cavendish Production,1108600000,Davao Occidental,10410.39,14220.17,10795.59,15159.79,11950.37,14926.75,11697.47,14903.91,15099.27,18027.86
Banana Cavendish Production,1130700000,Davao City,110622.24,118806.0,101304.4,111703.5,,,,,34733.83,95837.79
Banana Cavendish Production,1204700000,Cotabato (North Cotabato),76040.46,67264.23,85703.71,65827.0,81854.0,69961.48,74733.66,68444.89,71082.96,61133.26
Banana Cavendish Production,1206300000,South Cotabato,79736.74,84100.42,78307.24,80872.63,75792.85,74395.68,71077.65,73055.86,70603.85,71772.6
Banana Cavendish Production,1206500000,Sultan Kudarat,78891.81,74794.11,82911.89,79238.72,88658.24,87313.47,83487.31,74490.96,34771.36,1841.54
Banana Cavendish Production,1208000000,Sarangani,58559.0,61814.0,57785.0,55274.0,51422.53,51945.0,49710.11,50600.0,53210.0,54093.73
Banana Cavendish Production,1402700000,Ifugao,,,,,,10.45,79.53,11.21,15.41,4.84
Banana Cavendish Production,1404400000,Mountain Province,,,,,,,,,1.34,
Banana Cavendish Production,1600200000,Agusan del Norte,9100.0,8930.0,6642.39,9685.0,8551.96,5869.04,4250.15,4166.0,5266.07,4482.86
Banana Cavendish Production,1600300000,Agusan del Sur,5924.21,4375.51,5377.18,4080.34,5249.62,4143.75,4456.0,4108.0,4718.0,2300.0
Banana Cavendish Production,1606700000,Surigao del Norte,6.95,26.5,1.83,24.18,1.0,19.96,0.12,17.07,3.96,16.29
Banana Cavendish Production,1606800000,Surigao del Sur,36906.57,13103.69,28829.66,984.0,15786.46,28655.15,42213.38,29164.12,32277.72,31790.06
Banana Cavendish Production,1608500000,Dinagat Islands,0.17,0.49,,0.13,0.31,14.12,1.41,16.03,2.12,16.96
Banana Cavendish Production,1705100000,Occidental Mindoro,,,,,,,,,,
Banana Cavendish Production,1705200000,Oriental Mindoro,,,,,,,,,,
Banana Cavendish Production,1705900000,Romblon,,,,,,3.0,9.05,2.5,0.03,
Banana Cavendish Production,1804500000,Negros Occidental,1550.6,2326.0,1535.43,2772.36,2365.23,1838.55,1772.7,1778.02,1342.82,1463.67
Banana Cavendish Production,1804600000,Negros Oriental,71.61,71.17,37.83,53.55,57.32,81.66,82.02,106.23,110.45,143.88
Banana Cavendish Production,1806100000,Siquijor,8.8,8.39,7.55,8.9,8.75,11.7,6.82,9.58,7.09,10.16
Banana Cavendish Production,1903600000,Lanao del Sur,568.72,89.26,568.76,89.25,568.94,90.42,573.0,91.17,612.0,118.5
Banana Cavendish Production,1908700000,Maguindanao del Norte,,,,,,,,,23222.0,20852.23
Banana Cavendish Production,1908800000,Maguindanao del Sur,67616.0,126110.0,68654.88,126242.4,68674.0,126298.0,67783.7,77754.2,42469.15,45749.15
