Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Bell Pepper Production,0102800000,Ilocos Norte,970.13,17.42,,9.52,958.42,16.36,,9.06,975.28,17.35,1.28,9.94,978.78,17.04,1.54,9.61,970.83,36.92,12.84,22.46,1037.86
Overall Bell Pepper Production,0102900000,Ilocos Sur,732.59,11.97,,50.0,752.79,14.83,,57.96,768.55,17.57,,58.04,722.23,16.2,,59.69,745.39,19.5,,59.88,733.81
Overall Bell Pepper Production,0103300000,La Union,1.04,,,1.6,1.1,,,1.79,1.22,,0.15,1.52,1.12,,0.13,1.4,1.25,0.91,0.11,1.05,1.22
Overall Bell Pepper Production,0105500000,Pangasinan,10.05,7.0,,,9.0,6.76,,,7.0,6.71,,0.02,5.46,6.71,,,5.41,7.0,,,5.96
Overall Bell Pepper Production,0200900000,Batanes,0.12,0.53,,,0.12,0.79,,,0.11,0.87,0.66,0.53,0.15,0.92,0.75,,0.2,1.0,0.8,0.67,0.24
Overall Bell Pepper Production,0201500000,Cagayan,,0.18,,,,0.15,,,,0.16,0.75,,0.38,0.1,,0.66,0.2,0.28,0.05,0.34,0.29
Overall Bell Pepper Production,0203100000,Isabela,4.68,0.07,0.74,0.24,2.71,0.06,0.41,0.21,2.5,0.05,0.41,,1.85,0.06,0.37,,1.8,,0.65,,1.57
Overall Bell Pepper Production,0205000000,Nueva Vizcaya,28.06,134.45,92.72,16.4,30.5,140.33,95.84,14.12,43.94,142.23,94.28,21.5,28.24,141.28,209.43,15.51,42.09,141.76,211.25,17.04,46.84
Overall Bell Pepper Production,0205700000,Quirino,0.08,1.15,0.21,0.35,0.1,1.38,0.22,0.33,0.09,1.26,0.22,0.4,,1.0,0.23,0.38,0.08,1.02,0.22,0.39,0.06
Overall Bell Pepper Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,,,
Overall Bell Pepper Production,0301400000,Bulacan,7.24,12.48,2.4,45.0,6.15,11.0,2.38,43.0,6.0,11.0,,45.71,4.75,9.12,0.01,42.25,5.06,7.37,,43.98,5.27
Overall Bell Pepper Production,0304900000,Nueva Ecija,31.43,90.4,2.57,0.12,31.89,82.6,2.42,0.13,29.23,73.46,2.23,0.14,30.31,68.3,2.37,0.11,26.88,61.17,2.07,0.14,25.41
Overall Bell Pepper Production,0305400000,Pampanga,,,,,,,,,,,,,,,,,,,,,
Overall Bell Pepper Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,,,,
Overall Bell Pepper Production,0307100000,Zambales,15.06,10.67,,,17.05,10.93,,,18.11,11.47,,,13.46,8.29,,,0.05,,,,3.46
Overall Bell Pepper Production,0307700000,Aurora,,,,,,,,,,,,,0.11,1.63,,,0.71,0.01,,,0.38
Overall Bell Pepper Production,0401000000,Batangas,1.0,,,,1.2,,,1.0,2.4,,5.93,0.4,1.88,2.09,3.0,2.5,2.0,3.45,2.56,1.3,1.96
Overall Bell Pepper Production,0402100000,Cavite,8.29,46.5,24.19,64.52,9.03,50.78,22.37,60.3,9.5,61.69,23.9,52.98,8.08,68.98,28.9,64.24,10.32,71.2,30.1,65.33,10.12
Overall Bell Pepper Production,0403400000,Laguna,,,,,1.0,,15.0,0.25,0.88,,,0.02,2.24,0.03,,0.01,2.25,0.08,,0.27,6.23
Overall Bell Pepper Production,0405600000,Quezon,,,,,,,,,,,,,,,0.01,,0.02,0.4,0.01,0.07,0.03
Overall Bell Pepper Production,0405800000,Rizal,,,,,,,,,,,,,,,,,,,,,2.81
Overall Bell Pepper Production,0500500000,Albay,,,,,,,,,,,,,,,,,,,,,
Overall Bell Pepper Production,0501600000,Camarines Norte,,,,,,,,,,,,0.08,,,,0.13,,,,0.34,0.06
Overall Bell Pepper Production,0501700000,Camarines Sur,,,,,,,,,,,,,0.21,,0.03,9.41,2.35,0.06,0.24,0.08,0.02
Overall Bell Pepper Production,0502000000,Catanduanes,,,,,,,,,,,,,,0.88,,0.06,0.2,0.16,0.63,0.06,0.04
Overall Bell Pepper Production,0504100000,Masbate,,,,,,,,,,,,,,,,,,,,,
Overall Bell Pepper Production,0506200000,Sorsogon,,,,,,,,,,,,,,0.04,,,,0.05,0.15,,0.16
Overall Bell Pepper Production,0600400000,Aklan,0.97,4.9,3.07,1.05,0.94,5.07,2.68,1.0,1.0,4.62,2.93,2.99,0.97,4.48,3.05,3.11,1.01,4.54,3.09,2.97,0.16
Overall Bell Pepper Production,0600600000,Antique,7.57,13.0,1.62,4.37,6.71,12.71,2.06,5.05,7.66,9.55,1.65,3.35,8.15,10.66,1.83,3.43,8.09,10.65,,3.25,7.67
Overall Bell Pepper Production,0601900000,Capiz,0.1,0.24,0.2,0.15,0.12,0.21,0.22,0.11,0.11,0.24,0.19,0.1,0.13,0.28,0.18,0.09,0.15,0.25,0.17,0.11,0.13
Overall Bell Pepper Production,0603000000,Iloilo,80.96,100.75,21.43,74.76,90.68,105.0,18.21,62.85,87.47,122.65,19.98,68.96,79.93,112.65,18.35,63.33,81.94,278.0,263.26,83.19,247.5
Overall Bell Pepper Production,0607900000,Guimaras,1.35,1.4,1.71,1.43,1.93,1.75,2.57,2.29,2.6,2.06,1.72,2.5,2.8,2.0,2.06,2.88,3.0,2.56,2.5,3.5,3.25
Overall Bell Pepper Production,0701200000,Bohol,40.58,23.93,31.28,40.87,5.25,20.18,24.01,44.45,21.87,29.62,14.42,30.03,13.54,23.19,32.21,26.35,19.69,28.06,40.21,12.18,15.1
Overall Bell Pepper Production,0702200000,Cebu,75.0,49.0,42.13,35.0,69.0,51.0,40.0,37.0,44.85,53.32,38.4,40.0,42.63,49.63,29.9,46.81,51.11,51.32,30.61,47.2,46.91
Overall Bell Pepper Production,0802600000,Eastern Samar,0.06,10.56,0.3,1.34,0.04,14.85,0.4,1.56,0.05,17.17,0.45,0.3,0.3,17.65,0.55,1.26,0.35,17.2,0.39,1.3,0.31
