Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Bell Pepper Production,0102800000,Ilocos Norte,987.55,9.52,974.78,9.06,992.63,11.22,995.82,11.15,1007.75,35.3,1037.86
Overall Bell Pepper Production,0102900000,Ilocos Sur,744.56,50.0,767.62,57.96,786.12,58.04,738.43,59.69,764.89,59.88,733.81
Overall Bell Pepper Production,0103300000,La Union,1.04,1.6,1.1,1.79,1.22,1.67,1.12,1.53,2.16,1.16,1.22
Overall Bell Pepper Production,0105500000,Pangasinan,17.05,,15.76,,13.71,0.02,12.17,,12.41,,5.96
Overall Bell Pepper Production,0200900000,Batanes,0.65,,0.91,,0.98,1.19,1.07,0.75,1.2,1.47,0.24
Overall Bell Pepper Production,0201500000,Cagayan,0.18,,0.15,,0.16,0.75,0.48,0.66,0.48,0.39,0.29
Overall Bell Pepper Production,0203100000,Isabela,4.75,0.98,2.77,0.62,2.55,0.41,1.91,0.37,1.8,0.65,1.57
Overall Bell Pepper Production,0205000000,Nueva Vizcaya,162.51,109.12,170.83,109.96,186.17,115.78,169.52,224.94,183.85,228.29,46.84
Overall Bell Pepper Production,0205700000,Quirino,1.23,0.56,1.48,0.55,1.35,0.62,1.0,0.61,1.1,0.61,0.06
Overall Bell Pepper Production,0300800000,Bataan,,,,,,,,,,,
Overall Bell Pepper Production,0301400000,Bulacan,19.72,47.4,17.15,45.38,17.0,45.71,13.87,42.26,12.43,43.98,5.27
Overall Bell Pepper Production,0304900000,Nueva Ecija,121.83,2.69,114.49,2.55,102.69,2.37,98.61,2.48,88.05,2.21,25.41
Overall Bell Pepper Production,0305400000,Pampanga,,,,,,,,,,,
Overall Bell Pepper Production,0306900000,Tarlac,,,,,,,,,,,
Overall Bell Pepper Production,0307100000,Zambales,25.73,,27.98,,29.58,,21.75,,0.05,,3.46
Overall Bell Pepper Production,0307700000,Aurora,,,,,,,1.74,,0.72,,0.38
Overall Bell Pepper Production,0401000000,Batangas,1.0,,1.2,1.0,2.4,6.33,3.97,5.5,5.45,3.86,1.96
Overall Bell Pepper Production,0402100000,Cavite,54.79,88.71,59.81,82.67,71.19,76.88,77.06,93.14,81.52,95.43,10.12
Overall Bell Pepper Production,0403400000,Laguna,,,1.0,15.25,0.88,0.02,2.27,0.01,2.33,0.27,6.23
Overall Bell Pepper Production,0405600000,Quezon,,,,,,,,0.01,0.42,0.08,0.03
Overall Bell Pepper Production,0405800000,Rizal,,,,,,,,,,,2.81
Overall Bell Pepper Production,0500500000,Albay,,,,,,,,,,,
Overall Bell Pepper Production,0501600000,Camarines Norte,,,,,,0.08,,0.13,,0.34,0.06
Overall Bell Pepper Production,0501700000,Camarines Sur,,,,,,,0.21,9.44,2.41,0.32,0.02
Overall Bell Pepper Production,0502000000,Catanduanes,,,,,,,0.88,0.06,0.36,0.69,0.04
Overall Bell Pepper Production,0504100000,Masbate,,,,,,,,,,,
Overall Bell Pepper Production,0506200000,Sorsogon,,,,,,,0.04,,0.05,0.15,0.16
Overall Bell Pepper Production,0600400000,Aklan,5.87,4.12,6.01,3.68,5.62,5.92,5.45,6.16,5.55,6.06,0.16
Overall Bell Pepper Production,0600600000,Antique,20.57,5.99,19.42,7.11,17.21,5.0,18.81,5.26,18.74,3.25,7.67
Overall Bell Pepper Production,0601900000,Capiz,0.34,0.35,0.33,0.33,0.35,0.29,0.41,0.27,0.4,0.28,0.13
Overall Bell Pepper Production,0603000000,Iloilo,181.71,96.19,195.68,81.06,210.12,88.94,192.58,81.68,359.94,346.45,247.5
