Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Bottle Gourd Production,0102800000,Ilocos Norte,2245.59,518.25,379.61,54.91,2370.76,525.07,402.65,56.94,2465.66,542.13,384.33,58.54,2342.81,528.48,387.73,57.04,2339.09,331.89,391.57,102.0,1612.44
Overall Bottle Gourd Production,0102900000,Ilocos Sur,151.53,43.9,40.82,867.23,149.16,46.53,47.32,789.98,113.7,47.59,38.45,866.98,131.43,47.06,29.99,867.11,122.57,46.58,14.63,885.04,137.8
Overall Bottle Gourd Production,0103300000,La Union,856.9,392.26,107.58,407.85,893.92,409.28,119.52,400.89,846.0,377.48,112.59,399.6,815.29,357.3,116.51,383.74,842.64,371.3,106.79,294.59,825.73
Overall Bottle Gourd Production,0105500000,Pangasinan,3649.12,649.25,14.44,339.76,3676.56,659.45,15.01,343.43,3227.14,622.9,9.5,347.14,3483.99,587.0,9.0,333.0,5760.0,557.59,8.52,327.91,6915.27
Overall Bottle Gourd Production,0200900000,Batanes,5.1,5.1,,0.1,7.43,4.73,,0.73,5.8,4.82,,1.03,3.8,2.7,2.55,0.45,2.33,4.95,1.97,2.13,3.98
Overall Bottle Gourd Production,0201500000,Cagayan,2510.32,607.19,68.33,6.08,3032.27,582.23,59.38,5.23,2529.52,636.65,39.45,4.5,2102.0,438.0,41.29,3.89,1850.6,528.45,26.42,5.08,1976.3
Overall Bottle Gourd Production,0203100000,Isabela,2839.0,680.07,460.57,370.8,2841.84,681.77,463.06,351.41,2785.0,677.28,452.0,350.17,2704.0,586.74,407.0,305.17,2555.0,628.5,400.11,270.07,2573.65
Overall Bottle Gourd Production,0205000000,Nueva Vizcaya,91.68,94.36,17.08,44.1,98.23,89.15,18.5,33.08,140.74,97.95,17.79,62.27,119.49,93.55,19.87,10.85,130.12,95.76,20.85,8.4,141.7
Overall Bottle Gourd Production,0205700000,Quirino,93.78,8.17,68.25,5.28,107.53,8.83,79.51,5.14,102.95,10.73,73.88,11.39,95.5,8.76,77.56,8.27,99.23,9.92,75.72,8.26,92.07
Overall Bottle Gourd Production,0300800000,Bataan,31.45,77.65,,2.75,31.31,88.04,,2.68,37.63,104.51,,2.62,34.24,90.07,,3.52,22.27,78.81,,3.81,21.77
Overall Bottle Gourd Production,0301400000,Bulacan,1226.5,447.29,273.87,443.02,1749.84,451.74,282.3,476.58,1820.31,466.8,278.18,480.75,1875.0,378.22,227.09,469.36,1880.0,432.25,226.09,475.06,1670.75
Overall Bottle Gourd Production,0304900000,Nueva Ecija,1827.81,3371.89,1213.86,198.11,1760.89,3580.1,1161.88,191.58,1910.28,3263.4,1017.0,202.67,1103.69,3149.8,895.2,215.33,1034.42,3475.88,758.1,205.34,877.04
Overall Bottle Gourd Production,0305400000,Pampanga,630.64,246.0,31.52,69.95,695.2,263.48,33.59,68.97,640.64,279.16,33.07,77.43,734.42,298.08,32.81,75.4,690.09,310.84,33.9,79.14,729.1
Overall Bottle Gourd Production,0306900000,Tarlac,52.99,47.78,19.32,115.08,58.11,44.64,20.63,110.02,48.56,45.01,20.32,112.52,52.59,45.75,20.75,114.25,55.35,52.77,20.59,109.96,60.67
Overall Bottle Gourd Production,0307100000,Zambales,741.93,33.27,2.41,95.75,818.02,31.79,2.35,81.47,833.94,32.16,4.26,83.49,616.99,26.05,2.61,27.48,14.94,17.53,7.17,23.85,21.1
Overall Bottle Gourd Production,0307700000,Aurora,36.3,36.72,17.9,1.6,54.45,45.9,28.69,0.87,66.25,53.0,22.54,1.21,46.58,42.88,22.92,2.23,58.52,17.72,14.68,2.92,
Overall Bottle Gourd Production,0401000000,Batangas,2975.0,0.55,3124.96,94.0,2500.0,0.59,2830.59,71.74,2994.05,0.2,2200.0,60.0,2000.0,5.72,1960.0,47.15,2200.45,12.5,1789.5,59.63,2533.9
Overall Bottle Gourd Production,0402100000,Cavite,1258.8,374.97,352.31,147.56,1295.43,338.52,321.59,128.64,1277.48,397.76,320.69,,1288.25,355.68,276.82,240.86,1295.89,356.89,252.18,238.65,1253.85
Overall Bottle Gourd Production,0403400000,Laguna,376.4,1023.22,87.83,454.88,380.8,912.0,97.75,550.21,342.31,968.33,89.43,409.91,366.5,919.91,102.85,359.78,411.95,902.91,96.68,356.24,423.73
Overall Bottle Gourd Production,0405600000,Quezon,2609.37,1709.79,1878.41,156.82,2775.46,1717.02,2135.83,145.21,2834.44,1665.41,2103.8,146.0,2850.0,1554.84,2020.5,136.63,2695.71,1681.98,1910.58,145.17,2793.38
Overall Bottle Gourd Production,0405800000,Rizal,68.64,23.14,2.34,2.07,67.68,20.44,2.2,1.98,73.66,25.21,8.54,6.22,69.99,24.15,8.98,7.42,71.0,24.68,7.88,21.02,72.12
Overall Bottle Gourd Production,0500500000,Albay,197.98,19.7,49.85,282.39,211.07,20.07,52.33,347.74,220.35,24.44,50.5,280.78,197.98,26.0,38.62,121.72,246.77,28.49,225.25,59.35,57.42
Overall Bottle Gourd Production,0501600000,Camarines Norte,49.69,585.48,32.13,54.12,38.22,785.29,29.29,39.75,41.56,575.49,1.45,5.56,26.63,519.0,1.65,10.47,20.87,241.69,1.88,8.01,0.24
Overall Bottle Gourd Production,0501700000,Camarines Sur,10.22,31.1,8.0,19.44,13.56,28.24,7.37,10.51,11.76,25.27,8.46,12.0,14.77,122.9,8.3,125.52,78.23,105.28,39.25,192.59,157.79
Overall Bottle Gourd Production,0502000000,Catanduanes,2.0,94.09,17.42,22.36,2.41,68.06,15.42,22.01,2.27,64.88,16.78,21.12,2.38,104.52,12.69,2.68,,32.59,8.5,8.94,12.18
Overall Bottle Gourd Production,0504100000,Masbate,4.65,342.26,480.92,77.6,4.92,375.45,472.07,70.16,4.95,330.77,473.17,,5.62,312.77,400.0,,13.69,138.85,397.3,,
