Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Cabbage Production,0102800000,Ilocos Norte,152.32,3.69,,4.03,161.38,4.13,,4.12,164.61,4.3,,6.18,158.43,4.04,,,161.47,61.34,,0.65,394.29
Overall Cabbage Production,0102900000,Ilocos Sur,1879.29,849.13,,310.68,1852.53,816.62,,384.55,2073.2,606.92,,395.98,2135.4,642.93,,390.27,2104.0,693.33,,402.42,2119.7
Overall Cabbage Production,0103300000,La Union,,,,,,,,,,,0.65,,,,,,0.65,1.46,,,
Overall Cabbage Production,0105500000,Pangasinan,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0200900000,Batanes,10.31,10.31,,,11.53,17.71,,,12.73,23.68,0.06,3.0,17.33,21.25,0.03,,18.49,23.15,0.57,0.28,22.78
Overall Cabbage Production,0201500000,Cagayan,565.53,43.44,,,619.0,52.23,,,788.06,53.12,,,802.15,40.12,,0.09,820.15,57.8,,,811.15
Overall Cabbage Production,0203100000,Isabela,1.35,0.25,,,0.4,0.23,,,0.15,0.2,0.13,,0.12,0.18,,,0.09,0.16,,,0.12
Overall Cabbage Production,0205000000,Nueva Vizcaya,209.4,215.15,269.8,68.53,228.53,284.29,289.28,68.25,242.19,293.77,279.54,150.45,1511.31,289.03,1954.81,1257.05,1325.0,314.22,1612.7,1254.95,1026.17
Overall Cabbage Production,0205700000,Quirino,10.3,18.37,9.29,0.98,12.17,16.89,8.37,0.89,11.55,16.39,7.9,2.0,11.86,12.39,9.66,1.45,11.71,12.05,10.41,1.73,72.0
Overall Cabbage Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0301400000,Bulacan,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0304900000,Nueva Ecija,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0305400000,Pampanga,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0307100000,Zambales,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0307700000,Aurora,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0401000000,Batangas,,,,,,,,0.1,,,,,,,,,,,,,
Overall Cabbage Production,0402100000,Cavite,,,,,,,,,,,,0.13,,,,0.13,0.37,0.94,,,
Overall Cabbage Production,0403400000,Laguna,131.23,237.09,1.01,39.92,290.59,306.14,13.3,25.16,308.96,205.04,63.88,32.61,103.78,207.55,68.83,24.7,27.05,182.64,48.67,24.49,146.6
Overall Cabbage Production,0405600000,Quezon,57.9,7.5,4.76,42.52,76.23,50.38,62.41,49.0,98.96,119.72,66.78,49.0,173.4,334.4,30.0,64.33,190.88,347.78,35.63,67.54,253.66
Overall Cabbage Production,0405800000,Rizal,,,,,,,,,,,0.06,,,,0.63,0.02,,,,0.2,
Overall Cabbage Production,0500500000,Albay,31.48,5.82,10.18,26.14,34.61,4.19,4.25,23.6,29.1,3.55,2.33,0.4,,3.47,3.63,,,,,,
Overall Cabbage Production,0501600000,Camarines Norte,,,,,,,,,,,,0.36,,,,,,,,,
Overall Cabbage Production,0501700000,Camarines Sur,0.13,,,,,,,1.81,,,5.65,2.06,2.06,,5.65,,0.45,,,,
Overall Cabbage Production,0502000000,Catanduanes,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0504100000,Masbate,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0506200000,Sorsogon,0.28,0.96,0.52,0.28,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0600400000,Aklan,,,,,,,,,,,,,,,,,,9.5,9.0,3.0,3.62
Overall Cabbage Production,0600600000,Antique,14.28,37.68,1.8,17.55,13.79,35.79,1.6,16.85,13.88,34.32,1.93,16.45,14.57,37.73,2.15,14.65,14.08,37.5,,13.8,13.26
Overall Cabbage Production,0601900000,Capiz,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0603000000,Iloilo,55.76,205.32,7.03,42.0,61.02,215.59,6.19,37.95,56.5,241.46,6.35,38.93,51.58,220.43,5.8,35.56,220.45,189.75,31.75,236.17,269.39
Overall Cabbage Production,0607900000,Guimaras,,,,,,,,,,,,,,,,,,,,0.03,
Overall Cabbage Production,0701200000,Bohol,35.65,13.4,6.91,14.74,26.74,9.53,5.68,23.27,30.43,5.11,5.2,51.42,28.0,9.9,5.37,15.73,22.0,5.0,5.5,4.58,15.0
Overall Cabbage Production,0702200000,Cebu,1502.0,489.0,1084.81,2278.0,1277.0,512.0,1070.0,3047.0,1320.03,399.26,908.24,3933.76,2984.05,1325.74,881.74,3298.13,2522.82,1255.42,889.0,3426.3,2511.47
Overall Cabbage Production,0802600000,Eastern Samar,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0803700000,Leyte,13.78,8.29,18.5,34.5,13.1,7.54,19.35,32.26,13.0,7.56,7.55,31.04,12.5,7.76,7.8,30.1,12.0,7.4,7.58,28.8,12.05
Overall Cabbage Production,0804800000,Northern Samar,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0806000000,Samar (Western Samar),,,,,,,,,,,,8.72,,,,8.72,,,,,
Overall Cabbage Production,0806400000,Southern Leyte,0.73,1.25,5.05,0.04,0.21,0.95,4.12,0.04,0.32,1.02,5.0,0.05,0.45,1.01,3.2,0.51,,,,0.1,0.07
Overall Cabbage Production,0807800000,Biliran,4.0,11.0,11.0,4.7,6.2,19.03,9.8,5.56,,,,5.5,,,,4.13,,0.06,0.05,,
Overall Cabbage Production,0906600000,,,,,,,,,,,,,,,,,,,,,,
Overall Cabbage Production,0907200000,Zamboanga del Norte,2.16,2.94,34.16,6.05,2.02,4.24,38.05,5.8,1.59,5.2,40.76,16.13,1.9,4.7,37.81,14.66,1.84,4.46,37.7,15.4,1.9
Overall Cabbage Production,0907300000,Zamboanga del Sur,10.95,20.17,19.37,116.12,10.39,21.28,17.8,132.43,46.23,114.22,61.57,443.15,40.83,110.25,62.76,387.8,38.2,20.41,19.54,20.57,20.3
Overall Cabbage Production,0907400000,Zamboanga City,31.38,100.5,46.02,374.05,32.39,98.39,46.16,381.31,,,,,,,,,,204.0,55.0,57.75,59.48
