Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Cabbage Production,0102800000,Ilocos Norte,156.01,4.03,165.51,4.12,168.91,6.18,162.47,,222.81,0.65,394.29
Overall Cabbage Production,0102900000,Ilocos Sur,2728.42,310.68,2669.15,384.55,2680.12,395.98,2778.33,390.27,2797.33,402.42,2119.7
Overall Cabbage Production,0103300000,La Union,,,,,,0.65,,,2.11,,
Overall Cabbage Production,0105500000,Pangasinan,,,,,,,,,,,
Overall Cabbage Production,0200900000,Batanes,20.62,,29.24,,36.41,3.06,38.58,0.03,41.64,0.85,22.78
Overall Cabbage Production,0201500000,Cagayan,608.97,,671.23,,841.18,,842.27,0.09,877.95,,811.15
Overall Cabbage Production,0203100000,Isabela,1.6,,0.63,,0.35,0.13,0.3,,0.25,,0.12
Overall Cabbage Production,0205000000,Nueva Vizcaya,424.55,338.33,512.82,357.53,535.96,429.99,1800.34,3211.86,1639.22,2867.65,1026.17
Overall Cabbage Production,0205700000,Quirino,28.67,10.27,29.06,9.26,27.94,9.9,24.25,11.11,23.76,12.14,72.0
Overall Cabbage Production,0300800000,Bataan,,,,,,,,,,,
Overall Cabbage Production,0301400000,Bulacan,,,,,,,,,,,
Overall Cabbage Production,0304900000,Nueva Ecija,,,,,,,,,,,
Overall Cabbage Production,0305400000,Pampanga,,,,,,,,,,,
Overall Cabbage Production,0306900000,Tarlac,,,,,,,,,,,
Overall Cabbage Production,0307100000,Zambales,,,,,,,,,,,
Overall Cabbage Production,0307700000,Aurora,,,,,,,,,,,
Overall Cabbage Production,0401000000,Batangas,,,,0.1,,,,,,,
Overall Cabbage Production,0402100000,Cavite,,,,,,0.13,,0.13,1.31,,
Overall Cabbage Production,0403400000,Laguna,368.32,40.93,596.73,38.46,514.0,96.49,311.33,93.53,209.69,73.16,146.6
Overall Cabbage Production,0405600000,Quezon,65.4,47.28,126.61,111.41,218.68,115.78,507.8,94.33,538.66,103.17,253.66
Overall Cabbage Production,0405800000,Rizal,,,,,,0.06,,0.65,,0.2,
Overall Cabbage Production,0500500000,Albay,37.3,36.32,38.8,27.85,32.65,2.73,3.47,3.63,,,
Overall Cabbage Production,0501600000,Camarines Norte,,,,,,0.36,,,,,
Overall Cabbage Production,0501700000,Camarines Sur,0.13,,,1.81,,7.71,2.06,5.65,0.45,,
Overall Cabbage Production,0502000000,Catanduanes,,,,,,,,,,,
Overall Cabbage Production,0504100000,Masbate,,,,,,,,,,,
Overall Cabbage Production,0506200000,Sorsogon,1.24,0.8,,,,,,,,,
Overall Cabbage Production,0600400000,Aklan,,,,,,,,,9.5,12.0,3.62
Overall Cabbage Production,0600600000,Antique,51.96,19.35,49.58,18.45,48.2,18.38,52.3,16.8,51.58,13.8,13.26
Overall Cabbage Production,0601900000,Capiz,,,,,,,,,,,
Overall Cabbage Production,0603000000,Iloilo,261.08,49.03,276.61,44.14,297.96,45.28,272.01,41.36,410.2,267.92,269.39
Overall Cabbage Production,0607900000,Guimaras,,,,,,,,,,0.03,
Overall Cabbage Production,0701200000,Bohol,49.05,21.65,36.27,28.95,35.54,56.62,37.9,21.1,27.0,10.08,15.0
Overall Cabbage Production,0702200000,Cebu,1991.0,3362.81,1789.0,4117.0,1719.29,4842.0,4309.79,4179.87,3778.24,4315.3,2511.47
Overall Cabbage Production,0802600000,Eastern Samar,,,,,,,,,,,
Overall Cabbage Production,0803700000,Leyte,22.07,53.0,20.64,51.61,20.56,38.59,20.26,37.9,19.4,36.38,12.05
Overall Cabbage Production,0804800000,Northern Samar,,,,,,,,,,,
Overall Cabbage Production,0806000000,Samar (Western Samar),,,,,,8.72,,8.72,,,
Overall Cabbage Production,0806400000,Southern Leyte,1.98,5.09,1.16,4.16,1.34,5.05,1.46,3.71,,0.1,0.07
Overall Cabbage Production,0807800000,Biliran,15.0,15.7,25.23,15.36,,5.5,,4.13,0.06,0.05,
Overall Cabbage Production,0906600000,,,,,,,,,,,,
Overall Cabbage Production,0907200000,Zamboanga del Norte,5.1,40.21,6.26,43.85,6.79,56.89,6.6,52.47,6.3,53.1,1.9
Overall Cabbage Production,0907300000,Zamboanga del Sur,31.12,135.49,31.67,150.23,160.45,504.72,151.08,450.56,58.61,40.11,20.3
Overall Cabbage Production,0907400000,Zamboanga City,131.88,420.07,130.78,427.47,,,,,204.0,112.75,59.48
Overall Cabbage Production,0908300000,Zamboanga Sibugay,3.48,7.63,3.71,7.57,3.6,7.27,3.39,7.23,3.31,7.48,1.01
Overall Cabbage Production,1001300000,Bukidnon,890.57,5708.58,859.0,4672.97,836.95,5220.97,763.0,5446.0,796.2,5187.79,267.75
Overall Cabbage Production,1001800000,Camiguin,0.36,0.23,0.44,,0.32,,0.3,,0.32,,0.32
Overall Cabbage Production,1003500000,Lanao del Norte,38.0,20.75,35.0,19.2,30.0,18.07,28.0,17.8,27.0,17.55,24.68
Overall Cabbage Production,1004200000,Misamis Occidental,136.5,261.8,134.31,274.1,157.32,250.9,147.58,250.96,153.01,255.62,77.34
Overall Cabbage Production,1004300000,Misamis Oriental,327.72,467.95,368.49,495.86,293.7,759.1,218.43,598.45,221.93,596.6,107.27
Overall Cabbage Production,1102300000,Davao del Norte,,,,,,,,,,,
Overall Cabbage Production,1102400000,Davao del Sur,1692.62,1960.02,1695.5,2022.08,2065.15,2707.36,1939.66,2756.19,1862.15,2612.95,1005.77
Overall Cabbage Production,1102500000,Davao Oriental,,,,,,,,,,,
Overall Cabbage Production,1108200000,Davao de Oro (Compostela Valley),65.35,40.76,64.64,42.3,63.26,41.52,60.84,30.0,63.22,30.46,41.56
Overall Cabbage Production,1108600000,Davao Occidental,76.09,78.55,73.07,75.89,71.5,74.53,69.51,72.97,67.38,72.24,35.58
Overall Cabbage Production,1130700000,Davao City,358.1,889.7,392.49,832.76,,,,,63.25,131.76,88.82
Overall Cabbage Production,1204700000,Cotabato (North Cotabato),101.83,422.64,97.45,376.24,91.27,165.32,41.07,74.43,36.52,23.89,15.59
Overall Cabbage Production,1206300000,South Cotabato,107.96,335.1,102.39,377.73,181.31,415.5,195.79,455.17,141.7,675.12,146.44
