Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Calamansi Production,0102800000,Ilocos Norte,78.93,58.46,88.98,90.52,80.51,62.37,89.32,97.14,81.48,59.79,84.35,119.75,80.3,57.34,87.55,108.78,80.65,55.21,87.19,108.56,89.71
Overall Calamansi Production,0102900000,Ilocos Sur,80.65,138.54,125.11,372.78,64.36,148.63,140.05,411.99,77.61,180.84,110.07,313.89,78.66,215.26,125.08,353.14,98.74,193.34,121.69,340.05,85.0
Overall Calamansi Production,0103300000,La Union,30.27,239.87,263.38,320.21,27.42,244.53,275.02,329.94,24.17,253.63,263.33,335.45,26.4,227.62,247.06,302.08,24.05,203.69,197.4,278.54,26.46
Overall Calamansi Production,0105500000,Pangasinan,410.6,435.0,660.2,115.08,418.36,438.78,653.6,113.0,419.38,431.07,89.03,107.0,436.99,424.0,96.12,92.31,450.66,435.44,103.77,88.42,462.08
Overall Calamansi Production,0200900000,Batanes,0.52,1.52,0.81,0.09,0.12,0.58,0.68,1.18,0.03,0.87,0.99,1.25,0.18,0.95,1.25,0.38,0.2,0.65,0.75,0.67,0.25
Overall Calamansi Production,0201500000,Cagayan,287.65,816.0,587.75,648.2,304.98,948.02,676.81,630.17,253.49,1006.61,615.12,612.88,257.2,977.32,626.56,525.26,265.35,1015.2,639.5,592.98,273.73
Overall Calamansi Production,0203100000,Isabela,254.88,420.63,740.79,273.61,254.73,418.53,743.01,275.2,240.45,435.13,745.0,271.89,234.43,491.77,742.51,260.0,225.05,472.89,775.98,218.45,215.9
Overall Calamansi Production,0205000000,Nueva Vizcaya,58.33,93.3,41.69,261.33,62.42,104.5,47.44,292.0,70.65,183.96,44.57,287.73,66.54,144.23,46.01,145.54,68.6,164.1,51.53,98.54,70.72
Overall Calamansi Production,0205700000,Quirino,5.38,15.04,85.83,53.01,5.96,15.82,92.59,56.99,6.16,16.33,87.96,55.28,6.12,15.26,86.89,39.68,7.55,16.85,88.58,36.47,7.43
Overall Calamansi Production,0300800000,Bataan,15.9,4.17,54.0,11.42,20.37,3.29,84.07,12.79,17.04,3.24,73.98,8.08,14.17,2.1,76.06,9.27,17.71,8.07,64.89,12.36,13.31
