Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Calamansi Production,0102800000,Ilocos Norte,137.39,179.5,142.88,186.46,141.27,204.1,137.64,196.33,135.86,195.75
Overall Calamansi Production,0102900000,Ilocos Sur,219.19,497.89,212.99,552.04,258.45,423.96,293.92,478.22,292.08,461.74
Overall Calamansi Production,0103300000,La Union,270.14,583.59,271.95,604.96,277.8,598.78,254.02,549.14,227.74,475.94
Overall Calamansi Production,0105500000,Pangasinan,845.6,775.28,857.14,766.6,850.45,196.03,860.99,188.43,886.1,192.19
Overall Calamansi Production,0200900000,Batanes,2.04,0.9,0.7,1.86,0.9,2.24,1.13,1.63,0.85,1.42
Overall Calamansi Production,0201500000,Cagayan,1103.65,1235.95,1253.0,1306.98,1260.1,1228.0,1234.52,1151.82,1280.55,1232.48
Overall Calamansi Production,0203100000,Isabela,675.51,1014.4,673.26,1018.21,675.58,1016.89,726.2,1002.51,697.94,994.43
Overall Calamansi Production,0205000000,Nueva Vizcaya,151.63,303.02,166.92,339.44,254.61,332.3,210.77,191.55,232.7,150.07
Overall Calamansi Production,0205700000,Quirino,20.42,138.84,21.78,149.58,22.49,143.24,21.38,126.57,24.4,125.05
Overall Calamansi Production,0300800000,Bataan,20.07,65.42,23.66,96.86,20.28,82.06,16.27,85.33,25.78,77.25
Overall Calamansi Production,0301400000,Bulacan,504.46,443.36,443.89,427.77,438.63,433.66,469.25,408.5,448.31,411.14
Overall Calamansi Production,0304900000,Nueva Ecija,2712.84,3786.62,2584.73,3645.31,2427.82,3825.91,2592.47,3964.57,2464.28,3981.99
Overall Calamansi Production,0305400000,Pampanga,60.13,878.26,59.94,902.59,62.08,917.35,65.5,932.34,70.73,948.29
Overall Calamansi Production,0306900000,Tarlac,253.99,225.93,279.27,197.21,263.46,212.97,289.62,224.27,285.92,200.11
Overall Calamansi Production,0307100000,Zambales,391.25,203.35,373.34,179.65,348.61,192.28,281.56,148.22,300.07,25.84
Overall Calamansi Production,0307700000,Aurora,178.22,671.09,71.0,540.15,58.06,495.49,89.61,373.71,47.65,119.4
Overall Calamansi Production,0401000000,Batangas,435.23,2273.93,387.49,1796.03,335.01,1745.0,265.0,1450.0,191.78,1640.54
Overall Calamansi Production,0402100000,Cavite,52.38,125.4,55.62,131.6,46.63,93.85,52.33,120.79,37.87,172.63
Overall Calamansi Production,0403400000,Laguna,165.26,217.98,192.08,178.96,169.01,166.91,145.34,153.1,142.07,180.91
Overall Calamansi Production,0405600000,Quezon,1876.99,5741.96,1852.41,6186.51,1927.13,1897.28,1855.78,5898.17,1986.53,6566.58
Overall Calamansi Production,0405800000,Rizal,160.21,548.21,161.16,588.89,159.24,593.12,164.1,554.51,175.15,512.8
Overall Calamansi Production,0500500000,Albay,22.55,35.7,27.88,41.6,32.98,25.38,48.71,29.04,37.72,40.37
Overall Calamansi Production,0501600000,Camarines Norte,32.51,1644.88,45.94,2231.52,83.95,265.77,76.24,272.26,26.34,141.03
Overall Calamansi Production,0501700000,Camarines Sur,44.99,300.32,57.19,369.12,56.58,338.21,36.56,387.34,68.76,448.33
Overall Calamansi Production,0502000000,Catanduanes,0.41,3.06,0.51,3.63,0.43,4.32,0.96,4.67,0.81,4.64
Overall Calamansi Production,0504100000,Masbate,39.93,117.6,43.47,113.56,49.39,78.58,53.01,35.78,48.73,34.38
Overall Calamansi Production,0506200000,Sorsogon,162.24,344.64,135.9,281.98,90.33,324.16,84.04,292.83,70.92,285.12
Overall Calamansi Production,0600400000,Aklan,257.83,276.52,228.23,264.5,219.06,237.19,230.61,254.59,238.34,178.5
Overall Calamansi Production,0600600000,Antique,19.24,30.84,19.12,32.87,18.78,34.12,21.58,30.38,28.89,36.97
Overall Calamansi Production,0601900000,Capiz,57.13,79.11,59.45,81.54,54.93,81.98,58.21,80.66,60.31,84.71
Overall Calamansi Production,0603000000,Iloilo,557.28,1189.36,601.4,1264.87,696.57,1134.93,624.99,1018.24,644.15,1049.61
Overall Calamansi Production,0607900000,Guimaras,960.24,999.65,836.57,668.05,906.28,688.4,975.35,752.44,1108.24,880.12
Overall Calamansi Production,0701200000,Bohol,58.39,73.68,13.7,59.37,53.86,37.53,57.1,59.6,70.27,92.1
Overall Calamansi Production,0702200000,Cebu,255.0,318.0,189.0,330.0,213.67,366.0,172.12,344.0,198.41,325.71
Overall Calamansi Production,0802600000,Eastern Samar,10.99,16.39,14.85,16.77,17.63,98.0,26.55,98.25,29.11,106.73
Overall Calamansi Production,0803700000,Leyte,548.29,1145.4,523.15,1105.63,494.46,1105.5,489.43,1123.0,491.95,1100.7
Overall Calamansi Production,0804800000,Northern Samar,38.25,34.25,43.0,42.5,49.24,46.25,62.5,65.85,64.0,82.0
Overall Calamansi Production,0806000000,Samar (Western Samar),17.46,32.38,17.59,40.2,16.68,42.22,16.59,41.58,17.39,41.17
Overall Calamansi Production,0806400000,Southern Leyte,30.65,57.9,12.3,39.7,14.5,42.2,15.08,47.41,16.8,36.46
Overall Calamansi Production,0807800000,Biliran,31.8,26.5,30.85,24.47,24.18,23.1,23.45,24.79,21.31,22.17
Overall Calamansi Production,0906600000,,117.5,232.0,116.0,234.0,114.0,239.0,116.0,241.0,117.7,265.43
Overall Calamansi Production,0907200000,Zamboanga del Norte,118.33,303.43,124.32,288.0,120.44,281.79,120.94,252.97,119.9,267.19
Overall Calamansi Production,0907300000,Zamboanga del Sur,229.46,462.86,234.34,521.18,423.5,973.71,393.98,1053.23,361.66,293.03
Overall Calamansi Production,0907400000,Zamboanga City,168.96,363.55,179.17,358.12,,,,,50.04,110.01
Overall Calamansi Production,0908300000,Zamboanga Sibugay,2864.44,5167.64,2994.42,5361.03,3190.83,5631.98,3176.9,5743.72,3104.04,5844.53
Overall Calamansi Production,1001300000,Bukidnon,324.14,402.0,329.0,395.0,271.61,391.53,256.0,387.53,271.94,381.76
Overall Calamansi Production,1001800000,Camiguin,9.9,18.93,9.04,20.17,11.51,22.15,1.61,23.5,6.95,18.65
Overall Calamansi Production,1003500000,Lanao del Norte,445.0,985.0,435.0,1035.0,402.0,1035.0,382.0,1035.0,390.0,1047.0
Overall Calamansi Production,1004200000,Misamis Occidental,66.15,134.0,69.95,138.2,68.46,140.7,69.01,142.07,70.11,141.52
Overall Calamansi Production,1004300000,Misamis Oriental,12.15,74.12,11.77,105.09,12.94,129.94,25.82,108.1,24.05,110.47
Overall Calamansi Production,1102300000,Davao del Norte,1997.34,2909.77,1990.37,2765.61,1978.86,2840.99,2007.64,2813.07,1958.51,2814.71
Overall Calamansi Production,1102400000,Davao del Sur,160.53,444.11,167.62,484.98,281.9,624.58,272.28,626.14,240.89,449.64
Overall Calamansi Production,1102500000,Davao Oriental,69.33,74.09,68.93,72.14,65.96,69.44,63.44,66.72,67.42,71.17
Overall Calamansi Production,1108200000,Davao de Oro (Compostela Valley),804.8,1517.35,783.52,1495.83,772.14,1440.96,774.3,1385.49,769.61,1393.24
Overall Calamansi Production,1108600000,Davao Occidental,8.84,18.57,8.14,17.24,8.03,17.74,7.77,17.17,7.6,17.57
Overall Calamansi Production,1130700000,Davao City,95.76,141.13,97.76,144.8,,,,,32.3,181.59
Overall Calamansi Production,1204700000,Cotabato (North Cotabato),860.79,2095.26,854.09,1580.24,858.87,1401.51,780.96,1355.4,725.21,1366.54
Overall Calamansi Production,1206300000,South Cotabato,207.56,324.2,207.78,331.88,199.97,349.82,243.95,377.37,284.9,404.29
Overall Calamansi Production,1206500000,Sultan Kudarat,283.15,556.09,297.28,584.7,308.75,654.03,280.15,598.27,296.66,612.34
Overall Calamansi Production,1208000000,Sarangani,226.0,305.0,265.12,325.0,272.48,329.48,264.08,298.0,298.7,309.87
Overall Calamansi Production,1400100000,Abra,78.3,38.1,77.35,37.87,73.63,13.37,59.61,21.56,63.9,15.82
Overall Calamansi Production,1401100000,Benguet,135.04,91.21,155.29,103.96,161.8,108.5,146.0,95.0,102.5,90.92
Overall Calamansi Production,1402700000,Ifugao,20.24,26.44,21.16,29.18,22.66,18.46,12.76,15.51,6.0,11.99
Overall Calamansi Production,1403200000,Kalinga,9.56,14.81,10.94,14.7,11.73,14.81,13.2,15.29,10.33,13.3
Overall Calamansi Production,1404400000,Mountain Province,8.19,8.91,7.53,10.59,7.87,9.52,5.35,9.93,6.34,8.27
Overall Calamansi Production,1408100000,Apayao,32.26,37.54,36.26,33.19,33.18,35.46,34.0,32.0,24.45,31.57
Overall Calamansi Production,1600200000,Agusan del Norte,77.87,102.37,72.2,103.83,91.06,101.63,78.53,102.2,82.6,103.65
Overall Calamansi Production,1600300000,Agusan del Sur,495.28,4205.37,431.95,4004.95,402.08,4119.32,465.45,4241.2,509.0,4382.72
Overall Calamansi Production,1606700000,Surigao del Norte,5.8,19.67,3.47,18.58,5.19,14.36,7.85,18.83,6.08,20.85
Overall Calamansi Production,1606800000,Surigao del Sur,26.66,25.9,18.53,21.72,18.41,12.46,25.2,22.53,28.21,25.85
Overall Calamansi Production,1608500000,Dinagat Islands,1.33,3.64,0.37,1.91,1.0,0.83,1.85,2.08,1.27,2.41
Overall Calamansi Production,1630400000,Butuan City,,,,,,,,,,
Overall Calamansi Production,1704000000,Marinduque,8.67,30.24,10.27,25.38,11.49,11.28,8.39,14.92,15.87,18.15
Overall Calamansi Production,1705100000,Occidental Mindoro,64.16,188.71,66.81,174.84,63.05,168.45,41.84,152.57,42.09,149.06
Overall Calamansi Production,1705200000,Oriental Mindoro,2276.54,35486.3,2705.5,31457.34,2851.67,31849.4,4725.99,34132.29,5195.24,30810.5
Overall Calamansi Production,1705300000,Palawan,292.81,376.16,262.01,351.5,289.91,496.05,274.31,487.15,274.45,499.7
Overall Calamansi Production,1705900000,Romblon,21.8,80.5,24.2,91.64,17.79,59.31,22.96,73.65,30.8,73.66
Overall Calamansi Production,1731500000,Puerto Princesa City,,,,,,,,,,
Overall Calamansi Production,1804500000,Negros Occidental,27.78,16.77,26.27,15.05,32.18,18.13,31.74,17.53,31.66,21.61
Overall Calamansi Production,1804600000,Negros Oriental,128.11,113.57,107.4,98.9,150.91,101.15,125.32,66.31,126.53,95.24
Overall Calamansi Production,1806100000,Siquijor,25.59,24.29,25.05,27.18,29.36,28.19,24.9,27.01,27.35,27.63
Overall Calamansi Production,1830200000,Bacolod City,,,,,,,,,,
Overall Calamansi Production,1900700000,Basilan,24.51,49.04,26.33,53.28,28.37,52.4,17.39,55.12,16.64,56.37
Overall Calamansi Production,1903600000,Lanao del Sur,30.49,57.37,30.47,57.33,30.49,55.42,20.48,61.95,28.8,70.3
Overall Calamansi Production,1907000000,Tawi-Tawi,12.3,23.87,16.2,27.9,17.84,33.0,21.2,43.7,35.67,161.0
Overall Calamansi Production,1908700000,Maguindanao del Norte,,,,,,,,,119.6,468.1
Overall Calamansi Production,1908800000,Maguindanao del Sur,229.0,1455.0,232.32,1471.0,223.9,1522.0,242.98,1864.4,304.03,1218.25
