Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Carrots Production,0102800000,Ilocos Norte,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0102900000,Ilocos Sur,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0103300000,La Union,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0105500000,Pangasinan,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0200900000,Batanes,2.89,1.11,,,5.17,1.92,,,4.66,3.05,,,5.25,3.5,,,5.35,6.52,,,5.41
Overall Carrots Production,0201500000,Cagayan,,,,,,,,,,,,,,,,,,0.3,,,0.46
Overall Carrots Production,0203100000,Isabela,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0205000000,Nueva Vizcaya,454.07,139.38,41.65,22.06,450.31,149.47,42.5,20.81,516.14,151.96,45.0,31.49,966.45,127.35,169.34,47.22,782.26,139.66,182.69,39.36,916.6
Overall Carrots Production,0205700000,Quirino,7.54,3.41,0.73,4.14,8.12,3.67,0.79,3.9,7.93,3.42,0.76,3.65,2.5,3.31,0.79,0.5,2.95,3.5,0.78,0.23,5.16
Overall Carrots Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0301400000,Bulacan,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0304900000,Nueva Ecija,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0305400000,Pampanga,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0307100000,Zambales,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0307700000,Aurora,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0401000000,Batangas,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0402100000,Cavite,,,,,,,,,,,,,,,0.02,0.01,,,,,0.01
Overall Carrots Production,0403400000,Laguna,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0405600000,Quezon,1.83,5.43,,19.05,1.54,5.05,,17.04,1.08,4.9,,17.04,1.0,4.22,,15.7,0.97,4.5,,16.18,1.02
Overall Carrots Production,0405800000,Rizal,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0500500000,Albay,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0501600000,Camarines Norte,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0501700000,Camarines Sur,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0502000000,Catanduanes,,,,,,,,,,,,,,,,,,0.1,,,
Overall Carrots Production,0504100000,Masbate,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0506200000,Sorsogon,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0600400000,Aklan,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0600600000,Antique,4.65,3.36,3.35,29.5,4.54,4.14,3.42,26.53,5.73,3.72,3.2,24.73,4.31,3.59,3.35,25.12,4.39,8.0,,23.85,4.48
Overall Carrots Production,0601900000,Capiz,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0603000000,Iloilo,14.27,8.95,2.56,10.8,13.0,7.61,2.25,9.07,10.8,7.33,2.74,11.05,9.05,6.95,2.6,10.49,8.69,6.5,26.0,11.45,118.45
Overall Carrots Production,0607900000,Guimaras,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0701200000,Bohol,,,,,,,,,,,,0.02,,,,0.01,,,,,
Overall Carrots Production,0702200000,Cebu,170.0,186.0,123.07,700.0,150.0,195.0,120.0,650.0,155.24,250.71,106.2,685.0,145.11,140.06,117.83,670.0,149.35,195.26,112.42,668.33,142.52
Overall Carrots Production,0802600000,Eastern Samar,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0803700000,Leyte,,,0.18,0.39,,,0.18,0.38,,,,0.37,,,,,,,,,
Overall Carrots Production,0804800000,Northern Samar,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0806000000,Samar (Western Samar),,,,,,,,,,,,,,,,,,,0.33,,
Overall Carrots Production,0806400000,Southern Leyte,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0807800000,Biliran,0.2,,,0.76,0.22,,,0.7,,,,,,0.19,,,,,,,
Overall Carrots Production,0906600000,,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,0907200000,Zamboanga del Norte,3.99,3.15,16.65,34.15,3.85,4.86,13.46,26.06,3.15,4.0,1.48,24.21,2.86,3.52,2.09,22.82,3.29,3.77,2.51,24.36,3.1
Overall Carrots Production,0907300000,Zamboanga del Sur,4.9,4.69,12.74,12.57,4.66,4.39,11.79,11.54,23.01,69.57,,,21.51,62.55,52.1,,20.1,4.33,4.21,4.24,4.3
Overall Carrots Production,0907400000,Zamboanga City,19.31,70.73,46.02,74.31,19.58,68.87,47.53,71.63,,,,,,,,,,260.4,63.0,65.94,45.1
Overall Carrots Production,0908300000,Zamboanga Sibugay,4.67,1.4,2.78,12.2,4.77,1.48,2.35,11.18,4.54,1.46,2.27,10.84,4.02,1.43,2.26,10.81,3.81,1.36,2.51,10.22,3.72
Overall Carrots Production,1001300000,Bukidnon,86.37,137.0,714.06,411.25,85.0,132.0,710.0,391.09,93.17,130.0,747.63,378.42,620.0,105.0,750.0,411.6,605.12,103.5,751.68,411.72,439.43
Overall Carrots Production,1001800000,Camiguin,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,1003500000,Lanao del Norte,,,,,,,,,,,,,,,,,,,,1.14,
Overall Carrots Production,1004200000,Misamis Occidental,10.3,16.7,11.9,22.1,8.75,14.69,11.0,17.82,7.0,13.0,10.0,14.3,6.97,12.48,10.45,14.29,6.66,12.26,10.04,14.0,6.54
Overall Carrots Production,1004300000,Misamis Oriental,15.5,5.68,6.0,,13.5,7.49,7.03,,14.12,7.84,8.0,5.5,14.37,,7.26,5.0,14.5,14.0,7.2,4.8,14.0
Overall Carrots Production,1102300000,Davao del Norte,,,,,,,,,,,,,,,,,,,,,
Overall Carrots Production,1102400000,Davao del Sur,192.78,374.88,491.55,257.05,180.63,359.43,461.59,236.15,174.35,374.8,475.2,311.13,183.89,370.28,468.72,290.97,193.02,337.36,439.95,258.95,192.8
Overall Carrots Production,1102500000,Davao Oriental,2.36,8.85,2.12,1.82,2.57,7.56,2.08,2.0,2.41,7.04,2.21,2.02,2.45,6.94,2.12,1.98,,6.85,2.14,2.0,2.43
Overall Carrots Production,1108200000,Davao de Oro (Compostela Valley),10.88,6.52,6.57,5.06,10.45,6.63,6.33,4.88,10.07,6.69,6.13,4.37,9.68,6.48,5.91,4.2,9.37,6.23,5.71,4.14,9.04
Overall Carrots Production,1108600000,Davao Occidental,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,,,,
