Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Cassava Food Production,0102800000,Ilocos Norte,961.26,269.82,934.38,1266.65,999.66,270.65,919.33,1271.79,1017.01,288.16,861.41,1189.0,992.64,276.21,886.32,1192.96,990.16,278.34,889.02,1217.92,992.77
Cassava Food Production,0102900000,Ilocos Sur,78.84,213.9,497.68,636.96,62.95,216.3,695.84,710.22,69.77,217.44,494.08,694.72,74.78,219.95,497.33,699.89,78.72,216.44,495.71,703.71,98.56
Cassava Food Production,0103300000,La Union,29.22,457.81,1557.36,752.72,31.38,442.93,1518.27,722.99,30.12,434.96,1442.05,729.98,28.34,412.67,1516.75,701.8,35.09,468.27,1567.24,980.34,37.19
Cassava Food Production,0105500000,Pangasinan,4467.54,2382.94,2155.56,2165.16,2773.14,2387.87,2114.39,2145.67,2660.61,2575.44,1501.65,1967.16,2580.79,2777.8,1456.0,2065.0,2755.0,2915.0,1690.68,2025.77,2493.04
Cassava Food Production,0200900000,Batanes,3.57,1.57,0.29,2.0,0.5,5.16,0.39,2.36,,0.5,0.3,3.0,4.0,0.3,0.45,2.15,3.75,1.05,0.38,2.38,3.88
Cassava Food Production,0201500000,Cagayan,1127.73,75.71,176.42,1523.33,1363.27,86.41,178.89,1445.77,1644.08,82.35,169.0,1455.77,1587.0,104.68,230.88,1388.78,1254.2,87.52,188.8,1276.25,1495.09
Cassava Food Production,0203100000,Isabela,1508.72,1381.42,1211.36,1159.79,1509.32,1384.18,1270.58,1245.61,1512.4,1387.2,1290.0,1214.61,1510.0,1418.3,1156.54,1187.0,1491.18,1331.24,1275.72,1093.91,1256.63
Cassava Food Production,0205000000,Nueva Vizcaya,68.12,54.73,56.37,64.77,81.74,58.64,82.39,71.39,103.25,62.83,69.38,100.68,92.5,60.74,65.15,61.5,107.88,61.78,72.31,59.23,118.04
Cassava Food Production,0205700000,Quirino,4797.0,954.29,367.17,94.17,5676.0,1056.58,397.82,96.73,5383.0,1140.42,399.25,105.1,5236.5,1098.5,398.53,98.66,4785.12,1119.46,578.77,100.16,3373.93
Cassava Food Production,0300800000,Bataan,382.92,190.0,562.92,457.54,670.11,284.38,487.15,429.51,601.17,298.92,454.46,415.18,551.4,285.39,253.2,472.45,607.56,219.53,316.5,510.36,796.84
