Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Cassava Food Production,0102800000,Ilocos Norte,1231.08,2201.03,1270.31,2191.12,1305.17,2050.41,1268.85,2079.28,1268.5,2106.94,992.77
Cassava Food Production,0102900000,Ilocos Sur,292.74,1134.64,279.25,1406.06,287.21,1188.8,294.73,1197.22,295.16,1199.42,98.56
Cassava Food Production,0103300000,La Union,487.03,2310.08,474.31,2241.26,465.08,2172.03,441.01,2218.55,503.36,2547.58,37.19
Cassava Food Production,0105500000,Pangasinan,6850.48,4320.72,5161.01,4260.06,5236.05,3468.81,5358.59,3521.0,5670.0,3716.45,2493.04
Cassava Food Production,0200900000,Batanes,5.14,2.29,5.66,2.75,0.5,3.3,4.3,2.6,4.8,2.76,3.88
Cassava Food Production,0201500000,Cagayan,1203.44,1699.75,1449.68,1624.66,1726.43,1624.77,1691.68,1619.66,1341.72,1465.05,1495.09
Cassava Food Production,0203100000,Isabela,2890.14,2371.15,2893.5,2516.19,2899.6,2504.61,2928.3,2343.54,2822.42,2369.63,1256.63
Cassava Food Production,0205000000,Nueva Vizcaya,122.85,121.14,140.38,153.78,166.08,170.06,153.24,126.65,169.66,131.54,118.04
Cassava Food Production,0205700000,Quirino,5751.29,461.34,6732.58,494.55,6523.42,504.35,6335.0,497.19,5904.58,678.93,3373.93
Cassava Food Production,0300800000,Bataan,572.92,1020.46,954.49,916.66,900.09,869.64,836.79,725.65,827.09,826.86,796.84
Cassava Food Production,0301400000,Bulacan,432.72,1324.63,352.86,1119.2,352.84,932.4,337.8,854.54,465.96,906.01,291.42
Cassava Food Production,0304900000,Nueva Ecija,265.86,101.37,271.91,105.57,251.21,99.72,232.99,89.5,255.59,99.95,43.85
Cassava Food Production,0305400000,Pampanga,2023.0,1698.97,2179.65,1784.53,2042.56,1779.36,2558.27,1849.77,2688.12,1941.92,1552.19
Cassava Food Production,0306900000,Tarlac,293.43,1056.84,307.53,1058.43,326.68,1020.11,324.75,1035.75,335.42,1086.59,36.73
Cassava Food Production,0307100000,Zambales,1127.15,2043.64,1095.89,1915.04,1079.03,1435.04,897.51,1808.59,534.54,1149.05,
Cassava Food Production,0307700000,Aurora,1799.92,606.35,1776.62,445.82,2101.56,265.09,1186.2,222.01,109.71,166.65,67.01
Cassava Food Production,0401000000,Batangas,4009.55,3455.85,4241.25,3282.87,4362.84,3435.0,3873.21,3073.86,3565.24,1686.24,1489.34
Cassava Food Production,0402100000,Cavite,305.38,539.96,306.88,585.97,238.51,620.15,235.3,1072.42,741.55,938.82,685.49
Cassava Food Production,0403400000,Laguna,1115.46,771.73,1164.3,778.74,1506.79,480.27,1268.02,377.32,1624.03,435.09,746.05
Cassava Food Production,0405600000,Quezon,19600.5,11781.44,19511.78,11539.84,19044.54,11539.0,19153.37,11156.33,19372.84,10897.81,11761.24
Cassava Food Production,0405800000,Rizal,731.53,451.96,700.73,490.19,677.92,437.4,676.65,429.9,665.99,415.03,561.28
Cassava Food Production,0500500000,Albay,6056.69,2091.43,6553.7,2188.31,7196.34,2194.53,6577.53,1404.27,4596.21,968.05,583.28
Cassava Food Production,0501600000,Camarines Norte,2665.18,1000.86,1657.14,1295.76,2333.27,102.72,1951.59,86.13,1616.35,73.27,48.58
Cassava Food Production,0501700000,Camarines Sur,24250.65,14540.0,23828.21,15140.28,20846.11,14196.0,15321.74,7785.63,9814.74,674.32,360.31
Cassava Food Production,0502000000,Catanduanes,286.45,48.4,356.6,54.59,409.71,60.66,345.89,54.74,178.24,55.38,70.02
Cassava Food Production,0504100000,Masbate,2087.34,3143.85,2379.46,3031.14,2342.71,2894.02,3112.76,2791.78,2878.05,1882.55,1617.89
Cassava Food Production,0506200000,Sorsogon,2565.19,1175.15,2283.66,1035.09,1675.89,201.01,473.95,287.3,455.82,282.63,106.83
Cassava Food Production,0600400000,Aklan,4640.58,2759.74,5609.05,2953.65,5076.88,2471.56,4248.19,2620.45,4008.66,2472.71,381.65
Cassava Food Production,0600600000,Antique,1491.4,3149.33,1371.29,3042.77,1274.58,2911.37,1219.64,2925.62,1272.11,2577.72,340.94
Cassava Food Production,0601900000,Capiz,2604.8,2704.8,2615.17,2688.7,2634.4,2624.0,2499.5,2552.0,2555.46,2555.28,630.0
Cassava Food Production,0603000000,Iloilo,4297.5,2355.44,4079.38,2345.88,4718.35,2122.66,4590.01,2017.21,4238.7,1180.48,2091.25
Cassava Food Production,0607900000,Guimaras,551.59,263.41,606.42,284.63,616.53,292.0,655.87,344.57,815.05,423.78,547.94
Cassava Food Production,0701200000,Bohol,7907.74,5039.24,5336.78,3833.5,5614.1,3298.42,1947.92,2535.0,1869.28,2463.49,464.11
Cassava Food Production,0702200000,Cebu,2485.3,3253.08,2361.0,3810.0,2477.25,3904.0,2361.66,3717.77,2356.88,3690.57,926.09
Cassava Food Production,0802600000,Eastern Samar,6875.6,4004.21,9605.1,4364.18,9005.91,5077.35,9862.0,6882.17,11168.5,4969.55,3296.25
Cassava Food Production,0803700000,Leyte,5762.12,4366.3,5512.25,4118.67,5381.2,4196.85,5310.53,4170.5,5227.5,4170.0,3660.0
Cassava Food Production,0804800000,Northern Samar,6520.0,2267.0,6822.75,2397.0,7218.17,2373.67,7113.13,2367.0,7105.0,2022.55,1854.0
Cassava Food Production,0806000000,Samar (Western Samar),3132.91,12597.69,3454.68,14496.84,3898.32,13955.01,3711.99,13187.9,3520.23,12650.97,2330.94
Cassava Food Production,0806400000,Southern Leyte,3290.06,2718.0,3038.35,2621.0,3833.38,2714.0,3797.64,2364.0,3735.66,1297.88,1015.0
Cassava Food Production,0807800000,Biliran,1495.0,2240.0,1544.95,2451.19,1848.75,2475.7,1839.0,1832.98,2088.62,2033.98,1380.68
Cassava Food Production,0906600000,,48450.0,118010.0,48650.0,118000.0,48900.0,120500.0,49000.0,120000.0,51298.36,129956.67,27303.75
Cassava Food Production,0907200000,Zamboanga del Norte,2202.09,5448.12,2189.07,5127.89,1946.37,5587.57,1520.41,5218.86,2166.81,4974.91,1314.74
Cassava Food Production,0907300000,Zamboanga del Sur,3213.95,5376.2,3439.3,6115.43,15269.59,26358.28,13366.49,26080.05,4062.5,5344.75,2637.0
Cassava Food Production,0907400000,Zamboanga City,9992.07,16014.71,10031.04,16169.04,,,,,8650.0,17402.71,8703.9
Cassava Food Production,0908300000,Zamboanga Sibugay,646.06,3010.64,642.51,3147.9,607.42,3215.54,580.04,3216.13,592.94,3163.81,248.25
Cassava Food Production,1001300000,Bukidnon,3399.16,2194.82,3405.0,1780.37,3811.52,2046.47,3649.5,1891.38,4012.37,1804.53,1380.13
Cassava Food Production,1001800000,Camiguin,1600.29,507.9,1301.58,614.25,1162.1,896.0,1256.66,895.6,1390.0,983.71,560.54
Cassava Food Production,1003500000,Lanao del Norte,12648.0,10350.0,12558.0,10166.0,12530.0,10160.0,12492.0,10155.0,12550.0,10142.0,3003.34
Cassava Food Production,1004200000,Misamis Occidental,10965.0,2566.0,11046.19,2608.5,11136.35,2625.0,9967.38,2722.21,10394.51,2751.35,9755.92
Cassava Food Production,1004300000,Misamis Oriental,3681.2,657.36,3928.76,759.35,4223.43,804.0,5127.75,699.47,5147.14,723.9,1890.52
Cassava Food Production,1102300000,Davao del Norte,856.72,930.55,854.86,926.41,857.69,988.69,837.34,1014.9,817.07,977.95,359.38
Cassava Food Production,1102400000,Davao del Sur,341.89,482.51,314.96,480.22,864.26,1313.1,813.84,1298.94,508.41,581.15,118.23
Cassava Food Production,1102500000,Davao Oriental,1390.41,1653.68,1285.83,1876.83,1168.71,1770.47,1161.61,1719.66,1186.09,1840.77,192.3
Cassava Food Production,1108200000,Davao de Oro (Compostela Valley),3334.16,2669.5,3421.3,2687.83,3431.07,2652.05,3296.29,2552.35,3172.01,2526.99,383.34
Cassava Food Production,1108600000,Davao Occidental,170.86,313.19,175.62,317.58,179.6,311.36,181.84,304.15,175.99,304.5,59.58
Cassava Food Production,1130700000,Davao City,536.05,935.52,553.03,926.7,,,,,299.12,520.16,143.18
Cassava Food Production,1204700000,Cotabato (North Cotabato),756.28,2373.76,639.18,1405.98,445.3,884.22,273.61,1032.87,211.45,688.69,106.51
Cassava Food Production,1206300000,South Cotabato,665.2,501.52,683.25,514.73,785.2,598.19,733.69,535.87,637.07,373.7,265.45
Cassava Food Production,1206500000,Sultan Kudarat,106.74,137.63,96.79,132.06,100.68,133.77,90.33,123.68,92.03,142.59,81.0
Cassava Food Production,1208000000,Sarangani,64.5,550.0,64.94,557.0,66.0,326.0,86.0,622.0,135.0,675.55,68.41
Cassava Food Production,1400100000,Abra,28.54,17.96,28.2,18.25,26.24,18.42,23.42,16.2,35.13,13.27,9.76
Cassava Food Production,1401100000,Benguet,65.18,216.9,76.3,239.85,70.44,115.22,71.85,172.5,210.56,168.78,130.42
Cassava Food Production,1402700000,Ifugao,7.76,8.97,8.74,13.42,9.85,12.69,13.45,8.75,7.53,3.86,4.5
Cassava Food Production,1403200000,Kalinga,13.89,22.51,17.85,22.17,19.29,24.35,18.4,24.3,17.3,26.64,
Cassava Food Production,1404400000,Mountain Province,82.7,66.18,74.03,70.87,76.53,62.44,62.04,66.0,66.31,68.97,38.72
Cassava Food Production,1408100000,Apayao,543.27,172.25,560.04,178.27,522.94,172.0,512.35,161.65,530.73,151.44,72.59
Cassava Food Production,1600200000,Agusan del Norte,1399.38,2527.45,1236.64,2702.0,1282.59,2159.89,1269.72,2018.29,1382.7,2102.02,167.79
Cassava Food Production,1600300000,Agusan del Sur,1391.76,3926.9,1442.55,3961.56,1197.99,3552.72,921.0,3674.0,975.0,3893.42,547.43
Cassava Food Production,1606700000,Surigao del Norte,1041.7,851.32,604.05,704.4,553.54,608.55,407.08,621.63,782.67,507.94,364.25
Cassava Food Production,1606800000,Surigao del Sur,2557.17,5321.04,2039.13,5825.64,2325.68,1459.25,2420.0,2665.5,2555.0,3117.08,870.33
Cassava Food Production,1608500000,Dinagat Islands,325.08,185.19,179.02,92.08,215.27,124.35,178.6,163.14,269.23,212.08,56.12
Cassava Food Production,1630400000,Butuan City,,,,,,,,,,,86.44
Cassava Food Production,1704000000,Marinduque,414.49,189.06,424.63,193.72,467.75,129.57,324.61,87.56,318.5,66.4,126.79
Cassava Food Production,1705100000,Occidental Mindoro,1569.9,1891.73,1640.3,2927.81,1643.56,2134.02,1813.9,1344.79,1987.41,1630.83,281.51
Cassava Food Production,1705200000,Oriental Mindoro,3432.42,3712.37,3728.52,4083.89,2735.55,2383.99,2320.72,2077.21,2415.0,2898.01,251.71
Cassava Food Production,1705300000,Palawan,4462.17,2095.59,4202.15,2011.06,4873.49,837.77,4410.46,816.51,4176.1,1091.05,1621.78
Cassava Food Production,1705900000,Romblon,989.8,1041.68,1003.47,1149.04,1051.05,793.55,909.42,815.29,972.15,744.91,593.76
Cassava Food Production,1731500000,Puerto Princesa City,,,,,,,,,,,5.1
Cassava Food Production,1804500000,Negros Occidental,14760.0,12795.0,14600.0,12650.0,14815.98,12590.0,14683.66,12832.45,14595.0,12690.82,7676.0
Cassava Food Production,1804600000,Negros Oriental,1284.56,458.52,1218.9,527.36,1106.22,543.1,999.6,437.29,1653.28,448.92,889.09
Cassava Food Production,1806100000,Siquijor,905.7,713.99,927.13,719.38,979.54,788.96,859.17,741.01,862.72,749.89,741.2
Cassava Food Production,1830200000,Bacolod City,,,,,,,,,,,
Cassava Food Production,1900700000,Basilan,15989.51,299519.83,16204.48,299034.65,14186.52,286115.76,8637.95,258803.84,8184.2,246740.12,458.19
Cassava Food Production,1903600000,Lanao del Sur,53421.0,74357.8,53421.5,74361.0,53428.9,75040.1,52352.0,75071.0,53008.6,75141.0,12570.0
Cassava Food Production,1907000000,Tawi-Tawi,42078.0,55680.0,42336.0,52328.0,39215.0,50244.0,41730.0,51480.0,49027.0,51850.0,26580.0
Cassava Food Production,1908700000,Maguindanao del Norte,,,,,,,,,812.1,714.13,786.0
Cassava Food Production,1908800000,Maguindanao del Sur,3266.0,2630.0,3302.09,2715.0,3318.2,2765.0,3219.0,1176.3,2511.39,795.0,346.7
