Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Cassava Industrial Production,0102800000,Ilocos Norte,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0102900000,Ilocos Sur,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0103300000,La Union,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0105500000,Pangasinan,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0200900000,Batanes,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0201500000,Cagayan,2246.04,3056.06,525.1,411.4,2021.14,2848.1,513.27,355.5,2671.08,2471.24,469.0,357.5,2320.0,2242.0,453.0,321.13,1950.15,1852.45,362.4,256.89,2135.08
Cassava Industrial Production,0203100000,Isabela,33534.25,36162.95,59755.77,6520.38,26022.58,36560.74,60819.42,7198.5,26050.3,35486.1,59311.09,6965.3,25036.0,31945.46,55310.85,5848.0,24732.69,31075.0,53254.0,5418.64,22633.7
Cassava Industrial Production,0205000000,Nueva Vizcaya,1275.4,599.5,883.42,602.55,1434.83,620.17,1001.21,658.78,1147.86,587.73,942.32,655.0,1028.35,584.99,859.99,437.93,921.4,580.36,934.5,380.29,1032.54
Cassava Industrial Production,0205700000,Quirino,11489.16,6147.95,8146.25,4675.99,10728.0,5740.34,7930.97,4552.54,10981.72,6282.48,8038.61,4567.5,10854.5,5711.41,7984.79,4560.02,10075.0,4852.76,7201.78,4141.5,9385.56
Cassava Industrial Production,0300800000,Bataan,244.0,84.52,,381.03,140.25,,,,,,,,,,,,,,,,
Cassava Industrial Production,0301400000,Bulacan,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0304900000,Nueva Ecija,62.28,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0305400000,Pampanga,1530.0,2296.0,690.48,4029.92,1616.97,2505.49,672.17,4144.37,1533.33,2361.57,636.18,4174.55,1619.84,2470.52,681.85,4244.23,1696.86,2575.52,688.53,4422.55,1743.52
Cassava Industrial Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0307100000,Zambales,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0307700000,Aurora,,,,5.0,,,10.0,,,,,,,,,31.16,,,,,
Cassava Industrial Production,0401000000,Batangas,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0402100000,Cavite,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0403400000,Laguna,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0405600000,Quezon,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0405800000,Rizal,,,,,,,,,,,,,,,,,,,,,
Cassava Industrial Production,0500500000,Albay,950.5,1570.0,132.68,58.3,545.0,1080.0,65.5,52.77,408.75,580.0,35.5,4.06,86.14,240.0,28.92,,,6.92,,,9.09
Cassava Industrial Production,0501600000,Camarines Norte,20.0,,,,,,,,,,,,,,,,,,,,15.32
Cassava Industrial Production,0501700000,Camarines Sur,1093.63,1571.71,1123.08,531.62,952.28,1506.48,982.81,504.19,842.96,1283.4,,,1.91,,,,,,,,
Cassava Industrial Production,0502000000,Catanduanes,,,,,,,,,,,,,,,,,,,,,
