Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Cassava Production,0102800000,Ilocos Norte,961.26,269.82,934.38,1266.65,999.66,270.65,919.33,1271.79,1017.01,288.16,861.41,1189.0,992.64,276.21,886.32,1192.96,990.16,278.34,889.02,1217.92,992.77
Overall Cassava Production,0102900000,Ilocos Sur,78.84,213.9,497.68,636.96,62.95,216.3,695.84,710.22,69.77,217.44,494.08,694.72,74.78,219.95,497.33,699.89,78.72,216.44,495.71,703.71,98.56
Overall Cassava Production,0103300000,La Union,29.22,457.81,1557.36,752.72,31.38,442.93,1518.27,722.99,30.12,434.96,1442.05,729.98,28.34,412.67,1516.75,701.8,35.09,468.27,1567.24,980.34,37.19
Overall Cassava Production,0105500000,Pangasinan,4467.54,2382.94,2155.56,2165.16,2773.14,2387.87,2114.39,2145.67,2660.61,2575.44,1501.65,1967.16,2580.79,2777.8,1456.0,2065.0,2755.0,2915.0,1690.68,2025.77,2493.04
Overall Cassava Production,0200900000,Batanes,3.57,1.57,0.29,2.0,0.5,5.16,0.39,2.36,,0.5,0.3,3.0,4.0,0.3,0.45,2.15,3.75,1.05,0.38,2.38,3.88
Overall Cassava Production,0201500000,Cagayan,3373.77,3131.77,701.52,1934.73,3384.41,2934.51,692.16,1801.27,4315.16,2553.59,638.0,1813.27,3907.0,2346.68,683.88,1709.91,3204.35,1939.97,551.2,1533.14,3630.17
Overall Cassava Production,0203100000,Isabela,35042.97,37544.37,60967.13,7680.17,27531.9,37944.92,62090.0,8444.11,27562.7,36873.3,60601.09,8179.91,26546.0,33363.76,56467.39,7035.0,26223.87,32406.24,54529.72,6512.55,23890.33
Overall Cassava Production,0205000000,Nueva Vizcaya,1343.52,654.23,939.79,667.32,1516.57,678.81,1083.6,730.17,1251.11,650.56,1011.7,755.68,1120.85,645.73,925.14,499.43,1029.28,642.14,1006.81,439.52,1150.58
Overall Cassava Production,0205700000,Quirino,16286.16,7102.24,8513.42,4770.16,16404.0,6796.92,8328.79,4649.27,16364.72,7422.9,8437.86,4672.6,16091.0,6809.91,8383.32,4658.68,14860.12,5972.22,7780.55,4241.66,12759.49
Overall Cassava Production,0300800000,Bataan,626.92,274.52,562.92,838.57,810.36,284.38,487.15,429.51,601.17,298.92,454.46,415.18,551.4,285.39,253.2,472.45,607.56,219.53,316.5,510.36,796.84
Overall Cassava Production,0301400000,Bulacan,375.22,57.5,556.37,768.26,298.08,54.78,579.34,539.86,296.12,56.72,176.3,756.1,285.05,52.75,152.65,701.89,293.08,172.88,177.02,728.99,291.42
Overall Cassava Production,0304900000,Nueva Ecija,107.9,220.24,86.05,15.32,50.46,221.45,90.27,15.3,44.45,206.76,83.18,16.54,41.13,191.86,75.82,13.68,45.51,210.08,84.22,15.73,43.85
Overall Cassava Production,0305400000,Pampanga,2539.0,3310.0,894.45,5524.92,2658.63,3643.48,871.99,5729.08,2536.13,3401.33,829.14,5760.95,3017.31,3631.32,877.8,5898.05,3116.1,3844.4,884.67,6168.33,3295.71
Overall Cassava Production,0306900000,Tarlac,37.23,256.2,244.96,811.88,46.15,261.38,182.41,876.02,43.05,283.63,210.84,809.27,40.08,284.67,213.6,822.15,43.31,292.11,197.17,889.42,36.73
Overall Cassava Production,0307100000,Zambales,804.24,322.91,848.38,1195.26,771.09,324.8,859.77,1055.27,756.38,322.65,294.2,1140.84,654.92,242.59,578.14,1230.45,480.85,53.69,103.17,1045.88,
Overall Cassava Production,0307700000,Aurora,214.95,1584.97,235.56,375.79,180.0,1596.62,230.0,225.82,210.28,1891.28,76.66,188.43,178.53,1007.67,73.0,180.17,74.45,35.26,52.97,113.68,67.01
Overall Cassava Production,0401000000,Batangas,2373.8,1635.75,66.78,3389.07,2741.74,1499.51,70.23,3212.64,2669.71,1693.13,50.0,3385.0,2150.0,1723.21,183.86,2890.0,2145.6,1419.64,210.65,1475.59,1489.34
Overall Cassava Production,0402100000,Cavite,223.75,81.63,204.68,335.28,231.05,75.83,214.13,371.84,158.2,80.31,209.8,410.35,128.65,106.65,421.6,650.82,635.75,105.8,423.25,515.57,685.49
Overall Cassava Production,0403400000,Laguna,310.69,804.77,440.46,331.27,314.87,849.43,512.13,266.61,271.76,1235.03,263.3,216.97,280.0,988.02,214.59,162.73,240.8,1383.23,219.65,215.44,746.05
Overall Cassava Production,0405600000,Quezon,11702.04,7898.46,6528.73,5252.71,11683.06,7828.72,6442.77,5097.07,11664.48,7380.06,6439.0,5100.0,12061.07,7092.3,6121.61,5034.72,11695.54,7677.3,5934.07,4963.74,11761.24
Overall Cassava Production,0405800000,Rizal,550.69,180.84,359.64,92.32,536.48,164.25,399.63,90.56,567.11,110.81,349.4,88.0,561.65,115.0,345.65,84.25,555.08,110.91,333.34,81.69,561.28
Overall Cassava Production,0500500000,Albay,2416.37,6160.82,1361.87,920.54,2148.56,6030.14,1343.38,963.2,2193.99,5991.1,1381.84,852.25,1437.97,5465.7,1143.99,289.2,717.38,3885.75,568.8,399.25,592.37
Overall Cassava Production,0501600000,Camarines Norte,156.08,2529.1,987.06,13.8,61.35,1595.79,1280.28,15.48,43.66,2289.61,89.89,12.83,27.24,1924.35,71.93,14.2,24.57,1591.78,57.55,15.72,63.9
Overall Cassava Production,0501700000,Camarines Sur,8924.29,17991.7,11602.85,4591.85,9004.16,17282.81,12224.46,4402.82,7051.76,15920.71,10290.0,3906.0,3896.69,11426.96,7244.2,541.43,451.49,9363.25,312.0,362.32,360.31
Overall Cassava Production,0502000000,Catanduanes,108.62,177.83,45.57,2.83,119.43,237.17,52.38,2.21,114.6,295.11,58.41,2.25,116.71,229.18,52.79,1.95,78.57,99.67,54.53,0.85,70.02
Overall Cassava Production,0504100000,Masbate,1774.21,1775.11,4940.31,1635.49,2044.66,2036.92,4563.34,1467.61,1940.3,1806.24,4645.76,850.0,2959.26,1544.06,4560.15,805.64,1786.13,1091.92,1428.33,454.22,1617.89
Overall Cassava Production,0506200000,Sorsogon,1937.34,627.85,533.32,641.83,1706.04,577.62,535.99,499.1,1211.58,464.31,106.69,94.32,148.93,325.02,101.35,185.95,114.55,341.27,106.48,176.15,106.83
Overall Cassava Production,0600400000,Aklan,740.19,3900.39,801.07,1958.67,808.33,4800.72,971.23,1982.42,729.11,4347.77,812.71,1658.85,610.1,3638.09,861.67,1758.78,575.7,3432.96,813.09,1659.62,381.65
Overall Cassava Production,0600600000,Antique,334.54,1156.86,702.53,2446.8,345.62,1025.67,811.48,2231.29,348.12,926.46,716.64,2194.73,337.24,882.4,708.57,2217.05,344.3,927.81,430.35,2147.37,340.94
Overall Cassava Production,0601900000,Capiz,1158.98,1445.82,1921.78,783.02,1163.5,1451.67,1940.99,747.71,1172.0,1462.4,1894.4,729.6,1083.5,1416.0,1842.1,709.9,1089.9,1465.56,1906.57,648.71,630.0
Overall Cassava Production,0603000000,Iloilo,1837.5,2460.0,627.44,1728.0,1929.38,2150.0,721.56,1624.32,2218.35,2500.0,652.9,1469.76,2158.01,2432.0,617.21,1400.0,2130.1,2108.6,202.74,977.74,2091.25
Overall Cassava Production,0607900000,Guimaras,368.99,182.6,54.45,208.96,411.42,195.0,61.57,223.06,382.7,233.83,51.1,240.9,405.62,250.25,60.3,284.27,507.25,307.8,74.16,349.62,547.94
Overall Cassava Production,0701200000,Bohol,6166.62,1846.65,1967.24,3201.71,3667.71,1871.55,1930.81,2026.19,3871.81,2083.47,1360.18,2141.14,710.33,1563.61,967.47,1700.5,563.13,1488.42,774.49,2225.0,491.54
Overall Cassava Production,0702200000,Cebu,2758.75,3294.0,3545.33,4500.0,2236.0,3410.0,3760.0,5500.0,2373.87,3508.98,3691.91,5664.0,2273.0,3404.33,3672.29,5332.0,2260.2,3409.53,2376.64,5498.66,2302.36
Overall Cassava Production,0802600000,Eastern Samar,2455.0,4433.47,3906.61,113.3,2716.2,6901.75,4262.09,118.92,2286.55,6732.2,4304.82,1183.58,3060.15,6823.2,4348.31,2965.46,3677.92,7519.0,3455.69,1869.19,3308.59
Overall Cassava Production,0803700000,Leyte,13800.25,6431.46,17880.75,3455.8,13398.09,6005.69,17691.59,3319.2,13208.02,5625.88,17690.0,3399.63,13159.53,5482.0,17260.0,3385.7,13106.5,5408.0,17380.0,3290.0,13092.0
Overall Cassava Production,0804800000,Northern Samar,1375.0,5145.0,781.0,1486.0,1582.75,5240.0,790.0,1607.0,1868.17,5350.0,783.67,1590.0,1850.0,5263.13,780.0,1587.0,1845.0,5260.0,784.55,1238.0,1855.15
Overall Cassava Production,0806000000,Samar (Western Samar),2296.04,836.87,5968.95,6628.74,2524.5,930.18,6784.31,7712.53,2738.07,1160.25,6153.41,7831.01,2569.66,1260.64,6264.31,6950.52,2505.64,1125.5,6204.61,6472.4,2330.94
Overall Cassava Production,0806400000,Southern Leyte,1353.28,1936.78,1372.0,1346.0,1213.0,1825.35,1273.0,1348.0,1964.38,1869.0,1282.0,1432.0,1985.4,1812.24,1128.0,1236.0,1996.09,1739.75,732.41,565.47,1015.0
Overall Cassava Production,0807800000,Biliran,860.0,635.0,1810.0,430.0,950.0,594.95,1934.42,516.77,1233.98,614.77,1953.76,521.94,1197.0,642.0,1404.0,428.98,1376.0,712.62,1561.25,472.73,1380.68
Overall Cassava Production,0906600000,,25750.0,22700.0,24950.0,93060.0,25650.0,23000.0,25000.0,93000.0,25700.0,23200.0,25500.0,95000.0,26000.0,23000.0,26000.0,94000.0,26500.0,24798.36,27452.34,102504.33,27303.75
Overall Cassava Production,0907200000,Zamboanga del Norte,2892.85,4443.79,7522.66,6546.67,3289.32,4560.95,7189.19,6450.71,2830.12,2674.02,5747.71,7140.51,2582.03,2325.06,5487.54,6695.59,2697.46,2218.2,4662.31,6762.27,2477.83
Overall Cassava Production,0907300000,Zamboanga del Sur,2703.88,7722.98,10781.64,11348.62,2608.54,7473.52,10184.48,12762.66,4764.48,19609.1,20300.36,21453.45,4353.1,17124.57,17924.05,22037.2,4071.2,7206.02,7466.14,7607.34,7570.6
Overall Cassava Production,0907400000,Zamboanga City,1819.01,10788.14,10067.56,9403.84,1840.4,10830.42,10344.68,9342.99,,,,,,,,,,11380.03,11433.12,11432.37,11435.61
Overall Cassava Production,0908300000,Zamboanga Sibugay,295.95,350.11,1559.73,1450.91,281.12,361.39,1669.39,1478.51,271.92,335.5,1694.92,1520.62,251.5,328.54,1698.54,1517.59,249.1,343.84,1653.76,1510.05,248.25
Overall Cassava Production,1001300000,Bukidnon,113577.68,143072.19,78522.5,128916.45,123120.64,144426.0,78920.0,130357.98,143458.1,158331.23,82055.2,122715.3,126500.41,132235.67,79410.0,89464.92,132493.61,122927.52,72582.96,80288.35,135299.31
Overall Cassava Production,1001800000,Camiguin,679.64,920.65,171.03,336.87,581.01,720.57,196.96,417.29,480.07,682.03,446.0,450.0,534.36,722.3,470.6,425.0,527.6,862.4,532.97,450.74,560.54
Overall Cassava Production,1003500000,Lanao del Norte,3183.0,10170.0,7200.0,3800.0,3170.0,10078.0,7061.0,3725.0,3173.0,10035.0,7060.0,3710.0,3165.0,10007.0,7068.0,3698.0,3180.0,10057.0,7063.0,3687.23,3182.94
Overall Cassava Production,1004200000,Misamis Occidental,22020.0,1445.0,138.0,4430.0,10160.48,885.71,93.5,2515.0,10206.2,930.15,95.0,2530.0,9000.0,967.38,96.07,2626.14,9380.7,1013.81,98.95,2652.4,9755.92
Overall Cassava Production,1004300000,Misamis Oriental,34323.0,102426.9,4806.64,15748.17,34530.0,109279.57,5437.23,17023.15,37931.16,109311.9,5405.0,15855.0,38375.33,110245.7,5353.64,13032.11,37497.0,109172.02,5378.3,13168.24,38198.96
Overall Cassava Production,1102300000,Davao del Norte,788.93,612.25,574.54,562.12,725.85,604.08,579.96,549.65,705.64,608.29,626.58,564.04,688.94,616.51,645.09,543.77,672.67,593.5,597.91,547.85,662.03
Overall Cassava Production,1102400000,Davao del Sur,769.76,424.77,372.32,499.35,753.46,401.25,390.57,466.61,1399.48,1299.19,1195.33,1411.3,1292.46,1209.36,1139.13,1385.93,1202.41,461.69,437.52,553.67,428.0
Overall Cassava Production,1102500000,Davao Oriental,207.86,1182.55,1275.42,378.26,203.83,1082.0,1471.15,405.68,188.58,980.13,1384.85,385.62,185.78,975.83,1358.61,361.05,202.53,983.56,1404.87,435.9,192.3
Overall Cassava Production,1108200000,Davao de Oro (Compostela Valley),443.13,2892.34,1415.0,1254.61,425.88,2995.42,1398.65,1289.18,428.64,3002.43,1370.0,1282.05,409.98,2886.31,1314.15,1238.2,394.52,2777.49,1315.94,1211.05,383.34
Overall Cassava Production,1108600000,Davao Occidental,1077.07,481.35,343.71,530.85,1152.37,485.75,353.09,544.84,1149.22,476.03,353.04,533.91,1126.22,486.79,348.99,512.92,1099.12,478.18,342.52,512.54,1085.03
Overall Cassava Production,1130700000,Davao City,602.94,821.47,807.29,1097.22,638.95,833.52,832.2,1072.3,,,,,,,,,,675.75,632.97,554.77,742.53
Overall Cassava Production,1204700000,Cotabato (North Cotabato),1059.19,1561.96,1580.6,3064.52,887.53,1479.3,1544.62,1994.24,772.42,1244.69,1081.09,1769.43,664.66,909.89,1342.12,1785.01,901.59,3219.68,972.13,1817.49,1627.1
Overall Cassava Production,1206300000,South Cotabato,36595.2,16066.02,10831.41,18561.0,38628.25,15230.0,8306.92,25222.31,40105.2,16990.78,7930.42,24691.84,25417.03,15630.2,7155.04,22003.02,23341.97,13770.31,2456.82,17869.94,16357.08
Overall Cassava Production,1206500000,Sultan Kudarat,48.96,58.04,72.08,68.58,44.5,52.29,70.03,62.03,43.35,57.33,67.7,66.07,39.55,50.78,63.38,60.3,230.64,49.56,66.3,76.29,81.0
Overall Cassava Production,1208000000,Sarangani,84.0,78.5,500.0,840.0,71.84,75.6,451.0,766.0,72.0,71.0,220.0,436.0,74.0,95.0,232.0,545.0,78.0,98.0,222.0,540.67,68.41
Overall Cassava Production,1400100000,Abra,0.99,27.55,,17.96,1.02,27.18,,18.25,0.95,25.29,0.09,18.33,0.92,22.5,,16.2,11.13,24.0,2.64,10.63,9.76
Overall Cassava Production,1401100000,Benguet,86.79,142.13,180.87,628.29,65.18,133.15,172.5,499.35,69.37,140.0,170.0,300.22,66.35,95.25,160.0,357.5,182.18,165.11,144.7,359.75,357.17
