Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Cassava Production,0102800000,Ilocos Norte,1231.08,2201.03,1270.31,2191.12,1305.17,2050.41,1268.85,2079.28,1268.5,2106.94,992.77
Overall Cassava Production,0102900000,Ilocos Sur,292.74,1134.64,279.25,1406.06,287.21,1188.8,294.73,1197.22,295.16,1199.42,98.56
Overall Cassava Production,0103300000,La Union,487.03,2310.08,474.31,2241.26,465.08,2172.03,441.01,2218.55,503.36,2547.58,37.19
Overall Cassava Production,0105500000,Pangasinan,6850.48,4320.72,5161.01,4260.06,5236.05,3468.81,5358.59,3521.0,5670.0,3716.45,2493.04
Overall Cassava Production,0200900000,Batanes,5.14,2.29,5.66,2.75,0.5,3.3,4.3,2.6,4.8,2.76,3.88
Overall Cassava Production,0201500000,Cagayan,6505.54,2636.25,6318.92,2493.43,6868.75,2451.27,6253.68,2393.79,5144.32,2084.34,3630.17
Overall Cassava Production,0203100000,Isabela,72587.34,68647.3,65476.82,70534.11,64436.0,68781.0,59909.76,63502.39,58630.11,61042.27,23890.33
Overall Cassava Production,0205000000,Nueva Vizcaya,1997.75,1607.11,2195.38,1813.77,1901.67,1767.38,1766.58,1424.57,1671.42,1446.33,1150.58
Overall Cassava Production,0205700000,Quirino,23388.4,13283.58,23200.92,12978.06,23787.62,13110.46,22900.91,13042.0,20832.34,12022.21,12759.49
Overall Cassava Production,0300800000,Bataan,901.44,1401.49,1094.74,916.66,900.09,869.64,836.79,725.65,827.09,826.86,796.84
Overall Cassava Production,0301400000,Bulacan,432.72,1324.63,352.86,1119.2,352.84,932.4,337.8,854.54,465.96,906.01,291.42
Overall Cassava Production,0304900000,Nueva Ecija,328.14,101.37,271.91,105.57,251.21,99.72,232.99,89.5,255.59,99.95,43.85
Overall Cassava Production,0305400000,Pampanga,5849.0,6419.37,6302.11,6601.07,5937.46,6590.09,6648.63,6775.85,6960.5,7053.0,3295.71
Overall Cassava Production,0306900000,Tarlac,293.43,1056.84,307.53,1058.43,326.68,1020.11,324.75,1035.75,335.42,1086.59,36.73
Overall Cassava Production,0307100000,Zambales,1127.15,2043.64,1095.89,1915.04,1079.03,1435.04,897.51,1808.59,534.54,1149.05,
Overall Cassava Production,0307700000,Aurora,1799.92,611.35,1776.62,455.82,2101.56,265.09,1186.2,253.17,109.71,166.65,67.01
Overall Cassava Production,0401000000,Batangas,4009.55,3455.85,4241.25,3282.87,4362.84,3435.0,3873.21,3073.86,3565.24,1686.24,1489.34
Overall Cassava Production,0402100000,Cavite,305.38,539.96,306.88,585.97,238.51,620.15,235.3,1072.42,741.55,938.82,685.49
Overall Cassava Production,0403400000,Laguna,1115.46,771.73,1164.3,778.74,1506.79,480.27,1268.02,377.32,1624.03,435.09,746.05
Overall Cassava Production,0405600000,Quezon,19600.5,11781.44,19511.78,11539.84,19044.54,11539.0,19153.37,11156.33,19372.84,10897.81,11761.24
Overall Cassava Production,0405800000,Rizal,731.53,451.96,700.73,490.19,677.92,437.4,676.65,429.9,665.99,415.03,561.28
Overall Cassava Production,0500500000,Albay,8577.19,2282.41,8178.7,2306.58,8185.09,2234.09,6903.67,1433.19,4603.13,968.05,592.37
