Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Cauliflower Production,0102800000,Ilocos Norte,1.39,1.04,1.52,1.01,1.61,1.21,1.65,1.11,1.69,
Overall Cauliflower Production,0102900000,Ilocos Sur,4677.72,506.77,4466.13,503.45,4290.05,585.74,4426.84,558.31,4334.47,572.03
Overall Cauliflower Production,0103300000,La Union,,,,,,,,,,
Overall Cauliflower Production,0105500000,Pangasinan,,,,,,,,,,
Overall Cauliflower Production,0200900000,Batanes,2.0,,2.29,,2.82,,3.0,,3.2,
Overall Cauliflower Production,0201500000,Cagayan,,,,,,,,,,
Overall Cauliflower Production,0203100000,Isabela,,,,,,,,,,
Overall Cauliflower Production,0205000000,Nueva Vizcaya,68.61,164.55,71.49,207.06,71.99,202.96,292.76,238.22,417.19,226.22
Overall Cauliflower Production,0205700000,Quirino,3.12,,2.4,,2.64,,2.52,1.1,4.93,1.64
Overall Cauliflower Production,0300800000,Bataan,,,,,,,,,,
Overall Cauliflower Production,0301400000,Bulacan,,,,,,,,,,
Overall Cauliflower Production,0304900000,Nueva Ecija,,,,,,,,,,
Overall Cauliflower Production,0305400000,Pampanga,,,,,,,,,,
Overall Cauliflower Production,0306900000,Tarlac,,,,,,,,,,
Overall Cauliflower Production,0307100000,Zambales,,,,,,,,,,
Overall Cauliflower Production,0307700000,Aurora,,,,,,,,,,
Overall Cauliflower Production,0401000000,Batangas,,,,,,,,,,
Overall Cauliflower Production,0402100000,Cavite,,,,,,,,,0.05,
Overall Cauliflower Production,0403400000,Laguna,,,,,,,,,,
Overall Cauliflower Production,0405600000,Quezon,,,,,,,,,,
Overall Cauliflower Production,0405800000,Rizal,,,,,,,,,,
Overall Cauliflower Production,0500500000,Albay,,,,,,,,,,
Overall Cauliflower Production,0501600000,Camarines Norte,,,,,,,,,,
Overall Cauliflower Production,0501700000,Camarines Sur,,,,,,,,,,
Overall Cauliflower Production,0502000000,Catanduanes,,,,,,,,,,
Overall Cauliflower Production,0504100000,Masbate,,,,,,,,,,
Overall Cauliflower Production,0506200000,Sorsogon,,,,,,,,,,
Overall Cauliflower Production,0600400000,Aklan,,,,,,,,,,
Overall Cauliflower Production,0600600000,Antique,,,,,,,,,,
Overall Cauliflower Production,0601900000,Capiz,,,,,,,,,,
Overall Cauliflower Production,0603000000,Iloilo,49.5,29.83,48.5,31.3,48.2,36.49,45.15,31.71,43.0,76.08
Overall Cauliflower Production,0607900000,Guimaras,,,,,,,,,,
Overall Cauliflower Production,0701200000,Bohol,,,,,,,,0.01,,0.05
Overall Cauliflower Production,0702200000,Cebu,56.85,37.6,46.0,35.4,54.55,35.93,43.02,31.0,41.12,21.32
Overall Cauliflower Production,0802600000,Eastern Samar,,,,,,,,,,
Overall Cauliflower Production,0803700000,Leyte,,,,,,,3.82,,0.8,
Overall Cauliflower Production,0804800000,Northern Samar,,,,,,,,,,
Overall Cauliflower Production,0806000000,Samar (Western Samar),,,,0.51,,,,,,
Overall Cauliflower Production,0806400000,Southern Leyte,,,,,,,,,,
Overall Cauliflower Production,0807800000,Biliran,,,,,,,,,,
Overall Cauliflower Production,0906600000,,,,,,,,,,,
Overall Cauliflower Production,0907200000,Zamboanga del Norte,,,,,,,,,,
Overall Cauliflower Production,0907300000,Zamboanga del Sur,,,,,,,,,,
Overall Cauliflower Production,0907400000,Zamboanga City,2.34,2.12,,,,,,,,
Overall Cauliflower Production,0908300000,Zamboanga Sibugay,,,,,,,,,,
Overall Cauliflower Production,1001300000,Bukidnon,325.98,801.23,304.61,733.09,283.61,694.32,489.96,726.0,519.44,704.75
Overall Cauliflower Production,1001800000,Camiguin,,0.35,,,,,,,,
Overall Cauliflower Production,1003500000,Lanao del Norte,,,,,,,,,,
Overall Cauliflower Production,1004200000,Misamis Occidental,,0.44,,,,,,,,
Overall Cauliflower Production,1004300000,Misamis Oriental,28.48,32.12,30.52,40.78,51.76,42.0,24.75,37.43,49.0,37.1
