Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Chili Pepper Production,0102800000,Ilocos Norte,21.18,4.52,1.03,7.34,22.29,5.01,1.1,7.98,24.43,5.37,2.25,9.18,22.63,5.12,2.41,8.42,23.12,24.98,46.17,17.03,404.28
Overall Chili Pepper Production,0102900000,Ilocos Sur,1.87,3.53,0.99,0.41,1.25,3.72,1.21,0.31,1.56,4.3,1.29,1.64,1.72,4.01,4.35,0.98,1.88,4.59,4.42,1.31,1.8
Overall Chili Pepper Production,0103300000,La Union,3.83,2.91,2.21,3.33,4.16,2.88,2.49,3.08,3.81,2.7,2.49,3.15,4.27,2.93,2.57,3.72,4.18,3.05,1.57,2.84,5.17
Overall Chili Pepper Production,0105500000,Pangasinan,6.6,152.0,3.6,3.8,6.33,150.0,3.53,3.67,5.57,140.0,20.53,4.0,9.1,130.67,21.93,3.7,20.05,135.11,21.23,3.63,33.14
Overall Chili Pepper Production,0200900000,Batanes,0.02,0.06,,0.01,0.01,0.07,,0.02,0.01,0.08,,0.03,,0.12,,,,0.14,0.1,0.03,
Overall Chili Pepper Production,0201500000,Cagayan,,1.28,0.54,0.08,,1.32,0.5,0.05,,1.92,0.75,0.25,3.5,1.85,0.95,0.2,2.8,2.85,10.61,0.13,1.39
Overall Chili Pepper Production,0203100000,Isabela,13.38,20.43,18.77,5.13,11.55,17.65,16.09,4.99,10.26,17.2,16.09,4.6,8.45,12.5,16.79,3.8,7.35,12.35,18.02,4.06,8.22
Overall Chili Pepper Production,0205000000,Nueva Vizcaya,2.6,2.86,0.24,3.39,2.82,2.89,0.28,2.45,2.85,2.84,0.26,2.42,2.84,2.87,1.94,9.52,2.85,3.03,2.49,9.4,15.41
Overall Chili Pepper Production,0205700000,Quirino,0.78,0.51,1.65,0.29,0.85,0.68,2.0,0.24,1.0,0.86,1.83,0.32,0.92,0.77,1.91,0.28,0.96,0.89,1.54,0.3,0.71
Overall Chili Pepper Production,0300800000,Bataan,0.84,1.85,0.78,0.08,1.08,3.79,0.89,0.04,1.62,3.75,0.72,0.02,1.35,3.07,1.09,0.02,2.88,3.32,1.07,0.02,4.08
Overall Chili Pepper Production,0301400000,Bulacan,0.8,15.2,,,0.62,16.31,,,0.97,16.92,,18.29,3.23,15.68,1.36,17.94,3.3,16.33,1.34,18.02,66.57
Overall Chili Pepper Production,0304900000,Nueva Ecija,1.73,10.29,62.29,16.39,1.67,11.86,67.44,10.05,1.68,10.11,80.12,11.14,2.05,10.84,89.84,9.36,2.2,11.66,103.68,12.53,2.42
Overall Chili Pepper Production,0305400000,Pampanga,9.88,12.79,12.85,15.24,7.16,14.12,11.21,13.49,8.82,15.36,11.15,15.17,11.62,16.45,10.57,16.53,11.62,16.71,10.78,16.97,12.23
Overall Chili Pepper Production,0306900000,Tarlac,5.78,10.79,4.29,1.32,7.98,9.52,4.98,2.04,7.81,9.29,4.82,2.1,6.05,9.75,5.12,2.15,7.22,10.36,5.31,2.04,6.5
Overall Chili Pepper Production,0307100000,Zambales,,,,,,,,,,,0.62,0.04,0.4,0.33,0.06,0.79,9.31,,,0.05,
Overall Chili Pepper Production,0307700000,Aurora,8.9,6.03,9.81,7.76,7.22,11.12,8.85,8.87,2.55,12.57,7.92,7.45,3.86,14.32,8.63,6.81,0.43,1.16,0.09,0.31,
