Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Chinese Cabbage Production,0102800000,Ilocos Norte,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0102900000,Ilocos Sur,,,,,,,,,,,,,,,,,0.23,,0.19,1.45,1.49
Overall Chinese Cabbage Production,0103300000,La Union,,,,,,,,,,,0.47,,,,,,,,,,
Overall Chinese Cabbage Production,0105500000,Pangasinan,,,,,,,,,,,,1.33,,,,1.28,,,,1.23,
Overall Chinese Cabbage Production,0200900000,Batanes,,,,,0.1,,,,,,,,,,,,0.69,,,,0.4
Overall Chinese Cabbage Production,0201500000,Cagayan,,,,,,,,,,,,,,,,0.02,0.25,0.84,,0.12,0.2
Overall Chinese Cabbage Production,0203100000,Isabela,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0205000000,Nueva Vizcaya,19.83,62.09,82.02,33.88,20.44,65.56,83.84,32.94,21.18,69.22,85.0,32.25,155.0,67.39,67.27,37.7,209.9,68.31,51.58,44.64,191.94
Overall Chinese Cabbage Production,0205700000,Quirino,0.11,3.15,,1.21,0.12,2.43,,1.14,0.11,2.28,,,,2.19,,1.12,,,,,
Overall Chinese Cabbage Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,,,0.04
Overall Chinese Cabbage Production,0301400000,Bulacan,0.01,,,0.95,0.01,,,0.98,0.01,,,,,,,,,,0.01,0.02,
Overall Chinese Cabbage Production,0304900000,Nueva Ecija,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0305400000,Pampanga,,9.79,,1.99,,12.56,,2.03,,12.6,,2.05,0.68,11.65,,2.03,0.68,12.3,,2.04,0.71
Overall Chinese Cabbage Production,0306900000,Tarlac,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0307100000,Zambales,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0307700000,Aurora,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0401000000,Batangas,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0402100000,Cavite,,,,,,,,,,,,,0.17,,0.32,0.08,0.34,0.04,0.28,2.83,0.22
Overall Chinese Cabbage Production,0403400000,Laguna,23.79,22.0,3.5,43.93,30.13,20.68,3.4,31.44,28.29,18.46,44.14,34.15,27.4,18.25,35.0,32.1,26.33,21.53,19.37,32.56,27.34
Overall Chinese Cabbage Production,0405600000,Quezon,8.79,1.32,34.29,9.62,37.98,1.25,32.83,33.3,40.21,17.35,31.36,33.3,42.05,,35.16,27.94,43.48,,37.62,28.71,41.91
Overall Chinese Cabbage Production,0405800000,Rizal,,,,,,,,,,,0.62,,,,0.6,,,,0.61,,
Overall Chinese Cabbage Production,0500500000,Albay,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0501600000,Camarines Norte,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0501700000,Camarines Sur,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0502000000,Catanduanes,,,,,,,,,,,,,0.01,,,,0.01,,,,
Overall Chinese Cabbage Production,0504100000,Masbate,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0506200000,Sorsogon,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0600400000,Aklan,,,,,,,,,,,,,,,,,,,0.08,0.04,
Overall Chinese Cabbage Production,0600600000,Antique,,,,,,,,,,,,,,,,,,,0.4,,
Overall Chinese Cabbage Production,0601900000,Capiz,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0603000000,Iloilo,,,,,,,,,,,,,,,,,0.05,0.05,,,0.05
Overall Chinese Cabbage Production,0607900000,Guimaras,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0701200000,Bohol,0.44,0.99,1.79,0.57,0.36,0.85,2.29,0.58,0.43,0.77,,0.96,0.4,2.44,,1.38,0.77,9.62,2.42,2.1,0.8
Overall Chinese Cabbage Production,0702200000,Cebu,820.22,398.0,942.49,1040.0,705.0,420.0,910.0,1067.0,653.07,319.52,846.15,1260.0,917.05,447.56,836.51,1156.75,819.34,450.0,830.04,1161.25,796.49
Overall Chinese Cabbage Production,0802600000,Eastern Samar,,,,,,,,,,,,,,,,,,,,,
Overall Chinese Cabbage Production,0803700000,Leyte,,,,12.1,,,,12.0,,,5.46,11.98,258.23,2.9,5.8,12.4,128.0,3.0,5.5,11.5,130.0
