Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Chinese Cabbage Production,0102800000,Ilocos Norte,,,,,,,,,,,
Overall Chinese Cabbage Production,0102900000,Ilocos Sur,,,,,,,,,0.23,1.64,1.49
Overall Chinese Cabbage Production,0103300000,La Union,,,,,,0.47,,,,,
Overall Chinese Cabbage Production,0105500000,Pangasinan,,,,,,1.33,,1.28,,1.23,
Overall Chinese Cabbage Production,0200900000,Batanes,,,0.1,,,,,,0.69,,0.4
Overall Chinese Cabbage Production,0201500000,Cagayan,,,,,,,,0.02,1.09,0.12,0.2
Overall Chinese Cabbage Production,0203100000,Isabela,,,,,,,,,,,
Overall Chinese Cabbage Production,0205000000,Nueva Vizcaya,81.92,115.9,86.0,116.78,90.4,117.25,222.39,104.97,278.21,96.22,191.94
Overall Chinese Cabbage Production,0205700000,Quirino,3.26,1.21,2.55,1.14,2.39,,2.19,1.12,,,
Overall Chinese Cabbage Production,0300800000,Bataan,,,,,,,,,,,0.04
Overall Chinese Cabbage Production,0301400000,Bulacan,0.01,0.95,0.01,0.98,0.01,,,,,0.03,
Overall Chinese Cabbage Production,0304900000,Nueva Ecija,,,,,,,,,,,
Overall Chinese Cabbage Production,0305400000,Pampanga,9.79,1.99,12.56,2.03,12.6,2.05,12.33,2.03,12.98,2.04,0.71
Overall Chinese Cabbage Production,0306900000,Tarlac,,,,,,,,,,,
Overall Chinese Cabbage Production,0307100000,Zambales,,,,,,,,,,,
Overall Chinese Cabbage Production,0307700000,Aurora,,,,,,,,,,,
Overall Chinese Cabbage Production,0401000000,Batangas,,,,,,,,,,,
Overall Chinese Cabbage Production,0402100000,Cavite,,,,,,,0.17,0.4,0.38,3.11,0.22
Overall Chinese Cabbage Production,0403400000,Laguna,45.79,47.43,50.81,34.84,46.75,78.29,45.65,67.1,47.86,51.93,27.34
Overall Chinese Cabbage Production,0405600000,Quezon,10.11,43.91,39.23,66.13,57.56,64.66,42.05,63.1,43.48,66.33,41.91
Overall Chinese Cabbage Production,0405800000,Rizal,,,,,,0.62,,0.6,,0.61,
Overall Chinese Cabbage Production,0500500000,Albay,,,,,,,,,,,
Overall Chinese Cabbage Production,0501600000,Camarines Norte,,,,,,,,,,,
Overall Chinese Cabbage Production,0501700000,Camarines Sur,,,,,,,,,,,
Overall Chinese Cabbage Production,0502000000,Catanduanes,,,,,,,0.01,,0.01,,
Overall Chinese Cabbage Production,0504100000,Masbate,,,,,,,,,,,
Overall Chinese Cabbage Production,0506200000,Sorsogon,,,,,,,,,,,
Overall Chinese Cabbage Production,0600400000,Aklan,,,,,,,,,,0.12,
Overall Chinese Cabbage Production,0600600000,Antique,,,,,,,,,,0.4,
Overall Chinese Cabbage Production,0601900000,Capiz,,,,,,,,,,,
Overall Chinese Cabbage Production,0603000000,Iloilo,,,,,,,,,0.1,,0.05
Overall Chinese Cabbage Production,0607900000,Guimaras,,,,,,,,,,,
Overall Chinese Cabbage Production,0701200000,Bohol,1.43,2.36,1.21,2.87,1.2,0.96,2.84,1.38,10.39,4.52,0.8
Overall Chinese Cabbage Production,0702200000,Cebu,1218.22,1982.49,1125.0,1977.0,972.59,2106.15,1364.61,1993.26,1269.34,1991.29,796.49
Overall Chinese Cabbage Production,0802600000,Eastern Samar,,,,,,,,,,,
Overall Chinese Cabbage Production,0803700000,Leyte,,12.1,,12.0,,17.44,261.13,18.2,131.0,17.0,130.0
Overall Chinese Cabbage Production,0804800000,Northern Samar,,,,,,,,2.06,,,
Overall Chinese Cabbage Production,0806000000,Samar (Western Samar),,,,,,,,,,,
Overall Chinese Cabbage Production,0806400000,Southern Leyte,,,,,,,0.91,0.32,,0.4,
Overall Chinese Cabbage Production,0807800000,Biliran,,,,,,,,,,,
Overall Chinese Cabbage Production,0906600000,,,,,,,,,,,,
Overall Chinese Cabbage Production,0907200000,Zamboanga del Norte,3.18,10.46,3.12,9.27,3.45,6.86,3.23,11.48,3.26,10.56,0.82
Overall Chinese Cabbage Production,0907300000,Zamboanga del Sur,,,,,,35.09,,33.39,,,
Overall Chinese Cabbage Production,0907400000,Zamboanga City,,58.3,,56.73,,,,,,,
Overall Chinese Cabbage Production,0908300000,Zamboanga Sibugay,,,,,,,,,,2.9,
Overall Chinese Cabbage Production,1001300000,Bukidnon,478.27,1817.97,499.0,2030.2,488.18,1906.32,1235.25,1928.36,1235.25,1969.19,705.86
Overall Chinese Cabbage Production,1001800000,Camiguin,,0.06,,,,,,,,,
Overall Chinese Cabbage Production,1003500000,Lanao del Norte,,,,,,,,,,,
Overall Chinese Cabbage Production,1004200000,Misamis Occidental,,28.15,,35.14,,36.4,,37.17,,39.26,
Overall Chinese Cabbage Production,1004300000,Misamis Oriental,59.4,215.44,67.47,220.84,53.16,233.0,9.25,219.22,18.2,219.98,11.09
Overall Chinese Cabbage Production,1102300000,Davao del Norte,,,,,,,,,,,
Overall Chinese Cabbage Production,1102400000,Davao del Sur,119.89,353.11,131.47,349.95,162.81,486.74,163.81,447.22,142.16,314.34,55.81
Overall Chinese Cabbage Production,1102500000,Davao Oriental,,,,,,,,,,,
Overall Chinese Cabbage Production,1108200000,Davao de Oro (Compostela Valley),4.33,10.43,5.15,10.78,5.31,9.3,5.1,8.62,5.27,9.8,2.21
Overall Chinese Cabbage Production,1108600000,Davao Occidental,,,,,,,,,,,
Overall Chinese Cabbage Production,1130700000,Davao City,33.62,17.12,30.09,17.49,,,,,22.35,63.81,17.14
Overall Chinese Cabbage Production,1204700000,Cotabato (North Cotabato),63.09,214.53,62.41,220.63,60.9,41.81,19.59,44.12,24.96,34.77,14.49
Overall Chinese Cabbage Production,1206300000,South Cotabato,28.21,26.03,27.18,32.34,41.15,35.57,20.6,64.82,30.48,43.91,22.59
Overall Chinese Cabbage Production,1206500000,Sultan Kudarat,1.69,3.52,1.83,3.24,2.15,3.28,1.95,3.28,1.92,3.36,0.68
Overall Chinese Cabbage Production,1208000000,Sarangani,0.06,0.36,0.05,0.24,0.04,0.3,0.04,0.27,0.01,0.01,0.01
Overall Chinese Cabbage Production,1400100000,Abra,,,,,,14.6,11.94,3.02,20.55,0.41,14.23
Overall Chinese Cabbage Production,1401100000,Benguet,15195.66,29963.69,14994.85,31994.58,14091.38,33025.0,20051.15,31775.0,19473.21,32362.7,13791.53
Overall Chinese Cabbage Production,1402700000,Ifugao,,,,,,554.75,454.0,217.75,254.14,569.74,267.08
Overall Chinese Cabbage Production,1403200000,Kalinga,,,,,,37.0,10.77,2.58,,2.65,
Overall Chinese Cabbage Production,1404400000,Mountain Province,299.73,2270.36,276.34,2330.7,257.62,2389.22,261.83,2448.17,274.92,2504.13,130.87
Overall Chinese Cabbage Production,1408100000,Apayao,0.84,,0.43,,0.2,,0.35,,,,
Overall Chinese Cabbage Production,1600200000,Agusan del Norte,,,,,,,,,,,
Overall Chinese Cabbage Production,1600300000,Agusan del Sur,,,,,,,,,,0.14,
Overall Chinese Cabbage Production,1606700000,Surigao del Norte,,,,,,,0.24,,,,
Overall Chinese Cabbage Production,1606800000,Surigao del Sur,,0.16,,0.16,,,0.16,,0.06,,
Overall Chinese Cabbage Production,1608500000,Dinagat Islands,,,,,,,,,,,
Overall Chinese Cabbage Production,1630400000,Butuan City,,,,,,,,,,,
Overall Chinese Cabbage Production,1704000000,Marinduque,,,,,,,,,,,
Overall Chinese Cabbage Production,1705100000,Occidental Mindoro,,,,,,,,,,,
Overall Chinese Cabbage Production,1705200000,Oriental Mindoro,,,,,,,,,,,
Overall Chinese Cabbage Production,1705300000,Palawan,,,,,,,,,,,
Overall Chinese Cabbage Production,1705900000,Romblon,,,,,,,,,,,
Overall Chinese Cabbage Production,1731500000,Puerto Princesa City,,,,,,,,,,,
Overall Chinese Cabbage Production,1804500000,Negros Occidental,,,,,,,,,83.0,16.64,85.0
Overall Chinese Cabbage Production,1804600000,Negros Oriental,205.11,33.91,217.76,40.77,362.69,50.36,371.64,40.06,285.33,43.73,245.78
Overall Chinese Cabbage Production,1806100000,Siquijor,,,,,,,,,,,
Overall Chinese Cabbage Production,1830200000,Bacolod City,,,,,,,,,,,
Overall Chinese Cabbage Production,1900700000,Basilan,,,,,,,,,,,
Overall Chinese Cabbage Production,1903600000,Lanao del Sur,,,,,0.3,0.54,6.07,1.81,15.05,5.57,8.7
Overall Chinese Cabbage Production,1907000000,Tawi-Tawi,,,,,,,,,,,
Overall Chinese Cabbage Production,1908700000,Maguindanao del Norte,,,,,,,,,,,
Overall Chinese Cabbage Production,1908800000,Maguindanao del Sur,,,,,,,,2.61,7.94,11.9,8.0
