Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Overall Corn Production,0102800000,Ilocos Norte,8416.0,2389.0,180.0,630.0,8217.0,2684.0,139.0,678.0,8340.0,3013.0,141.0,743.0,8205.0,3248.0,221.0,685.0,8000.0,3465.0,276.0,743.6,8266.25,3546.28
Overall Corn Production,0102900000,Ilocos Sur,9527.0,7603.0,1016.0,757.0,10909.0,7060.0,947.0,1010.0,11646.0,7259.0,626.0,684.0,9327.0,7277.0,747.0,634.0,8848.0,6444.0,741.0,644.0,7899.0,6936.0
Overall Corn Production,0103300000,La Union,4082.0,2231.0,216.0,319.0,4308.0,2253.15,215.97,324.0,4291.25,2258.0,221.32,321.65,4299.62,2248.0,215.0,324.0,4298.5,2183.33,214.21,294.0,4231.46,1894.07
Overall Corn Production,0105500000,Pangasinan,40450.0,16747.0,578.0,620.0,41397.0,16747.0,568.0,666.0,39046.0,19691.0,690.0,622.0,38684.0,19679.0,660.0,722.0,38029.0,19597.0,621.0,790.0,39029.0,19363.0
Overall Corn Production,0200900000,Batanes,32.0,74.77,7.0,21.0,39.86,69.5,12.0,48.76,48.0,67.0,36.4,34.05,58.75,57.3,32.9,14.7,37.0,64.0,42.0,29.0,44.36,61.61
Overall Corn Production,0201500000,Cagayan,37214.0,34321.0,28437.0,37398.0,37686.0,37671.0,43438.0,21206.0,40244.0,33698.0,42255.0,22313.0,43693.0,28498.0,44327.0,20641.0,47272.0,26906.25,38751.0,23994.0,26404.0,49702.0
Overall Corn Production,0203100000,Isabela,69366.0,52447.0,47509.0,75633.11,68678.0,52660.0,58135.0,63800.0,80403.0,43473.0,71710.96,50994.0,98692.01,23489.0,87990.0,35059.24,52525.93,65412.89,77466.0,44894.0,47464.0,60751.0
Overall Corn Production,0205000000,Nueva Vizcaya,5746.0,2916.0,4562.0,3815.57,7235.0,1943.0,6062.0,2296.0,6537.0,2654.0,4538.8,3093.0,7138.0,1412.0,2879.0,5998.0,3891.89,4767.6,4838.0,4243.0,2142.0,5998.28
Overall Corn Production,0205700000,Quirino,11310.0,7712.0,3573.0,10830.0,8831.0,10001.0,4656.0,15720.0,8619.96,10815.0,7838.0,10976.0,11464.0,8595.0,7546.0,12682.0,8383.8,11304.0,5578.0,14724.0,7540.0,8380.87
Overall Corn Production,0300800000,Bataan,598.0,371.0,108.0,168.0,612.0,361.0,97.22,124.0,581.0,221.29,35.9,111.9,482.79,221.29,65.52,60.5,103.4,131.9,32.0,18.0,84.0,149.0
