Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Corn Production,0102800000,Ilocos Norte,10805.0,810.0,10901.0,817.0,11353.0,884.0,11453.0,906.0,11465.0,1019.6,11812.53
Overall Corn Production,0102900000,Ilocos Sur,17130.0,1773.0,17969.0,1957.0,18905.0,1310.0,16604.0,1381.0,15292.0,1385.0,14835.0
Overall Corn Production,0103300000,La Union,6313.0,535.0,6561.15,539.97,6549.25,542.97,6547.62,539.0,6481.83,508.21,6125.54
Overall Corn Production,0105500000,Pangasinan,57197.0,1198.0,58144.0,1234.0,58737.0,1312.0,58363.0,1382.0,57626.0,1411.0,58392.0
Overall Corn Production,0200900000,Batanes,106.77,28.0,109.36,60.76,115.0,70.45,116.05,47.6,101.0,71.0,105.97
Overall Corn Production,0201500000,Cagayan,71535.0,65835.0,75357.0,64644.0,73942.0,64568.0,72191.0,64968.0,74178.25,62745.0,76106.0
Overall Corn Production,0203100000,Isabela,121813.0,123142.11,121338.0,121935.0,123876.0,122704.96,122181.01,123049.24,117938.82,122360.0,108215.0
Overall Corn Production,0205000000,Nueva Vizcaya,8662.0,8377.57,9178.0,8358.0,9191.0,7631.8,8550.0,8877.0,8659.49,9081.0,8140.28
Overall Corn Production,0205700000,Quirino,19022.0,14403.0,18832.0,20376.0,19434.96,18814.0,20059.0,20228.0,19687.8,20302.0,15920.87
Overall Corn Production,0300800000,Bataan,969.0,276.0,973.0,221.22,802.29,147.8,704.08,126.02,235.3,50.0,233.0
Overall Corn Production,0301400000,Bulacan,446.0,58.0,795.0,50.22,450.22,99.17,213.1,142.0,181.0,135.0,402.0
Overall Corn Production,0304900000,Nueva Ecija,10964.0,3878.0,8139.0,4635.0,6957.04,2474.0,4057.31,2550.0,4466.0,2393.0,4577.0
Overall Corn Production,0305400000,Pampanga,11145.0,443.92,11397.0,451.97,11300.27,436.58,10335.52,427.63,9734.27,392.0,10456.68
Overall Corn Production,0306900000,Tarlac,19387.0,766.0,19249.0,739.0,19645.0,761.0,19858.0,745.0,19885.0,707.0,19929.0
Overall Corn Production,0307100000,Zambales,241.0,215.0,453.0,53.96,479.0,14.4,591.0,10.03,523.0,7.0,562.01
Overall Corn Production,0307700000,Aurora,1767.0,1238.0,1999.0,1068.0,1592.0,972.0,1977.9,1006.09,1876.0,900.0,1669.0
Overall Corn Production,0401000000,Batangas,1588.0,4045.95,1445.0,4003.0,1807.0,2966.92,1334.4,2527.91,1860.3,1908.0,1995.0
