Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Overall Corn Production,0102800000,Ilocos Norte,47118.99,14199.0,859.0,3319.0,46121.0,15878.04,671.0,3614.0,46569.65,17589.0,529.61,3737.0,45986.0,19357.0,1066.6,3509.0,45223.0,20988.61,1344.68,4106.0,47109.0,20710.48
Overall Corn Production,0102900000,Ilocos Sur,57459.0,45698.0,4610.0,2969.0,64667.0,40355.0,4427.0,4957.0,70453.0,41695.0,2456.0,3253.0,55973.68,41591.0,3234.0,2803.0,53179.0,37006.0,3210.0,2903.7,47543.0,38790.0
Overall Corn Production,0103300000,La Union,23470.0,11534.0,726.16,1064.0,25136.09,11638.69,733.0,1114.82,25157.41,11983.6,723.54,1141.99,25197.17,11808.5,737.79,1372.63,25214.87,11350.62,747.44,1264.02,24783.2,9646.38
Overall Corn Production,0105500000,Pangasinan,249628.0,102866.0,2724.0,3015.0,258147.0,102368.0,2750.0,3178.0,245033.0,117699.0,3420.0,2966.0,244504.0,117784.0,3384.0,3430.0,241492.0,117166.0,3225.0,3737.0,248502.0,120564.0
Overall Corn Production,0200900000,Batanes,86.8,154.54,8.9,28.23,87.56,175.31,19.49,120.13,120.75,170.4,72.63,80.4,134.8,131.1,70.68,24.1,101.4,145.8,91.24,74.36,120.1,123.4
Overall Corn Production,0201500000,Cagayan,168118.0,150802.0,120365.0,154362.0,184862.19,171785.0,175298.96,77993.89,188703.5,171721.5,177921.0,87585.0,199712.0,125035.0,204196.0,85482.0,206372.0,121422.0,166474.0,99857.0,118289.0,202237.0
Overall Corn Production,0203100000,Isabela,320866.2,238126.72,190373.14,331287.0,321220.74,242648.0,254337.0,276634.0,365701.69,199355.98,315131.89,209250.8,440431.0,97773.0,402741.13,150827.66,239408.2,301831.5,364454.27,196468.58,212120.9,238867.48
Overall Corn Production,0205000000,Nueva Vizcaya,25458.5,12890.0,20713.0,16676.0,33181.15,8950.3,27980.0,9921.8,30425.23,12606.7,19728.5,13220.0,30472.78,5563.0,13632.5,27203.6,18401.91,22084.43,22112.52,18739.13,9256.08,26313.49
Overall Corn Production,0205700000,Quirino,51050.0,34995.67,13081.0,41727.0,40036.0,46288.9,21141.0,67427.0,39637.0,50168.2,34786.0,46622.0,49559.0,35110.0,33945.32,54111.0,37009.0,50499.08,25104.04,62198.61,32995.56,30079.04
Overall Corn Production,0300800000,Bataan,3171.09,2292.84,479.0,694.83,3627.0,2107.0,386.92,527.0,3163.51,1239.47,165.15,457.4,2767.96,1222.53,278.0,241.32,658.75,868.1,185.6,109.35,546.0,881.5
Overall Corn Production,0301400000,Bulacan,1382.5,225.25,126.0,104.0,2811.0,812.0,140.31,74.34,1559.22,437.18,125.5,330.0,307.0,612.0,53.0,544.0,125.0,713.0,179.0,462.0,724.0,1206.6
Overall Corn Production,0304900000,Nueva Ecija,18201.26,36722.5,14676.0,4988.5,17863.2,23032.0,20919.0,5451.75,14944.2,20678.58,8847.4,4777.5,8318.33,12728.5,5910.0,5271.5,8148.73,13861.86,5365.25,4847.34,7776.72,15912.76
Overall Corn Production,0305400000,Pampanga,54231.0,14237.84,1560.96,348.0,46813.37,21162.91,1399.82,507.26,43071.0,25877.72,1015.41,596.0,29627.22,19562.32,1103.0,659.35,38467.02,16333.76,902.99,589.06,40273.16,19872.79
Overall Corn Production,0306900000,Tarlac,69630.0,65322.0,4053.0,400.0,69175.0,65877.0,3601.0,608.0,70043.32,68348.5,3528.0,863.0,70411.0,68083.0,3625.0,808.0,70536.0,68182.0,3513.0,722.0,70382.13,69256.0
Overall Corn Production,0307100000,Zambales,352.6,740.0,1045.0,110.0,750.0,1308.0,21.0,146.18,1026.5,1406.1,35.2,38.0,2156.8,633.25,25.0,26.0,828.0,2018.0,34.15,0.0,2248.4,911.53
Overall Corn Production,0307700000,Aurora,2908.0,5608.54,4242.0,2001.32,4878.4,6376.0,4491.0,1154.5,5523.0,3533.0,2712.62,1027.0,5437.95,5344.0,3959.0,592.18,3330.36,4973.8,2515.22,998.25,2095.36,6460.6
Overall Corn Production,0401000000,Batangas,2879.0,1722.0,7361.15,4380.0,3441.0,726.5,8027.44,3592.78,3354.5,1543.45,4068.7,4947.8,3004.62,807.71,3044.45,3685.53,3930.93,2354.36,2660.37,2791.52,5020.53,2606.27
Overall Corn Production,0402100000,Cavite,122.29,58.61,763.77,212.75,295.92,97.49,462.55,182.1,186.0,126.5,452.6,170.74,177.0,35.42,543.89,184.6,393.6,227.8,541.7,128.11,437.74,294.9
Overall Corn Production,0403400000,Laguna,1770.0,682.0,971.0,697.0,2038.56,1279.0,970.0,763.39,2156.7,483.5,759.55,2153.4,2133.02,289.34,1090.0,1769.9,2248.67,2455.07,986.6,1211.94,1496.35,394.79
Overall Corn Production,0405600000,Quezon,11416.0,7680.0,13266.0,11689.0,12656.0,4663.0,9765.0,10734.0,9356.0,4894.0,8225.0,10792.0,9525.39,4073.83,6628.54,5831.08,9612.45,7867.0,7194.36,5093.72,8334.0,7297.2
Overall Corn Production,0405800000,Rizal,260.0,376.7,481.36,356.6,210.3,289.16,272.25,386.0,431.28,286.39,147.27,431.14,396.79,251.56,218.24,266.94,289.94,303.56,118.96,168.56,478.79,1010.98
Overall Corn Production,0500500000,Albay,7010.0,24234.0,9108.0,11328.0,8448.2,30578.4,7941.0,9102.0,8945.2,27396.0,6579.7,8165.5,7643.8,15477.0,7861.0,7725.0,8026.0,9415.0,6664.34,6334.0,6831.0,5745.69
Overall Corn Production,0501600000,Camarines Norte,661.1,857.89,671.5,139.16,630.0,592.0,684.25,367.05,627.46,605.44,705.02,680.94,620.97,615.77,688.62,288.35,0.0,510.47,670.3,403.34,0.0,480.4
Overall Corn Production,0501700000,Camarines Sur,37503.0,63222.0,56086.0,36447.0,35966.0,56776.0,57568.0,37078.0,34970.0,54894.0,52868.0,36028.0,34470.0,53669.0,52445.0,29285.0,35618.0,53600.0,54885.0,31949.0,36114.0,53642.0
Overall Corn Production,0502000000,Catanduanes,107.65,124.85,147.56,54.12,14.61,82.26,53.96,17.58,2.82,6.72,4.08,6.09,1.87,1.02,2.24,3.17,1.84,8.07,3.52,4.2,2.12,11.55
Overall Corn Production,0504100000,Masbate,13176.0,4774.0,19736.0,6838.0,13055.0,4126.52,17887.0,6973.34,13040.13,3941.0,17992.0,6965.0,12899.0,4801.0,10746.0,10436.0,19272.16,4458.0,7327.0,3295.0,2801.0,4108.0
Overall Corn Production,0506200000,Sorsogon,104.45,113.0,124.0,181.0,112.88,115.86,114.2,135.6,95.84,100.54,105.13,130.08,89.93,93.98,110.11,106.2,62.0,85.34,76.87,72.16,53.72,82.29
Overall Corn Production,0600400000,Aklan,417.0,1119.0,1219.6,652.16,309.28,893.44,1061.71,546.41,236.47,1395.25,1279.58,375.32,380.0,284.0,270.72,190.29,283.48,392.5,250.1,143.86,143.81,235.79
Overall Corn Production,0600600000,Antique,2780.21,4624.15,1459.64,183.84,2437.0,4905.0,1662.0,366.32,3470.81,5045.62,1495.44,398.76,1776.0,3787.29,497.76,274.13,1957.69,4280.64,1994.99,843.62,3459.07,5108.38
Overall Corn Production,0601900000,Capiz,15844.0,6758.0,27999.4,6390.24,28906.85,4635.0,24550.95,9303.47,22120.7,7223.43,27752.55,6439.22,27932.65,11107.34,28466.1,7116.48,25805.24,10178.54,38592.19,6936.18,25556.83,10622.93
Overall Corn Production,0603000000,Iloilo,44619.0,9379.27,58023.6,7907.56,49745.77,6699.06,45217.34,6043.22,50798.22,8014.28,47373.91,8321.19,44184.85,2933.89,38284.76,12105.72,48023.0,5608.19,46597.4,8937.51,51909.75,4018.39
Overall Corn Production,0607900000,Guimaras,131.0,39.0,1594.0,405.0,169.0,46.82,1315.0,451.0,216.0,71.0,739.0,291.0,185.0,56.0,210.0,296.0,217.05,67.0,488.0,261.4,183.0,58.0
Overall Corn Production,0701200000,Bohol,1167.0,490.0,10096.0,907.0,102.0,722.0,5078.0,1949.41,493.0,594.3,8992.0,1383.25,687.0,539.0,7153.0,2961.75,1155.64,912.01,7109.76,1236.7,704.13,490.38
Overall Corn Production,0702200000,Cebu,8219.0,2201.0,26513.0,8547.0,5949.0,2142.0,28993.0,12040.0,6388.0,1892.0,38239.0,10808.0,6677.0,518.0,22815.0,10374.0,7328.0,2281.0,35518.0,13513.0,9673.65,1699.0
Overall Corn Production,0802600000,Eastern Samar,68.0,86.55,52.0,62.0,66.3,80.52,43.96,68.24,52.0,64.0,32.0,65.4,64.0,63.0,26.03,64.0,53.0,60.6,20.95,9.02,38.0,46.2
Overall Corn Production,0803700000,Leyte,5375.29,11525.76,11671.5,11081.49,6340.9,11123.6,9111.06,9135.89,6333.43,10047.78,9329.88,9278.75,6369.15,6456.32,9170.8,9329.73,6539.0,6547.0,9297.0,8879.25,6261.0,6623.0
Overall Corn Production,0804800000,Northern Samar,2189.0,3068.0,4333.0,2957.2,2048.0,3057.0,4371.0,2959.0,2002.0,2912.0,4398.0,2946.0,1877.0,3021.0,4452.0,3014.0,1832.0,3056.0,4493.0,2957.0,1623.0,3058.0
Overall Corn Production,0806000000,Samar (Western Samar),381.45,3147.0,2199.0,2175.0,450.6,3143.0,2243.0,2009.86,490.0,4283.0,3135.0,2060.3,2113.78,5848.82,3390.65,2063.86,2208.11,7251.43,3325.77,1334.55,1454.65,7199.65
Overall Corn Production,0806400000,Southern Leyte,267.0,196.34,364.0,1446.0,156.0,137.49,346.0,1386.0,111.0,120.0,219.0,873.0,119.0,58.0,60.0,566.0,114.0,51.0,61.0,461.0,112.0,61.0
Overall Corn Production,0807800000,Biliran,94.0,156.0,108.0,205.0,102.63,172.0,96.55,212.59,98.5,172.8,85.5,209.0,100.0,177.0,87.83,215.92,97.5,179.0,87.0,202.0,92.54,148.0
Overall Corn Production,0906600000,Sulu,210.0,230.0,549.0,667.0,574.0,473.55,228.0,231.0,380.0,253.0,255.0,209.0,30.0,220.0,220.0,210.0,119.0,200.0,172.0,180.0,130.0,223.0
Overall Corn Production,0907200000,Zamboanga del Norte,7894.11,1778.5,32532.15,19673.36,13130.55,4743.61,20391.94,14042.25,14205.65,2805.62,15603.46,13025.82,10532.1,1584.72,23361.23,18473.3,16632.61,3004.43,22555.07,14563.61,14709.38,3261.22
Overall Corn Production,0907300000,Zamboanga del Sur,26294.83,10519.34,50072.12,21188.78,31520.77,12282.1,40558.26,17993.95,34305.35,12384.27,52777.98,19639.84,36559.8,10346.35,46829.66,21869.76,35063.02,9867.09,49159.15,18605.53,41252.82,13164.76
Overall Corn Production,0907400000,Zamboanga City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506.74,4546.48,5485.43,5695.21,2978.66
Overall Corn Production,0908300000,Zamboanga Sibugay,6609.77,3013.45,11188.19,4807.08,5500.27,3039.37,11275.45,6154.23,6478.04,2935.53,7795.36,5484.42,4905.68,2217.23,8954.25,4589.05,5188.95,1465.22,7965.73,4166.97,5667.84,2110.19
Overall Corn Production,1001300000,Bukidnon,231786.03,40552.42,290599.0,388624.0,231192.06,55061.4,302405.91,395333.0,238550.0,57940.67,333525.65,405491.75,246658.0,53377.96,345271.0,426927.2,254423.0,66168.95,322321.76,426555.67,261783.6,69401.39
Overall Corn Production,1001800000,Camiguin,138.55,176.5,224.8,128.15,78.0,120.1,226.68,121.44,63.44,97.8,153.36,109.6,45.31,30.5,58.88,35.93,30.89,32.15,60.92,99.63,19.95,90.2
Overall Corn Production,1003500000,Lanao del Norte,42649.47,38709.0,147443.0,101537.33,35379.5,39489.5,142151.1,111486.0,40249.85,36284.5,133054.95,120641.35,48352.82,36398.79,122902.64,115008.05,49503.0,40285.73,132434.55,107290.3,40445.23,45371.79
Overall Corn Production,1004200000,Misamis Occidental,10839.5,871.7,22702.0,18112.0,8723.0,813.35,19208.0,15472.0,8436.2,776.5,17829.0,14145.0,6663.5,375.0,14455.0,12334.0,5673.5,422.76,9532.0,8432.0,4085.0,322.5
Overall Corn Production,1004300000,Misamis Oriental,31180.0,6772.0,49428.0,32557.0,23254.0,9750.85,50484.0,36452.0,28116.0,6888.16,52564.2,25971.0,29879.0,2648.62,46711.5,28242.7,16447.2,4419.16,47250.57,36183.62,50134.03,11413.04
Overall Corn Production,1102300000,Davao del Norte,5623.0,8828.98,9040.6,14931.26,10037.22,8647.0,9115.97,15812.56,10479.78,9138.72,9328.34,15829.97,9389.68,11328.63,12240.55,18223.93,11361.68,11429.43,13514.43,17508.99,11248.77,11300.2
Overall Corn Production,1102400000,Davao del Sur,18072.0,16644.38,19496.0,13500.0,22941.67,17491.0,20922.65,10738.84,22968.4,16331.76,22878.93,15806.6,21084.0,10780.55,17662.4,14588.46,26150.39,7611.24,10183.52,9373.26,22078.6,9951.22
Overall Corn Production,1102500000,Davao Oriental,12181.11,10181.35,14799.08,20570.53,10750.01,10016.8,15976.45,21592.0,11175.9,11784.6,15583.51,23903.84,11165.05,11732.28,17001.38,25406.67,11123.04,11316.35,16777.35,24848.84,11527.05,10283.0
Overall Corn Production,1108200000,Davao de Oro (Compostela Valley),12949.0,12912.0,18730.0,17126.0,13757.0,13491.0,17371.0,15391.0,13602.0,14220.0,17722.4,16296.0,11953.95,16226.0,12336.0,18276.46,11075.12,14809.48,12870.0,15081.0,9619.55,14654.7
Overall Corn Production,1108600000,Davao Occidental,9344.23,6251.0,9987.0,15726.52,9265.53,8088.04,9346.94,13636.08,10957.3,8063.25,10313.3,14475.44,12587.41,9365.77,11765.84,15911.04,13801.32,9869.86,13418.0,14651.38,13874.48,10132.35
Overall Corn Production,1130700000,Davao City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4111.79,5856.57,5452.68,5248.53,4722.83
Overall Corn Production,1204700000,Cotabato (North Cotabato),90775.0,23553.0,120733.0,80576.0,77435.0,24432.0,101735.0,71435.0,75895.0,21321.0,90253.0,63913.0,85618.0,15777.0,88272.0,59573.0,95570.0,24566.0,82695.0,59807.0,84782.0,26762.0
Overall Corn Production,1206300000,South Cotabato,96777.0,39429.0,127816.0,112766.0,76043.0,47012.0,126073.34,120973.9,85122.0,47347.7,135113.3,132889.0,73398.0,24589.0,139668.0,136983.0,93698.0,39176.08,128664.0,144428.91,81651.0,39888.0
Overall Corn Production,1206500000,Sultan Kudarat,60604.99,21364.0,66741.0,83535.0,57457.44,19632.0,78797.3,91717.0,62907.0,20799.04,78240.0,87933.0,44070.0,12010.0,76780.0,85746.0,55268.0,15760.0,79271.0,92371.0,55454.0,14850.0
Overall Corn Production,1208000000,Sarangani,33222.0,11995.34,65676.98,69674.54,25783.55,12733.0,61190.98,59760.0,26944.99,12368.98,62084.04,58761.08,14495.0,6000.97,63367.97,76170.08,31911.98,8154.97,64014.98,70640.98,24450.0,4783.84
Overall Corn Production,1400100000,Abra,3063.0,0.0,15408.0,0.0,3147.0,0.0,13610.0,0.0,3276.0,0.0,12299.0,0.0,3105.8,0.0,12898.01,0.0,3705.0,0.0,13000.0,0.0,4068.48,0.0
Overall Corn Production,1401100000,Benguet,220.75,108.15,88.0,69.64,251.0,108.4,79.56,66.14,232.0,106.0,63.2,64.6,157.0,81.25,76.0,63.0,159.0,95.0,70.7,87.0,119.0,88.0
Overall Corn Production,1402700000,Ifugao,14711.0,3982.0,17875.39,37143.0,15946.0,9669.63,14156.12,17935.0,17945.5,2596.32,13241.19,18001.0,15242.5,1592.77,23511.69,14123.0,16578.28,9360.0,14606.45,21427.86,5834.94,5399.56
Overall Corn Production,1403200000,Kalinga,16444.53,20062.0,846.0,29434.14,13439.0,22342.0,7154.0,21154.0,13475.5,23940.69,6201.0,20043.0,11822.0,16773.0,8105.0,18849.0,14656.0,24057.0,7573.0,23135.0,12732.65,19528.09
Overall Corn Production,1404400000,Mountain Province,5565.0,4368.0,7741.75,7381.0,5856.0,4805.0,5909.37,7238.0,5702.76,4791.0,5466.61,7320.72,5672.1,3145.34,5401.93,7196.64,5810.0,4593.34,5523.98,7149.01,5871.39,4404.12
Overall Corn Production,1408100000,Apayao,1978.0,16825.0,5511.76,7240.36,1858.49,14264.65,6332.44,5469.05,1258.42,13488.58,930.78,1327.67,435.63,8184.62,2119.0,3141.74,405.76,7287.0,2304.8,2769.06,485.31,10512.85
