Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Overall Corn Production,0102800000,Ilocos Norte,5.5987,5.9435,4.7722,5.2683,5.6129,5.9158,4.8273,5.3304,5.5839,5.8377,3.7561,5.0296,5.6046,5.9597,4.8262,5.1226,5.6529,6.0573,4.872,5.5218,5.699,5.8401
Overall Corn Production,0102900000,Ilocos Sur,6.0312,6.0105,4.5374,3.9221,5.9279,5.716,4.6748,4.9079,6.0495,5.7439,3.9233,4.7558,6.0013,5.7154,4.3293,4.4211,6.0103,5.7427,4.332,4.5089,6.0189,5.5926
Overall Corn Production,0103300000,La Union,5.7496,5.1699,3.3619,3.3354,5.8347,5.1655,3.394,3.4408,5.8625,5.3072,3.2692,3.5504,5.8603,5.2529,3.4316,4.2365,5.866,5.1988,3.4893,4.2994,5.8569,5.0929
Overall Corn Production,0105500000,Pangasinan,6.1713,6.1424,4.7128,4.8629,6.2359,6.1126,4.8415,4.7718,6.2755,5.9773,4.9565,4.7685,6.3205,5.9853,5.1273,4.7507,6.3502,5.9788,5.1932,4.7304,6.3671,6.2265
Overall Corn Production,0200900000,Batanes,2.7125,2.0669,1.2714,1.3443,2.1967,2.5224,1.6242,2.4637,2.5156,2.5433,1.9953,2.3612,2.2945,2.288,2.1483,1.6395,2.7405,2.2781,2.1724,2.5641,2.7074,2.0029
Overall Corn Production,0201500000,Cagayan,4.5176,4.3939,4.2327,4.1275,4.9053,4.5601,4.0356,3.6779,4.689,5.0959,4.2106,3.9253,4.5708,4.3875,4.6066,4.1414,4.3656,4.5128,4.296,4.1617,4.48,4.069
Overall Corn Production,0203100000,Isabela,4.6257,4.5403,4.0071,4.3802,4.6772,4.6078,4.3749,4.336,4.5484,4.5857,4.3945,4.1034,4.4627,4.1625,4.5771,4.3021,4.5579,4.6143,4.7047,4.3763,4.4691,3.9319
Overall Corn Production,0205000000,Nueva Vizcaya,4.4306,4.4204,4.5403,4.3705,4.5862,4.6064,4.6156,4.3213,4.6543,4.7501,4.3466,4.2742,4.2691,3.9398,4.7352,4.5354,4.7283,4.6322,4.5706,4.4165,4.3212,4.3868
Overall Corn Production,0205700000,Quirino,4.5137,4.5378,3.6611,3.8529,4.5336,4.6284,4.5406,4.2892,4.5983,4.6388,4.4381,4.2476,4.323,4.0849,4.4985,4.2668,4.4143,4.4674,4.5005,4.2243,4.3761,3.589
Overall Corn Production,0300800000,Bataan,5.3028,6.1802,4.4352,4.1359,5.9265,5.8366,3.9798,4.25,5.4449,5.6011,4.6003,4.0876,5.7333,5.5246,4.243,3.9888,6.3709,6.5815,5.8,6.075,6.5,5.9161
Overall Corn Production,0301400000,Bulacan,3.5,4.4167,4.2,3.7143,4.5559,4.5618,4.5261,3.8678,4.4778,4.2857,4.2586,4.7346,4.4844,4.2312,4.0769,4.2171,5.0,4.5705,4.2619,4.9677,4.7013,4.8653
Overall Corn Production,0304900000,Nueva Ecija,4.3203,5.4396,5.8054,3.6952,4.6959,5.313,6.2259,4.2759,4.3493,5.8729,5.7302,5.1371,4.4452,5.8227,4.3778,4.3929,4.2708,5.419,4.0987,4.4717,4.3714,5.6872
Overall Corn Production,0305400000,Pampanga,6.25,5.769,4.1746,4.9714,5.848,6.2391,3.9734,5.0899,6.0374,6.2112,3.4008,4.3188,4.2318,5.8667,3.86,4.6472,5.6561,5.5684,3.5,4.396,5.7709,5.7139
Overall Corn Production,0306900000,Tarlac,6.9784,6.9425,5.9956,4.4444,6.981,7.0532,5.8363,4.9836,7.0219,7.0681,5.6812,6.1643,6.9901,6.9579,5.9426,5.9852,6.9976,6.9538,6.0569,5.685,7.0102,7.0033
Overall Corn Production,0307100000,Zambales,4.4075,4.5963,5.6486,3.6667,3.7879,5.1294,4.0385,2.9979,5.4026,4.8654,4.4,5.9375,4.9018,4.1937,4.9702,5.2,5.0182,5.6369,4.8786,,5.593,5.6967
