Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Corn Production,0102800000,Ilocos Norte,5.675,5.158,5.6875,5.2448,5.6513,4.8265,5.7053,5.0503,5.7751,5.3459,5.7413
Overall Corn Production,0102900000,Ilocos Sur,6.022,4.2747,5.8446,4.7951,5.9322,4.358,5.876,4.3715,5.8975,4.4142,5.8195
Overall Corn Production,0103300000,La Union,5.5447,3.3461,5.6049,3.4221,5.671,3.4358,5.6518,3.9154,5.6412,3.9579,5.6207
Overall Corn Production,0105500000,Pangasinan,6.1628,4.7905,6.2004,4.8039,6.1755,4.8674,6.2075,4.9305,6.2239,4.9341,6.3205
Overall Corn Production,0200900000,Batanes,2.2604,1.3261,2.4037,2.2979,2.5317,2.1722,2.2913,1.9912,2.4475,2.3324,2.2978
Overall Corn Production,0201500000,Cagayan,4.4582,4.173,4.7328,3.9183,4.8744,4.112,4.4984,4.4588,4.419,4.2447,4.2116
Overall Corn Production,0203100000,Isabela,4.5889,4.2362,4.6471,4.3545,4.5615,4.2735,4.405,4.4988,4.5892,4.5842,4.1675
Overall Corn Production,0205000000,Nueva Vizcaya,4.4272,4.463,4.5905,4.5348,4.682,4.3173,4.2147,4.6002,4.6754,4.4986,4.3696
Overall Corn Production,0205700000,Quirino,4.5235,3.8053,4.5839,4.3467,4.6208,4.327,4.221,4.3532,4.4448,4.3002,3.9618
Overall Corn Production,0300800000,Bataan,5.6387,4.253,5.8931,4.1313,5.488,4.2121,5.6677,4.1209,6.489,5.899,6.1266
Overall Corn Production,0301400000,Bulacan,3.6048,3.9655,4.5572,4.2742,4.4343,4.5931,4.3125,4.2042,4.6298,4.7481,4.8025
Overall Corn Production,0304900000,Nueva Ecija,5.0095,5.0708,5.0246,5.6895,5.1204,5.5072,5.1874,4.3849,4.9285,4.2677,5.1758
Overall Corn Production,0305400000,Pampanga,6.1435,4.3002,5.9644,4.2195,6.1015,3.691,4.7593,4.1212,5.6297,3.8063,5.7519
Overall Corn Production,0306900000,Tarlac,6.961,5.8133,7.0161,5.6955,7.0446,5.77,6.9742,5.9503,6.976,5.9901,7.0068
Overall Corn Production,0307100000,Zambales,4.5336,5.3721,4.543,3.0982,5.0785,5.0833,4.7209,5.0847,5.4417,4.8786,5.6226
Overall Corn Production,0307700000,Aurora,4.8198,5.0431,5.63,5.286,5.6884,3.8473,5.4512,4.5236,4.4265,3.9039,5.1264
Overall Corn Production,0401000000,Batangas,2.8974,2.902,2.8841,2.9029,2.7105,3.039,2.857,2.6623,3.3786,2.8574,3.823
