Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Cucumber Production,0102800000,Ilocos Norte,40.84,62.27,13.8,53.05,43.82,67.14,14.53,57.56,44.47,70.89,13.6,55.52,45.04,71.76,13.88,55.61,45.77,78.51,12.89,56.23,44.98
Overall Cucumber Production,0102900000,Ilocos Sur,22.13,5.68,76.6,58.28,23.51,6.55,112.31,41.22,22.82,7.3,75.68,64.75,22.6,6.93,78.16,68.21,20.98,6.62,97.62,67.43,20.87
Overall Cucumber Production,0103300000,La Union,12.1,2.94,4.45,12.94,12.47,2.91,4.81,13.64,12.87,2.71,4.7,13.97,13.97,2.49,4.4,14.37,19.97,2.78,4.07,15.05,13.72
Overall Cucumber Production,0105500000,Pangasinan,8.53,0.1,6.57,13.0,7.69,,6.81,12.71,7.24,,4.5,13.56,7.0,2.21,4.72,12.75,7.5,2.27,5.34,11.69,7.25
Overall Cucumber Production,0200900000,Batanes,0.14,0.12,0.65,0.03,0.5,0.1,0.15,0.04,0.42,0.2,0.2,0.5,0.55,0.08,0.25,,0.2,0.5,0.2,0.35,0.36
Overall Cucumber Production,0201500000,Cagayan,7.95,3.22,,,9.54,3.47,,,10.3,3.39,,5.0,11.0,1.87,0.41,1.12,8.44,4.55,1.34,3.92,9.91
Overall Cucumber Production,0203100000,Isabela,4.54,4.53,5.34,1.0,3.29,4.62,5.58,0.85,2.45,4.2,5.5,0.38,2.6,4.41,5.65,0.37,2.53,4.31,6.42,0.45,2.3
Overall Cucumber Production,0205000000,Nueva Vizcaya,223.96,394.83,73.89,107.18,224.71,408.94,74.76,102.16,200.14,448.06,76.5,125.4,602.57,428.5,1712.11,379.01,608.0,438.28,1432.96,343.06,834.82
Overall Cucumber Production,0205700000,Quirino,1.8,8.18,4.71,0.37,1.75,9.1,4.93,0.45,1.77,10.24,5.6,0.53,2.76,10.51,5.27,0.49,2.82,10.78,5.97,0.67,3.3
Overall Cucumber Production,0300800000,Bataan,4.36,1.13,,0.8,4.13,1.33,,0.68,4.58,1.3,,,4.36,1.56,14.6,0.83,5.6,1.6,38.89,0.52,6.48
Overall Cucumber Production,0301400000,Bulacan,77.42,114.82,54.01,249.98,87.54,108.15,54.24,219.0,91.42,109.38,110.79,229.29,76.04,73.25,107.14,217.78,85.0,96.93,102.71,232.65,87.99
Overall Cucumber Production,0304900000,Nueva Ecija,156.05,1020.24,111.77,52.68,166.66,1091.98,81.36,54.7,181.73,1084.47,86.33,58.64,203.65,1141.26,93.85,62.27,178.15,2347.63,104.8,56.67,203.14
