Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Cucumber Production,0102800000,Ilocos Norte,103.11,66.85,110.96,72.09,115.36,69.12,116.8,69.49,124.28,69.12,44.98
Overall Cucumber Production,0102900000,Ilocos Sur,27.81,134.88,30.06,153.53,30.12,140.43,29.53,146.37,27.6,165.05,20.87
Overall Cucumber Production,0103300000,La Union,15.04,17.39,15.38,18.45,15.58,18.67,16.46,18.77,22.75,19.12,13.72
Overall Cucumber Production,0105500000,Pangasinan,8.63,19.57,7.69,19.52,7.24,18.06,9.21,17.47,9.77,17.03,7.25
Overall Cucumber Production,0200900000,Batanes,0.26,0.68,0.6,0.19,0.62,0.7,0.63,0.25,0.7,0.55,0.36
Overall Cucumber Production,0201500000,Cagayan,11.17,,13.01,,13.69,5.0,12.87,1.53,12.99,5.26,9.91
Overall Cucumber Production,0203100000,Isabela,9.07,6.34,7.91,6.43,6.65,5.88,7.01,6.02,6.84,6.87,2.3
Overall Cucumber Production,0205000000,Nueva Vizcaya,618.79,181.07,633.65,176.92,648.2,201.9,1031.07,2091.12,1046.28,1776.02,834.82
Overall Cucumber Production,0205700000,Quirino,9.98,5.08,10.85,5.38,12.01,6.13,13.27,5.76,13.6,6.64,3.3
Overall Cucumber Production,0300800000,Bataan,5.49,0.8,5.46,0.68,5.88,,5.92,15.43,7.2,39.41,6.48
Overall Cucumber Production,0301400000,Bulacan,192.24,303.99,195.69,273.24,200.8,340.08,149.29,324.92,181.93,335.36,87.99
Overall Cucumber Production,0304900000,Nueva Ecija,1176.29,164.45,1258.64,136.06,1266.2,144.97,1344.91,156.12,2525.78,161.47,203.14
Overall Cucumber Production,0305400000,Pampanga,48.0,6.01,45.8,6.1,48.67,6.43,49.22,6.48,50.57,6.64,22.47
Overall Cucumber Production,0306900000,Tarlac,3.65,5.4,3.91,3.98,3.15,4.42,3.6,4.95,3.87,4.58,1.81
Overall Cucumber Production,0307100000,Zambales,1.92,25.51,1.85,24.56,1.94,11.7,1.43,10.42,17.54,9.93,3.17
Overall Cucumber Production,0307700000,Aurora,0.41,,0.34,0.08,0.27,1.39,33.06,7.27,3.09,11.64,0.38
Overall Cucumber Production,0401000000,Batangas,2.17,435.15,2.71,312.48,2.43,289.5,16.9,486.08,70.5,610.13,15.66
Overall Cucumber Production,0402100000,Cavite,14.59,427.79,28.85,317.35,34.23,158.92,41.59,407.87,76.74,402.37,48.35
Overall Cucumber Production,0403400000,Laguna,122.45,124.4,116.29,136.12,101.89,116.58,87.19,192.72,90.57,148.47,67.59
Overall Cucumber Production,0405600000,Quezon,324.1,69.41,337.34,64.54,317.73,65.0,314.1,224.99,332.83,266.25,255.73
Overall Cucumber Production,0405800000,Rizal,29.51,3.48,35.15,7.98,38.92,8.31,32.03,10.0,33.27,8.0,10.83
Overall Cucumber Production,0500500000,Albay,87.37,71.31,78.58,61.08,66.35,56.17,77.36,57.15,85.21,34.74,21.33
Overall Cucumber Production,0501600000,Camarines Norte,4.74,1.61,3.71,1.33,4.85,0.71,2.64,0.32,3.01,0.38,
Overall Cucumber Production,0501700000,Camarines Sur,30.84,63.33,32.38,68.3,31.77,58.27,132.15,71.16,94.04,58.04,62.15
Overall Cucumber Production,0502000000,Catanduanes,16.56,5.54,18.78,5.5,17.66,5.61,17.5,4.51,18.38,5.65,10.38
Overall Cucumber Production,0504100000,Masbate,7.64,4.34,7.7,4.33,7.96,0.32,10.25,4.69,14.01,4.39,13.19
Overall Cucumber Production,0506200000,Sorsogon,4.45,2.61,4.16,2.38,3.97,3.07,6.46,7.44,6.69,4.8,1.79
Overall Cucumber Production,0600400000,Aklan,85.18,89.41,95.36,99.23,83.05,84.94,77.86,91.19,80.89,88.03,53.52
Overall Cucumber Production,0600600000,Antique,4.03,9.38,4.63,9.51,6.07,9.71,6.57,11.24,11.58,8.35,94.25
Overall Cucumber Production,0601900000,Capiz,54.45,70.2,52.8,69.0,49.5,61.16,47.52,56.25,48.18,66.55,57.57
Overall Cucumber Production,0603000000,Iloilo,57.5,61.44,57.0,71.0,51.0,63.1,44.0,54.43,137.16,771.06,302.0
Overall Cucumber Production,0607900000,Guimaras,33.73,41.02,34.68,46.19,39.97,46.14,37.16,66.2,52.15,99.27,31.5
Overall Cucumber Production,0701200000,Bohol,27.37,38.39,36.78,40.84,45.22,99.1,38.5,86.42,50.04,73.0,24.3
Overall Cucumber Production,0702200000,Cebu,151.0,178.34,136.0,185.0,145.2,189.82,148.93,204.89,165.0,199.53,107.99
Overall Cucumber Production,0802600000,Eastern Samar,1.92,3.3,2.1,4.44,4.1,61.08,16.88,38.49,19.03,81.75,45.75
Overall Cucumber Production,0803700000,Leyte,35.22,45.61,30.13,40.12,27.63,39.5,26.62,42.0,28.03,43.35,7.35
Overall Cucumber Production,0804800000,Northern Samar,8.96,,9.47,,10.12,0.25,11.63,7.39,11.85,7.8,
Overall Cucumber Production,0806000000,Samar (Western Samar),1.07,14.48,8.69,14.09,8.61,11.16,17.58,23.62,17.73,24.43,8.32
Overall Cucumber Production,0806400000,Southern Leyte,29.72,90.55,20.5,85.1,22.85,89.35,24.81,81.51,24.58,67.53,9.93
Overall Cucumber Production,0807800000,Biliran,9.9,5.69,10.91,5.88,11.65,6.38,11.21,4.92,11.85,4.02,5.13
Overall Cucumber Production,0906600000,,17.9,24.0,18.0,23.9,19.1,24.6,20.09,24.0,20.6,25.64,13.8
Overall Cucumber Production,0907200000,Zamboanga del Norte,21.38,54.59,20.15,54.07,20.04,70.62,22.12,66.9,32.19,68.76,8.62
Overall Cucumber Production,0907300000,Zamboanga del Sur,35.97,117.0,36.76,115.03,276.13,394.53,205.38,433.66,87.06,93.11,21.3
Overall Cucumber Production,0907400000,Zamboanga City,245.75,289.43,248.95,288.04,,,,,134.2,284.5,144.06
Overall Cucumber Production,0908300000,Zamboanga Sibugay,17.95,16.16,17.83,17.68,18.77,17.14,19.13,17.92,19.28,17.9,7.07
Overall Cucumber Production,1001300000,Bukidnon,12.36,25.68,12.25,25.5,11.9,26.24,10.65,29.0,11.54,31.38,9.08
Overall Cucumber Production,1001800000,Camiguin,22.55,31.15,18.67,35.62,21.56,22.37,18.68,24.8,29.49,31.91,11.94
Overall Cucumber Production,1003500000,Lanao del Norte,113.7,415.68,119.0,422.0,120.0,427.1,116.0,429.5,117.5,434.0,93.94
Overall Cucumber Production,1004200000,Misamis Occidental,16.0,36.2,16.67,39.6,17.77,44.6,15.87,44.83,21.13,46.17,19.04
Overall Cucumber Production,1004300000,Misamis Oriental,157.94,127.0,182.18,140.3,174.72,160.0,199.86,184.19,196.68,186.97,54.99
Overall Cucumber Production,1102300000,Davao del Norte,42.9,50.51,42.67,48.87,42.41,50.04,42.05,50.8,42.86,77.49,6.98
Overall Cucumber Production,1102400000,Davao del Sur,29.06,33.16,29.77,31.89,124.75,185.12,119.13,198.91,122.01,38.04,16.94
Overall Cucumber Production,1102500000,Davao Oriental,53.44,50.41,56.38,49.1,57.66,49.73,52.72,51.07,52.81,49.5,12.41
Overall Cucumber Production,1108200000,Davao de Oro (Compostela Valley),78.11,199.72,68.04,195.92,80.83,328.29,86.0,320.5,89.4,324.21,29.61
Overall Cucumber Production,1108600000,Davao Occidental,3.38,4.57,3.67,4.45,4.04,5.28,3.76,4.84,4.83,4.78,1.72
Overall Cucumber Production,1130700000,Davao City,97.25,140.72,97.56,151.59,,,,,,42.18,30.14
Overall Cucumber Production,1204700000,Cotabato (North Cotabato),61.08,131.67,69.99,135.45,78.2,155.44,132.53,160.43,155.17,160.82,96.0
Overall Cucumber Production,1206300000,South Cotabato,87.4,149.49,91.58,123.08,96.65,217.56,100.6,81.96,69.36,127.56,40.04
Overall Cucumber Production,1206500000,Sultan Kudarat,7.01,29.72,7.14,29.87,9.84,49.6,9.63,35.49,10.64,68.44,6.55
Overall Cucumber Production,1208000000,Sarangani,5.28,42.3,5.35,43.65,5.41,47.05,15.45,55.0,20.0,54.7,5.1
Overall Cucumber Production,1400100000,Abra,48.04,,48.54,,46.76,1.06,7.36,0.7,21.09,7.65,11.45
Overall Cucumber Production,1401100000,Benguet,2324.62,517.37,2366.88,595.38,2515.37,710.0,2066.0,1588.28,2175.0,1704.06,1915.61
Overall Cucumber Production,1402700000,Ifugao,7.25,12.6,7.17,13.51,7.29,69.21,43.0,215.22,94.19,158.84,45.96
Overall Cucumber Production,1403200000,Kalinga,,0.8,,0.89,,0.64,0.15,0.6,,,0.2
Overall Cucumber Production,1404400000,Mountain Province,52.06,71.21,45.95,46.62,46.69,48.25,42.02,40.68,44.61,36.4,9.7
Overall Cucumber Production,1408100000,Apayao,39.82,8.45,51.91,8.02,48.65,6.0,49.01,6.5,39.81,6.22,31.76
Overall Cucumber Production,1600200000,Agusan del Norte,90.5,92.12,87.63,97.2,99.6,93.84,91.69,93.98,91.5,102.25,13.24
Overall Cucumber Production,1600300000,Agusan del Sur,269.88,332.89,241.03,339.99,188.68,348.07,161.7,346.96,176.56,359.2,23.02
Overall Cucumber Production,1606700000,Surigao del Norte,9.6,22.54,6.22,21.98,5.6,16.17,7.17,10.28,9.03,58.72,14.02
Overall Cucumber Production,1606800000,Surigao del Sur,71.06,111.38,114.3,119.38,176.64,139.88,102.28,1.14,16.6,6.68,1.81
Overall Cucumber Production,1608500000,Dinagat Islands,13.18,4.13,12.12,5.4,10.79,1.27,16.5,1.15,4.74,11.44,6.72
Overall Cucumber Production,1630400000,Butuan City,,,,,,,,,,,6.82
Overall Cucumber Production,1704000000,Marinduque,23.06,15.89,25.72,15.98,18.87,21.71,19.61,13.06,22.99,16.0,11.81
Overall Cucumber Production,1705100000,Occidental Mindoro,37.3,34.65,36.82,46.11,45.0,45.96,45.55,42.38,54.49,40.86,28.83
Overall Cucumber Production,1705200000,Oriental Mindoro,3.25,5.68,2.45,4.7,1.83,5.27,2.43,6.32,47.68,7.72,46.83
Overall Cucumber Production,1705300000,Palawan,30.11,28.64,24.25,24.49,28.79,20.4,27.89,20.01,26.02,13.51,22.25
Overall Cucumber Production,1705900000,Romblon,4.32,13.12,4.68,14.23,2.47,22.04,17.96,28.91,18.01,30.07,20.09
Overall Cucumber Production,1731500000,Puerto Princesa City,,,,,,,,,,,8.76
Overall Cucumber Production,1804500000,Negros Occidental,49.33,66.49,41.29,70.02,47.72,73.1,46.11,84.56,103.9,105.48,82.0
Overall Cucumber Production,1804600000,Negros Oriental,112.83,87.59,108.11,83.71,136.26,47.0,204.15,109.34,153.18,118.99,122.84
Overall Cucumber Production,1806100000,Siquijor,4.38,4.82,1.29,4.0,3.67,5.52,2.18,5.38,1.84,6.53,1.5
Overall Cucumber Production,1830200000,Bacolod City,,,,,,,,,,,
Overall Cucumber Production,1900700000,Basilan,0.96,2.6,1.03,2.7,0.98,7.0,2.02,7.66,16.76,14.21,54.12
Overall Cucumber Production,1903600000,Lanao del Sur,0.46,,0.49,,0.52,28.79,24.77,50.66,26.18,51.71,27.82
Overall Cucumber Production,1907000000,Tawi-Tawi,5.18,21.18,5.31,22.73,5.21,24.65,6.8,29.7,22.33,59.91,31.05
Overall Cucumber Production,1908700000,Maguindanao del Norte,,,,,,,,,66.0,367.64,132.6
Overall Cucumber Production,1908800000,Maguindanao del Sur,49.75,55.35,50.4,55.4,50.1,55.7,48.98,151.92,112.7,75.06,459.39
