Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Dragon Fruit Production,0102800000,Ilocos Norte,0.31,46.11,209.6,33.39,0.3,50.96,213.92,25.98,0.26,52.72,148.5,21.67,0.12,43.5,110.67,20.97,0.09,33.32,65.1,20.49,0.15
Overall Dragon Fruit Production,0102900000,Ilocos Sur,,49.66,135.59,53.39,,51.67,149.54,64.24,,64.73,128.07,42.92,,51.93,137.73,50.87,,46.19,141.57,50.68,0.39
Overall Dragon Fruit Production,0103300000,La Union,,2.34,5.64,1.67,,2.07,5.02,1.87,,1.57,5.96,2.57,0.15,1.86,6.03,2.76,0.15,2.04,6.62,2.0,0.15
Overall Dragon Fruit Production,0105500000,Pangasinan,,29.0,1.96,,,27.6,1.96,,,29.06,9.01,4.29,,30.6,9.28,4.18,,32.1,9.19,4.08,
Overall Dragon Fruit Production,0200900000,Batanes,,,,,,,,,,,,0.08,,,0.26,,,,0.27,,
Overall Dragon Fruit Production,0201500000,Cagayan,,3.74,264.18,33.24,,2.75,272.37,30.25,,2.25,237.5,28.92,,2.73,212.4,24.56,1.3,1.0,211.53,23.14,2.13
Overall Dragon Fruit Production,0203100000,Isabela,,,78.59,21.34,,,81.31,20.59,,,76.0,16.23,0.34,1.38,71.39,16.0,0.32,1.34,68.22,17.33,0.3
Overall Dragon Fruit Production,0205000000,Nueva Vizcaya,,12.98,32.39,7.7,,13.95,33.41,8.0,,14.1,32.9,7.41,,14.03,34.49,7.0,,14.07,61.33,7.47,0.04
Overall Dragon Fruit Production,0205700000,Quirino,,,1.23,0.05,,,1.3,0.04,,,1.2,,,0.52,1.41,1.3,,0.53,1.44,1.24,
Overall Dragon Fruit Production,0300800000,Bataan,,0.64,7.56,7.5,,0.68,5.97,9.64,,0.7,7.41,7.8,,0.67,5.93,8.19,0.07,0.68,7.13,5.12,3.0
Overall Dragon Fruit Production,0301400000,Bulacan,2.32,68.4,6.25,5.24,2.5,98.9,5.94,5.92,2.49,99.0,5.81,6.1,2.38,95.4,8.06,5.95,2.46,97.76,6.97,6.0,2.44
Overall Dragon Fruit Production,0304900000,Nueva Ecija,,8.03,50.15,,,7.23,60.99,,,7.07,66.68,0.2,,6.62,44.34,0.13,,6.66,38.79,0.91,
Overall Dragon Fruit Production,0305400000,Pampanga,,,21.63,,,,24.36,,,,23.24,21.96,,,23.36,22.92,,,23.65,22.44,9.14
Overall Dragon Fruit Production,0306900000,Tarlac,,,5.89,9.25,,,7.36,7.37,,,6.14,12.2,,0.03,7.25,11.15,,,7.96,10.44,
Overall Dragon Fruit Production,0307100000,Zambales,,,,,,,,,,,,0.35,,0.47,0.02,1.06,0.03,,0.04,,
Overall Dragon Fruit Production,0307700000,Aurora,,1.95,44.75,,,2.19,45.93,0.2,,2.2,26.24,6.55,,3.16,39.0,4.23,,24.13,40.09,7.69,
Overall Dragon Fruit Production,0401000000,Batangas,,0.96,6.32,3.37,,0.7,5.22,5.0,,0.48,10.0,8.0,0.4,2.47,15.0,6.42,0.35,3.62,10.07,8.75,0.38
Overall Dragon Fruit Production,0402100000,Cavite,,9.51,32.1,,,9.09,31.04,,,8.9,40.02,3.15,3.19,10.8,67.63,3.05,5.25,13.46,80.04,4.44,6.35
Overall Dragon Fruit Production,0403400000,Laguna,,,10.06,2.13,,,11.74,2.1,,,10.25,1.8,,1.14,34.87,4.75,,1.54,18.95,4.23,0.14
