Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Durian Production,0102900000,Ilocos Sur,,,1.67,,,,1.8,,,,,0.4,,,,,,,,,
Overall Durian Production,0205000000,Nueva Vizcaya,0.5,,36.16,7.03,0.56,,37.49,7.38,0.57,,43.65,6.22,0.6,,44.57,5.07,0.55,,41.9,3.81,0.57
Overall Durian Production,0205700000,Quirino,,,,,,,,,,,0.2,,,,0.2,,,,0.2,0.2,
Overall Durian Production,0300800000,Bataan,,,,,,,,,,,,,,,,,,,0.05,,
Overall Durian Production,0307700000,Aurora,,,1.4,0.11,,,1.62,0.2,,,0.8,0.18,0.49,,,0.31,,,,0.39,
Overall Durian Production,0401000000,Batangas,,,0.11,,,,0.08,0.75,,,3.71,,,,2.55,0.13,,,3.58,,
Overall Durian Production,0402100000,Cavite,,,,,,,,,,,,,,0.02,0.05,0.05,,,0.06,0.1,
Overall Durian Production,0403400000,Laguna,,0.03,61.32,0.13,,1.6,69.43,,,1.39,68.33,,,1.6,142.78,31.83,0.24,1.62,93.51,30.25,0.35
Overall Durian Production,0405600000,Quezon,,,,,,,,,,,,0.09,3.98,,,0.07,4.09,,,0.53,8.29
Overall Durian Production,0405800000,Rizal,,,,,,,,,,,,,,,,,,,14.05,,6.21
Overall Durian Production,0501700000,Camarines Sur,,,,,,,,,,,,,,0.04,,,,0.04,,,
Overall Durian Production,0600400000,Aklan,,,0.15,,,,0.12,,,,0.15,0.16,,,0.14,1.46,,,0.02,0.57,0.0
Overall Durian Production,0600600000,Antique,,,,,,,,,,,,,,,,,,,0.45,,
Overall Durian Production,0601900000,Capiz,,,,,,,,,,,,,,,0.02,0.1,,0.07,0.05,0.11,0.03
Overall Durian Production,0603000000,Iloilo,,,0.95,1.83,,,0.9,1.75,,,0.9,1.79,,,0.02,0.04,,,0.02,1.47,
Overall Durian Production,0607900000,Guimaras,,,0.05,,,,0.05,,,,0.04,0.01,,,0.03,,,,0.02,,
Overall Durian Production,0701200000,Bohol,,,2.96,,,,2.01,,,,0.62,12.7,1.1,,3.27,1.25,1.11,0.26,0.32,1.24,1.18
Overall Durian Production,0702200000,Cebu,,,0.4,,,,0.3,,,,0.4,,,,0.3,,,,0.3,,
Overall Durian Production,0803700000,Leyte,0.44,,0.85,0.78,0.43,,0.84,0.77,0.42,,0.88,0.79,0.41,0.79,0.9,0.81,0.4,,0.92,0.85,0.43
Overall Durian Production,0806000000,Samar (Western Samar),,,,0.07,,,,,,,,,,,,,,,,,
Overall Durian Production,0806400000,Southern Leyte,,,2.75,2.45,,,1.35,2.03,,,1.35,2.4,0.3,0.33,1.38,2.73,0.16,0.22,4.49,1.13,1.24
Overall Durian Production,0807800000,Biliran,,,,,,0.5,,,,,0.05,,,,0.03,,,,0.03,,
Overall Durian Production,0906600000,,,,5850.0,99.0,,,5840.0,89.0,,,6100.0,,,,6500.0,,,,,,4783.77
Overall Durian Production,0907200000,Zamboanga del Norte,,,521.77,1.08,2.95,,147.38,1.15,0.95,,1615.03,10.92,18.67,,1769.1,15.34,7.52,,12.5,1.93,13.1
Overall Durian Production,0907300000,Zamboanga del Sur,1.8,53.76,44.53,135.57,1.87,58.61,42.01,130.87,2.32,,139.2,163.11,2.12,2.2,152.65,152.34,2.32,53.57,59.14,55.68,0.86
Overall Durian Production,0907400000,Zamboanga City,,7.09,82.48,58.47,,7.6,83.73,60.11,,,,,,,,,,,,,8.63
Overall Durian Production,0908300000,Zamboanga Sibugay,,,677.67,20.7,,,764.65,20.52,,,689.19,17.7,0.78,5.16,685.46,18.19,,0.36,3.8,2.88,1.14
Overall Durian Production,1001300000,Bukidnon,,5.5,810.0,23.92,,5.0,760.0,22.5,,3.17,652.93,28.23,9.33,2.8,645.0,30.0,9.61,2.6,284.25,33.77,9.47
