Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Durian Production,0102900000,Ilocos Sur,,1.67,,1.8,,0.4,,,,
Overall Durian Production,0205000000,Nueva Vizcaya,0.5,43.19,0.56,44.87,0.57,49.87,0.6,49.64,0.55,45.71
Overall Durian Production,0205700000,Quirino,,,,,,0.2,,0.2,,0.4
Overall Durian Production,0300800000,Bataan,,,,,,,,,,0.05
Overall Durian Production,0307700000,Aurora,,1.51,,1.82,,0.98,0.49,0.31,,0.39
Overall Durian Production,0401000000,Batangas,,0.11,,0.83,,3.71,,2.68,,3.58
Overall Durian Production,0402100000,Cavite,,,,,,,0.02,0.1,,0.16
Overall Durian Production,0403400000,Laguna,0.03,61.45,1.6,69.43,1.39,68.33,1.6,174.61,1.86,123.76
Overall Durian Production,0405600000,Quezon,,,,,,0.09,3.98,0.07,4.09,0.53
Overall Durian Production,0405800000,Rizal,,,,,,,,,,14.05
Overall Durian Production,0501700000,Camarines Sur,,,,,,,0.04,,0.04,
Overall Durian Production,0600400000,Aklan,,0.15,,0.12,,0.31,,1.6,,0.59
Overall Durian Production,0600600000,Antique,,,,,,,,,,0.45
Overall Durian Production,0601900000,Capiz,,,,,,,,0.12,0.07,0.16
Overall Durian Production,0603000000,Iloilo,,2.78,,2.65,,2.69,,0.06,,1.49
Overall Durian Production,0607900000,Guimaras,,0.05,,0.05,,0.05,,0.03,,0.02
Overall Durian Production,0701200000,Bohol,,2.96,,2.01,,13.32,1.1,4.52,1.37,1.56
Overall Durian Production,0702200000,Cebu,,0.4,,0.3,,0.4,,0.3,,0.3
Overall Durian Production,0803700000,Leyte,0.44,1.63,0.43,1.61,0.42,1.67,1.2,1.71,0.4,1.77
Overall Durian Production,0806000000,Samar (Western Samar),,0.07,,,,,,,,
Overall Durian Production,0806400000,Southern Leyte,,5.2,,3.38,,3.75,0.63,4.11,0.38,5.62
Overall Durian Production,0807800000,Biliran,,,0.5,,,0.05,,0.03,,0.03
Overall Durian Production,0906600000,,,5949.0,,5929.0,,6100.0,,6500.0,,
Overall Durian Production,0907200000,Zamboanga del Norte,,522.85,2.95,148.53,0.95,1625.95,18.67,1784.44,7.52,14.43
Overall Durian Production,0907300000,Zamboanga del Sur,55.56,180.1,60.48,172.88,2.32,302.31,4.32,304.99,55.89,114.82
Overall Durian Production,0907400000,Zamboanga City,7.09,140.95,7.6,143.84,,,,,,
Overall Durian Production,0908300000,Zamboanga Sibugay,,698.37,,785.17,,706.89,5.94,703.65,0.36,6.68
Overall Durian Production,1001300000,Bukidnon,5.5,833.92,5.0,782.5,3.17,681.16,12.13,675.0,12.21,318.02
Overall Durian Production,1001800000,Camiguin,,43.13,0.05,50.82,0.02,16.25,0.62,49.64,0.01,28.0
Overall Durian Production,1003500000,Lanao del Norte,168.7,880.0,163.9,920.0,156.2,990.0,148.0,1000.0,147.0,1002.5
Overall Durian Production,1004200000,Misamis Occidental,,134.0,,129.62,,143.0,7.88,148.54,7.68,147.88
Overall Durian Production,1004300000,Misamis Oriental,2.8,128.0,3.13,94.66,2.5,362.61,5.82,318.06,5.79,314.45
Overall Durian Production,1102300000,Davao del Norte,15.13,14507.27,14.83,14174.93,15.09,14800.02,15.07,14739.24,15.67,14547.97
Overall Durian Production,1102400000,Davao del Sur,145.3,654.36,144.31,643.99,8185.3,36219.21,8152.17,37350.14,4595.23,932.41
Overall Durian Production,1102500000,Davao Oriental,24.5,36.16,25.69,38.72,26.8,41.76,30.42,44.26,28.27,42.92
Overall Durian Production,1108200000,Davao de Oro (Compostela Valley),10.95,191.92,79.76,249.45,81.86,705.34,11.58,3733.37,11.9,1031.73
Overall Durian Production,1108600000,Davao Occidental,107.71,445.52,118.87,435.81,123.86,132.1,121.01,424.03,121.27,410.4
Overall Durian Production,1130700000,Davao City,7619.05,33526.0,8046.85,34675.5,,,,,3517.39,36312.85
Overall Durian Production,1204700000,Cotabato (North Cotabato),72.41,2699.97,72.38,2008.76,95.34,2258.61,111.59,2376.27,99.19,1697.95
Overall Durian Production,1206300000,South Cotabato,68.0,488.68,72.24,470.19,69.14,540.23,105.61,677.19,124.77,703.64
Overall Durian Production,1206500000,Sultan Kudarat,2.84,18.65,3.0,17.94,3.07,149.7,8.63,429.33,5.63,187.82
Overall Durian Production,1208000000,Sarangani,12.36,81.85,12.9,85.0,12.3,100.0,13.25,182.68,14.88,171.06
Overall Durian Production,1402700000,Ifugao,,,,,,2.27,,4.51,,3.75
Overall Durian Production,1408100000,Apayao,,,,,,,,1.45,,1.99
Overall Durian Production,1600200000,Agusan del Norte,2.75,357.87,2.8,331.41,2.97,356.43,5.48,357.5,5.65,355.45
Overall Durian Production,1600300000,Agusan del Sur,13.61,1638.44,11.64,1719.36,11.85,1891.77,18.77,1816.61,17.1,1811.05
Overall Durian Production,1606700000,Surigao del Norte,0.08,1.25,0.03,3.77,0.04,0.91,,5.39,,1.89
Overall Durian Production,1606800000,Surigao del Sur,105.5,359.1,104.2,282.2,95.14,144.56,1.0,245.17,2.08,205.6
Overall Durian Production,1608500000,Dinagat Islands,,1.07,,,,,,,,
Overall Durian Production,1630400000,Butuan City,,,,,,,,,,
Overall Durian Production,1704000000,Marinduque,,,,,,0.87,,0.53,,
Overall Durian Production,1705200000,Oriental Mindoro,0.02,2.19,0.03,2.76,0.03,3.12,0.04,4.09,0.02,2.45
