Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Eggplant Production,0102800000,Ilocos Norte,7055.45,473.48,44.24,654.48,7362.22,482.3,45.76,628.68,7160.42,478.23,50.41,649.11,7192.69,476.1,51.7,655.35,7238.44,478.88,151.58,806.92,7059.71
Overall Eggplant Production,0102900000,Ilocos Sur,3982.18,2324.59,408.4,171.24,5057.33,2321.71,385.93,220.69,5402.0,2372.93,369.0,229.08,5229.67,2407.11,377.47,190.81,5667.53,2599.17,439.85,248.58,5467.23
Overall Eggplant Production,0103300000,La Union,1045.66,1119.68,15.24,327.11,978.8,1090.12,16.41,349.94,958.25,1032.02,15.44,354.49,931.8,1012.92,16.31,324.46,998.27,931.06,8.74,232.44,927.78
Overall Eggplant Production,0105500000,Pangasinan,19721.7,59938.76,150.16,326.78,19472.42,61492.37,140.74,337.6,19133.21,56580.44,135.53,360.81,18833.0,52060.0,137.14,327.0,19398.0,55705.0,138.75,321.31,19121.4
Overall Eggplant Production,0200900000,Batanes,0.23,5.23,2.63,1.65,0.13,5.85,2.84,1.23,0.12,6.22,3.25,2.49,2.55,6.85,4.35,1.14,1.98,7.25,6.91,3.09,3.29
Overall Eggplant Production,0201500000,Cagayan,327.68,5041.92,1225.65,28.86,341.97,5187.16,1055.33,23.45,271.83,4960.38,958.25,21.8,361.77,4475.2,1175.89,18.04,303.69,4685.2,1119.11,17.17,318.72
Overall Eggplant Production,0203100000,Isabela,3397.84,2771.37,2088.26,407.88,3398.52,2702.09,1987.56,396.12,3399.3,2678.5,2021.13,405.23,3215.0,2824.68,2090.91,325.45,3130.76,2768.41,2011.25,310.77,2861.64
Overall Eggplant Production,0205000000,Nueva Vizcaya,672.06,252.68,1238.65,62.82,640.39,222.91,1423.68,65.41,709.86,197.99,1331.0,72.24,675.13,214.3,1377.34,252.89,692.5,216.34,1321.68,228.8,710.32
Overall Eggplant Production,0205700000,Quirino,50.75,62.24,295.43,3.28,55.48,65.83,303.97,3.17,60.0,70.43,299.0,3.54,57.74,63.13,303.44,3.35,63.15,66.78,304.25,23.96,76.25
Overall Eggplant Production,0300800000,Bataan,35.06,1125.56,5.45,15.97,44.88,1194.82,5.23,14.04,34.28,1253.4,5.51,8.44,41.01,1240.11,5.9,10.13,55.17,1214.28,7.18,4.55,51.49
Overall Eggplant Production,0301400000,Bulacan,866.85,587.87,424.58,661.8,1359.98,576.9,434.7,590.97,1397.2,474.92,474.19,620.51,1120.27,386.66,439.75,589.67,1292.48,479.49,458.66,605.09,1659.95
Overall Eggplant Production,0304900000,Nueva Ecija,4507.3,3144.2,1282.41,518.62,4649.93,2896.56,1297.45,526.77,4659.14,2740.44,1047.95,497.57,4114.78,2705.95,1157.84,442.55,4510.3,2405.81,1328.31,393.36,6264.62
Overall Eggplant Production,0305400000,Pampanga,1180.0,1588.33,80.34,176.98,1279.26,1698.45,86.09,174.15,1337.61,1769.65,81.84,180.64,1394.0,1851.29,377.31,184.99,1624.53,1943.11,360.31,189.27,1723.32
Overall Eggplant Production,0306900000,Tarlac,9269.27,114.91,276.02,2217.21,9596.1,127.62,283.01,1969.19,8337.66,141.48,283.26,2143.75,8509.59,189.94,287.3,2174.3,8668.75,208.93,270.41,2024.61,8164.9
Overall Eggplant Production,0307100000,Zambales,545.31,518.2,15.59,75.09,562.96,517.54,15.53,74.79,579.58,532.83,22.16,76.25,496.83,432.5,28.73,87.75,366.01,75.75,29.22,83.26,316.78
Overall Eggplant Production,0307700000,Aurora,27.73,180.59,77.03,3.66,25.0,120.0,115.92,2.84,31.84,144.8,96.77,3.03,27.66,97.6,96.62,3.05,24.4,85.05,58.37,74.56,19.77
Overall Eggplant Production,0401000000,Batangas,829.67,222.2,1664.88,17.25,744.8,322.79,1729.29,10.0,891.06,278.39,1256.0,16.47,745.0,272.0,1304.0,25.0,632.31,330.0,1230.45,17.16,454.91
Overall Eggplant Production,0402100000,Cavite,14.29,28.35,50.47,67.92,13.69,25.27,48.47,60.3,10.06,27.04,46.2,51.6,9.55,21.15,60.22,85.41,31.12,31.47,58.08,84.65,30.68
Overall Eggplant Production,0403400000,Laguna,292.78,955.89,322.95,87.11,252.29,807.72,302.06,73.57,254.11,729.53,140.84,92.64,250.0,620.1,164.97,80.25,323.0,611.2,407.63,70.44,390.77
Overall Eggplant Production,0405600000,Quezon,6809.06,335.92,9116.37,3078.85,7839.13,325.92,8998.68,2877.06,8082.06,341.56,7433.6,2860.0,7877.95,334.5,7119.87,2315.74,8167.67,311.97,9082.11,2695.53,8280.42
Overall Eggplant Production,0405800000,Rizal,411.39,110.97,8.26,19.73,517.84,104.14,7.33,15.85,622.3,109.89,40.0,105.9,589.0,105.0,73.37,90.4,614.33,100.67,102.0,77.17,502.6
Overall Eggplant Production,0500500000,Albay,895.91,1380.64,391.52,178.1,972.76,1541.97,435.06,270.11,1224.32,2192.14,441.34,250.6,1114.13,1666.02,473.41,34.42,966.0,1336.6,262.78,26.06,830.49
Overall Eggplant Production,0501600000,Camarines Norte,3.02,124.94,64.67,1.34,3.86,108.91,40.99,0.66,1.24,92.24,21.53,1.12,1.39,83.02,35.15,1.93,1.88,66.5,32.56,3.3,18.12
Overall Eggplant Production,0501700000,Camarines Sur,386.65,1876.9,35.51,106.21,400.91,1729.19,41.33,100.76,280.36,1467.95,47.25,105.0,120.71,647.81,359.6,115.66,216.36,413.38,244.9,168.26,139.09
Overall Eggplant Production,0502000000,Catanduanes,0.89,10.88,3.91,0.82,1.03,12.74,3.96,0.79,0.15,9.24,3.97,0.82,0.59,11.74,3.56,0.78,0.43,15.4,3.89,0.8,0.52
Overall Eggplant Production,0504100000,Masbate,49.62,814.18,736.01,60.65,51.72,826.64,749.18,66.56,56.08,896.57,729.99,97.33,103.31,822.14,706.0,102.9,115.79,936.97,641.67,72.11,132.18
Overall Eggplant Production,0506200000,Sorsogon,44.74,24.94,57.29,7.75,34.13,19.95,48.4,6.31,20.48,21.58,54.76,29.61,24.26,23.95,48.04,30.45,11.44,26.39,37.57,19.71,11.47
Overall Eggplant Production,0600400000,Aklan,26.5,137.29,20.11,66.44,27.62,165.91,25.91,63.98,21.0,145.62,22.8,56.3,24.81,149.61,20.15,62.24,27.43,139.38,70.51,43.88,49.24
Overall Eggplant Production,0600600000,Antique,254.46,329.83,16.3,112.47,260.68,343.68,22.27,117.6,265.0,319.19,17.96,117.04,273.24,333.82,16.3,123.45,275.0,335.4,128.64,127.38,371.34
Overall Eggplant Production,0601900000,Capiz,182.73,176.07,284.15,152.65,185.73,170.77,294.74,148.09,189.0,177.6,286.01,146.94,179.5,168.5,278.0,142.75,176.0,178.61,294.68,133.1,180.74
Overall Eggplant Production,0603000000,Iloilo,3318.0,5890.0,2374.88,667.0,3418.87,4815.66,2238.32,533.6,2881.09,5300.0,2276.47,533.6,2810.5,6970.77,2994.1,597.41,2000.0,7527.6,1380.0,1694.1,1903.04
Overall Eggplant Production,0607900000,Guimaras,97.04,61.7,95.72,104.67,124.97,66.79,98.38,106.16,136.99,80.9,93.02,116.77,125.4,78.1,111.63,161.86,181.85,105.54,139.53,202.31,157.23
Overall Eggplant Production,0701200000,Bohol,44.12,524.0,316.36,401.03,18.71,526.0,346.41,435.48,28.95,554.08,696.04,347.77,137.48,280.31,482.17,357.38,137.78,420.75,479.29,322.02,128.03
Overall Eggplant Production,0702200000,Cebu,1148.22,1775.0,1252.89,1500.0,1044.0,1721.0,1179.0,1525.0,1227.73,1798.0,1192.03,1624.0,917.77,1764.67,1150.31,1568.25,848.97,1765.35,1058.27,1368.93,707.45
Overall Eggplant Production,0802600000,Eastern Samar,10.1,53.35,5.67,11.5,10.11,63.49,5.7,14.52,10.13,109.05,72.51,293.58,15.25,136.25,160.73,73.15,18.5,153.74,544.85,91.2,27.75
