Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Eggplant Production,0102800000,Ilocos Norte,7528.93,698.72,7844.52,674.44,7638.65,699.52,7668.79,707.05,7717.32,958.5,7059.71
Overall Eggplant Production,0102900000,Ilocos Sur,6306.77,579.64,7379.04,606.62,7774.93,598.08,7636.78,568.28,8266.7,688.43,5467.23
Overall Eggplant Production,0103300000,La Union,2165.34,342.35,2068.92,366.35,1990.27,369.93,1944.72,340.77,1929.33,241.18,927.78
Overall Eggplant Production,0105500000,Pangasinan,79660.46,476.94,80964.79,478.34,75713.65,496.34,70893.0,464.14,75103.0,460.06,19121.4
Overall Eggplant Production,0200900000,Batanes,5.46,4.28,5.98,4.07,6.34,5.74,9.4,5.49,9.23,10.0,3.29
Overall Eggplant Production,0201500000,Cagayan,5369.6,1254.51,5529.13,1078.78,5232.21,980.05,4836.97,1193.93,4988.89,1136.28,318.72
Overall Eggplant Production,0203100000,Isabela,6169.21,2496.14,6100.61,2383.68,6077.8,2426.36,6039.68,2416.36,5899.17,2322.02,2861.64
Overall Eggplant Production,0205000000,Nueva Vizcaya,924.74,1301.47,863.3,1489.09,907.85,1403.24,889.43,1630.23,908.84,1550.48,710.32
Overall Eggplant Production,0205700000,Quirino,112.99,298.71,121.31,307.14,130.43,302.54,120.87,306.79,129.93,328.21,76.25
Overall Eggplant Production,0300800000,Bataan,1160.62,21.42,1239.7,19.27,1287.68,13.95,1281.12,16.03,1269.45,11.73,51.49
Overall Eggplant Production,0301400000,Bulacan,1454.72,1086.38,1936.88,1025.67,1872.12,1094.7,1506.93,1029.42,1771.97,1063.75,1659.95
Overall Eggplant Production,0304900000,Nueva Ecija,7651.5,1801.03,7546.49,1824.22,7399.58,1545.52,6820.73,1600.39,6916.11,1721.67,6264.62
Overall Eggplant Production,0305400000,Pampanga,2768.33,257.32,2977.71,260.24,3107.26,262.48,3245.29,562.3,3567.64,549.58,1723.32
Overall Eggplant Production,0306900000,Tarlac,9384.18,2493.23,9723.72,2252.2,8479.14,2427.01,8699.53,2461.6,8877.68,2295.02,8164.9
Overall Eggplant Production,0307100000,Zambales,1063.51,90.68,1080.5,90.32,1112.41,98.41,929.33,116.48,441.76,112.48,316.78
Overall Eggplant Production,0307700000,Aurora,208.32,80.69,145.0,118.76,176.64,99.8,125.26,99.67,109.45,132.93,19.77
Overall Eggplant Production,0401000000,Batangas,1051.87,1682.13,1067.59,1739.29,1169.45,1272.47,1017.0,1329.0,962.31,1247.61,454.91
Overall Eggplant Production,0402100000,Cavite,42.64,118.39,38.96,108.77,37.1,97.8,30.7,145.63,62.59,142.73,30.68
Overall Eggplant Production,0403400000,Laguna,1248.67,410.06,1060.01,375.63,983.64,233.48,870.1,245.22,934.2,478.07,390.77
Overall Eggplant Production,0405600000,Quezon,7144.98,12195.22,8165.05,11875.74,8423.62,10293.6,8212.45,9435.61,8479.64,11777.64,8280.42
Overall Eggplant Production,0405800000,Rizal,522.36,27.99,621.98,23.18,732.19,145.9,694.0,163.77,715.0,179.17,502.6
Overall Eggplant Production,0500500000,Albay,2276.55,569.62,2514.73,705.17,3416.46,691.94,2780.15,507.83,2302.6,288.84,830.49
Overall Eggplant Production,0501600000,Camarines Norte,127.96,66.01,112.77,41.65,93.48,22.65,84.41,37.08,68.38,35.86,18.12
Overall Eggplant Production,0501700000,Camarines Sur,2263.55,141.72,2130.1,142.09,1748.31,152.25,768.52,475.26,629.74,413.16,139.09
Overall Eggplant Production,0502000000,Catanduanes,11.77,4.73,13.77,4.75,9.39,4.79,12.33,4.34,15.83,4.69,0.52
Overall Eggplant Production,0504100000,Masbate,863.8,796.66,878.36,815.74,952.65,827.32,925.45,808.9,1052.76,713.78,132.18
Overall Eggplant Production,0506200000,Sorsogon,69.68,65.04,54.08,54.71,42.06,84.37,48.21,78.49,37.83,57.28,11.47
Overall Eggplant Production,0600400000,Aklan,163.79,86.55,193.53,89.89,166.62,79.1,174.42,82.39,166.81,114.39,49.24
Overall Eggplant Production,0600600000,Antique,584.29,128.77,604.36,139.87,584.19,135.0,607.06,139.75,610.4,256.02,371.34
Overall Eggplant Production,0601900000,Capiz,358.8,436.8,356.5,442.83,366.6,432.95,348.0,420.75,354.61,427.78,180.74
Overall Eggplant Production,0603000000,Iloilo,9208.0,3041.88,8234.53,2771.92,8181.09,2810.07,9781.27,3591.51,9527.6,3074.1,1903.04
Overall Eggplant Production,0607900000,Guimaras,158.74,200.39,191.76,204.54,217.89,209.79,203.5,273.49,287.39,341.84,157.23
Overall Eggplant Production,0701200000,Bohol,568.12,717.39,544.71,781.89,583.03,1043.81,417.79,839.55,558.53,801.31,128.03
Overall Eggplant Production,0702200000,Cebu,2923.22,2752.89,2765.0,2704.0,3025.73,2816.03,2682.44,2718.56,2614.32,2427.2,707.45
Overall Eggplant Production,0802600000,Eastern Samar,63.45,17.17,73.6,20.22,119.18,366.09,151.5,233.88,172.24,636.05,27.75
Overall Eggplant Production,0803700000,Leyte,835.98,668.5,844.95,733.65,1061.48,735.5,1049.15,724.8,1060.04,711.1,270.5
Overall Eggplant Production,0804800000,Northern Samar,100.75,113.5,106.11,122.0,125.35,120.75,172.5,129.0,173.45,139.15,21.55
Overall Eggplant Production,0806000000,Samar (Western Samar),129.5,88.89,128.27,98.49,143.12,156.09,154.27,160.72,139.93,164.72,8.8
Overall Eggplant Production,0806400000,Southern Leyte,43.33,62.25,24.6,64.5,29.96,66.3,43.05,73.25,37.51,55.91,7.68
Overall Eggplant Production,0807800000,Biliran,20.3,31.8,17.46,28.73,22.82,31.99,24.98,24.99,23.96,21.11,15.11
Overall Eggplant Production,0906600000,,3.35,21.45,3.36,21.3,3.45,17.0,3.54,27.01,3.74,27.45,2.26
Overall Eggplant Production,0907200000,Zamboanga del Norte,124.49,302.39,118.98,297.63,110.35,273.96,119.03,214.65,116.12,278.57,24.33
Overall Eggplant Production,0907300000,Zamboanga del Sur,403.35,366.76,432.91,416.94,2283.54,1663.75,2070.11,1831.38,589.6,277.39,141.3
Overall Eggplant Production,0907400000,Zamboanga City,1469.03,1630.61,1467.55,1644.62,,,,,561.0,1261.63,632.02
Overall Eggplant Production,0908300000,Zamboanga Sibugay,259.28,220.03,250.42,214.12,272.65,255.07,272.51,257.13,269.34,355.69,124.56
Overall Eggplant Production,1001300000,Bukidnon,481.9,715.0,493.0,665.49,541.04,727.5,509.04,725.21,582.66,719.67,224.22
Overall Eggplant Production,1001800000,Camiguin,48.98,122.11,38.13,142.36,38.99,58.09,39.32,57.6,46.53,77.68,16.83
Overall Eggplant Production,1003500000,Lanao del Norte,945.0,788.5,958.0,795.12,955.0,810.0,949.0,809.0,960.0,809.5,652.29
Overall Eggplant Production,1004200000,Misamis Occidental,415.0,395.0,424.21,408.8,461.52,420.0,446.77,436.28,455.38,447.19,99.88
Overall Eggplant Production,1004300000,Misamis Oriental,384.0,1457.0,443.47,1854.24,408.44,1888.0,434.92,1816.02,427.33,1798.96,218.71
Overall Eggplant Production,1102300000,Davao del Norte,374.41,326.8,358.47,312.72,356.15,301.22,362.26,321.66,374.78,339.64,54.82
Overall Eggplant Production,1102400000,Davao del Sur,185.89,306.81,176.9,299.92,1665.76,2119.08,1646.49,2148.2,987.41,258.35,98.16
Overall Eggplant Production,1102500000,Davao Oriental,67.73,159.4,66.25,161.33,72.43,166.51,78.01,160.57,78.64,154.44,36.43
Overall Eggplant Production,1108200000,Davao de Oro (Compostela Valley),511.5,1445.33,519.79,1412.26,529.28,1318.12,540.62,1336.98,562.06,1315.52,61.12
Overall Eggplant Production,1108600000,Davao Occidental,56.23,105.0,54.1,109.07,52.72,43.89,53.84,109.26,57.13,115.1,33.77
Overall Eggplant Production,1130700000,Davao City,1508.76,1974.53,1577.73,1995.0,,,,,661.48,1402.76,743.57
Overall Eggplant Production,1204700000,Cotabato (North Cotabato),1636.99,3102.89,1520.52,3551.69,1444.77,2526.34,1142.42,1986.81,1258.8,1263.3,862.73
Overall Eggplant Production,1206300000,South Cotabato,341.61,555.75,348.15,586.64,410.96,624.77,419.43,481.68,296.08,603.97,445.73
Overall Eggplant Production,1206500000,Sultan Kudarat,188.51,312.65,181.34,285.86,181.56,355.84,171.31,318.12,178.07,326.86,133.12
Overall Eggplant Production,1208000000,Sarangani,116.68,405.0,118.0,413.0,126.42,287.0,152.0,340.0,155.0,332.0,85.33
