Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Ginger Production,0102800000,Ilocos Norte,402.47,6.54,4.28,151.48,423.45,6.71,4.1,159.01,461.42,7.23,3.87,166.45,437.11,6.62,4.03,169.7,440.66,90.47,16.69,165.05,307.06
Overall Ginger Production,0102900000,Ilocos Sur,38.34,40.96,21.65,43.52,34.81,43.59,24.08,49.36,39.3,49.76,29.98,44.9,36.47,43.39,27.03,45.67,36.8,45.42,28.51,48.58,40.8
Overall Ginger Production,0103300000,La Union,59.07,1.1,1.92,168.62,56.9,1.2,1.82,182.17,60.47,1.29,1.95,184.62,62.96,1.55,1.9,169.19,58.31,1.19,1.77,109.85,60.67
Overall Ginger Production,0105500000,Pangasinan,103.36,4.82,2.03,17.1,104.78,4.66,1.86,17.71,87.19,4.91,2.37,18.0,99.0,5.17,2.5,18.9,110.0,5.3,2.67,19.52,100.87
Overall Ginger Production,0200900000,Batanes,5.42,3.47,0.52,0.05,5.23,2.15,0.52,0.05,6.54,3.31,0.11,0.6,4.85,2.1,0.42,0.42,3.85,1.65,0.27,0.51,3.88
Overall Ginger Production,0201500000,Cagayan,686.23,263.02,7.3,267.46,741.61,266.42,8.75,277.85,723.74,140.18,9.12,282.0,587.0,136.45,8.21,223.06,487.2,125.85,8.03,217.47,537.1
Overall Ginger Production,0203100000,Isabela,70.93,6.41,27.62,12.2,71.02,6.43,28.3,12.01,72.0,6.2,26.25,11.0,61.75,6.05,29.58,10.67,60.41,5.98,24.6,10.16,59.04
Overall Ginger Production,0205000000,Nueva Vizcaya,706.25,1643.47,141.97,1533.16,759.93,1505.81,151.15,1383.86,777.49,1574.64,147.0,1327.58,2761.19,2104.26,950.91,1324.39,2990.0,1839.45,1105.68,1215.04,3055.45
Overall Ginger Production,0205700000,Quirino,155.89,95.36,2.6,70.21,161.91,91.25,2.98,72.32,168.16,99.44,2.85,70.1,173.5,95.35,2.92,72.84,167.71,84.47,16.54,71.75,459.18
Overall Ginger Production,0300800000,Bataan,,45.72,,20.62,,50.99,,24.15,,42.73,,14.64,,46.48,,18.51,,62.48,,18.11,
