Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Ginger Production,0102800000,Ilocos Norte,409.01,155.76,430.16,163.11,468.65,170.32,443.73,173.73,531.13,181.74
Overall Ginger Production,0102900000,Ilocos Sur,79.3,65.17,78.4,73.44,89.06,74.88,79.86,72.7,82.22,77.09
Overall Ginger Production,0103300000,La Union,60.17,170.54,58.1,183.99,61.76,186.57,64.51,171.09,59.5,111.62
Overall Ginger Production,0105500000,Pangasinan,108.18,19.13,109.44,19.57,92.1,20.37,104.17,21.4,115.3,22.19
Overall Ginger Production,0200900000,Batanes,8.89,0.57,7.38,0.57,9.85,0.71,6.95,0.84,5.5,0.78
Overall Ginger Production,0201500000,Cagayan,949.25,274.76,1008.03,286.6,863.92,291.12,723.45,231.27,613.05,225.5
Overall Ginger Production,0203100000,Isabela,77.34,39.82,77.45,40.31,78.2,37.25,67.8,40.25,66.39,34.76
Overall Ginger Production,0205000000,Nueva Vizcaya,2349.72,1675.13,2265.74,1535.01,2352.13,1474.58,4865.45,2275.3,4829.45,2320.72
Overall Ginger Production,0205700000,Quirino,251.25,72.81,253.16,75.3,267.6,72.95,268.85,75.76,252.18,88.29
Overall Ginger Production,0300800000,Bataan,45.72,20.62,50.99,24.15,42.73,14.64,46.48,18.51,62.48,18.11
Overall Ginger Production,0301400000,Bulacan,191.0,124.0,189.0,123.0,199.8,124.0,195.75,122.5,,123.3
Overall Ginger Production,0304900000,Nueva Ecija,255.24,273.11,313.19,266.95,357.18,298.38,322.19,322.07,290.15,268.66
Overall Ginger Production,0305400000,Pampanga,10.55,,10.48,,10.55,,10.51,450.53,10.5,450.57
Overall Ginger Production,0306900000,Tarlac,25.59,159.75,35.53,156.5,43.65,154.04,58.66,157.8,212.03,183.95
Overall Ginger Production,0307100000,Zambales,66.4,87.03,56.64,88.41,57.03,71.41,113.67,42.57,112.23,
Overall Ginger Production,0307700000,Aurora,31.79,88.3,40.5,91.16,55.93,86.75,41.95,104.28,126.0,4.05
Overall Ginger Production,0401000000,Batangas,378.28,120.0,341.0,100.0,351.02,170.0,236.86,153.65,219.75,156.83
Overall Ginger Production,0402100000,Cavite,39.49,350.44,42.74,286.14,44.68,186.88,64.83,108.07,56.71,129.93
Overall Ginger Production,0403400000,Laguna,139.62,11.91,122.41,9.72,113.66,58.1,92.02,48.19,155.39,36.59
Overall Ginger Production,0405600000,Quezon,1766.99,474.35,1835.68,446.69,1771.12,450.12,1746.61,371.59,1846.43,343.8
Overall Ginger Production,0405800000,Rizal,36.76,19.86,65.48,15.2,76.0,95.0,84.77,77.05,101.33,231.64
Overall Ginger Production,0500500000,Albay,123.78,38.89,141.22,38.14,93.48,36.68,1.97,21.16,7.25,14.25
Overall Ginger Production,0501600000,Camarines Norte,45.96,4.42,32.77,5.46,35.73,13.8,34.18,,23.53,0.57
Overall Ginger Production,0501700000,Camarines Sur,75.82,17.7,98.09,16.29,106.45,18.31,60.64,25.76,129.51,16.54
Overall Ginger Production,0502000000,Catanduanes,6.2,6.16,7.67,6.17,7.37,6.87,7.32,6.17,5.02,3.56
Overall Ginger Production,0504100000,Masbate,91.71,,95.88,,97.04,106.23,101.02,97.4,99.06,70.94
Overall Ginger Production,0506200000,Sorsogon,9.01,8.01,7.32,8.1,6.4,6.78,6.19,4.61,6.77,3.71
Overall Ginger Production,0600400000,Aklan,137.88,135.32,149.57,162.21,130.18,129.41,103.84,132.6,104.4,119.45
Overall Ginger Production,0600600000,Antique,91.39,113.18,94.54,136.78,94.44,123.25,90.11,116.35,92.36,116.43
Overall Ginger Production,0601900000,Capiz,210.0,127.3,220.1,146.14,231.0,162.5,221.6,152.4,175.8,157.1
Overall Ginger Production,0603000000,Iloilo,156.22,35.59,161.5,32.53,169.12,32.0,157.51,29.88,167.5,761.46
Overall Ginger Production,0607900000,Guimaras,8.83,11.53,15.35,14.1,19.31,13.92,20.5,16.38,23.78,16.45
Overall Ginger Production,0701200000,Bohol,368.7,152.64,285.15,151.07,263.49,108.68,179.94,113.02,346.77,115.82
Overall Ginger Production,0702200000,Cebu,447.8,492.44,402.0,509.0,388.64,510.1,274.68,500.17,322.68,552.51
Overall Ginger Production,0802600000,Eastern Samar,15.17,24.7,19.61,25.41,28.37,36.07,40.65,40.21,48.2,84.67
