Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Habitsuelas Production,0102800000,Ilocos Norte,,,,,,,0.02,,0.02,0.68
Overall Habitsuelas Production,0102900000,Ilocos Sur,16.76,,16.46,,16.56,11.17,16.1,6.64,16.82,8.91
Overall Habitsuelas Production,0103300000,La Union,209.45,70.33,219.51,71.51,211.35,72.88,221.09,71.18,238.43,51.21
Overall Habitsuelas Production,0105500000,Pangasinan,59.18,6.7,71.6,6.46,65.08,5.0,63.12,5.2,58.0,4.66
Overall Habitsuelas Production,0200900000,Batanes,2.54,,2.69,,2.47,0.08,1.52,,1.68,
Overall Habitsuelas Production,0201500000,Cagayan,87.07,1.68,101.58,1.25,96.74,3.35,82.75,,78.12,1.45
Overall Habitsuelas Production,0203100000,Isabela,6.37,1.09,5.94,0.96,2.32,0.65,1.83,0.33,1.62,
Overall Habitsuelas Production,0205000000,Nueva Vizcaya,1010.72,1028.81,1053.71,1083.3,1131.27,1110.34,3011.53,1804.05,3672.61,1482.24
Overall Habitsuelas Production,0205700000,Quirino,26.73,10.28,29.49,10.59,28.89,10.31,31.66,10.56,34.85,10.45
Overall Habitsuelas Production,0300800000,Bataan,,,,,,,,,,
Overall Habitsuelas Production,0301400000,Bulacan,,,,,,,,,,
Overall Habitsuelas Production,0304900000,Nueva Ecija,36.05,9.65,39.14,9.41,40.2,8.14,41.04,3.31,42.33,3.73
Overall Habitsuelas Production,0305400000,Pampanga,,,,,,,,,,
Overall Habitsuelas Production,0306900000,Tarlac,,,,,,,,,,
Overall Habitsuelas Production,0307100000,Zambales,,,,,,,,,,
Overall Habitsuelas Production,0307700000,Aurora,0.95,,0.35,,0.87,,1.51,12.04,,
Overall Habitsuelas Production,0401000000,Batangas,4.8,0.59,6.42,0.5,,4.45,,4.0,180.0,6.3
Overall Habitsuelas Production,0402100000,Cavite,,,,,,,,,,0.05
Overall Habitsuelas Production,0403400000,Laguna,54.36,85.16,47.31,81.25,43.22,149.11,42.45,139.85,279.07,123.4
Overall Habitsuelas Production,0405600000,Quezon,64.55,110.26,81.84,106.09,88.05,106.03,83.55,102.39,96.37,189.89
Overall Habitsuelas Production,0405800000,Rizal,,,,,,,,,,
Overall Habitsuelas Production,0500500000,Albay,24.85,276.75,29.36,279.11,20.39,226.65,9.7,119.48,,20.69
Overall Habitsuelas Production,0501600000,Camarines Norte,,,,,,,,,,
Overall Habitsuelas Production,0501700000,Camarines Sur,402.91,55.97,395.59,57.83,395.99,56.04,287.04,1.64,25.52,10.67
Overall Habitsuelas Production,0502000000,Catanduanes,0.15,0.03,0.14,0.04,0.12,0.06,0.08,,,
Overall Habitsuelas Production,0504100000,Masbate,,,,,,,,,,
Overall Habitsuelas Production,0506200000,Sorsogon,,,,,,0.07,0.1,0.61,,
Overall Habitsuelas Production,0600400000,Aklan,2.2,3.38,2.07,2.95,1.92,2.82,2.05,3.03,0.46,2.91
Overall Habitsuelas Production,0600600000,Antique,5.67,4.17,5.43,3.99,5.16,3.9,4.7,3.74,4.63,2.77
Overall Habitsuelas Production,0601900000,Capiz,,,,,,,,,,
Overall Habitsuelas Production,0603000000,Iloilo,27.64,52.39,23.7,39.15,29.17,39.96,25.18,34.5,26.0,106.7
Overall Habitsuelas Production,0607900000,Guimaras,0.12,0.17,0.18,0.2,0.24,0.1,0.11,0.15,0.25,0.07
Overall Habitsuelas Production,0701200000,Bohol,11.42,9.71,9.28,8.45,9.35,35.0,7.75,11.39,10.87,12.56
Overall Habitsuelas Production,0702200000,Cebu,639.7,450.86,609.0,435.0,609.82,474.65,452.2,436.9,538.27,426.7
Overall Habitsuelas Production,0802600000,Eastern Samar,,,,,,,,,,
Overall Habitsuelas Production,0803700000,Leyte,197.51,30.78,182.03,31.49,254.27,18.53,1.52,28.6,19.3,28.35
Overall Habitsuelas Production,0804800000,Northern Samar,,,,,,,,,,
Overall Habitsuelas Production,0806000000,Samar (Western Samar),2.37,4.8,2.75,4.97,4.2,,,3.48,,
Overall Habitsuelas Production,0806400000,Southern Leyte,11.27,7.7,7.1,6.67,7.54,7.07,6.31,6.5,4.34,7.15
Overall Habitsuelas Production,0807800000,Biliran,,,,,,,,,,
Overall Habitsuelas Production,0906600000,,,,,,,,,,,
Overall Habitsuelas Production,0907200000,Zamboanga del Norte,6.16,11.34,5.53,10.18,4.97,7.14,5.42,7.25,5.3,7.16
Overall Habitsuelas Production,0907300000,Zamboanga del Sur,18.26,117.94,18.87,127.27,26.33,22.42,,19.78,,
Overall Habitsuelas Production,0907400000,Zamboanga City,10.41,24.24,10.67,25.2,,,,,12.6,20.88
Overall Habitsuelas Production,0908300000,Zamboanga Sibugay,2.7,5.81,3.09,5.35,2.84,5.42,2.64,5.42,2.59,
Overall Habitsuelas Production,1001300000,Bukidnon,134.26,189.57,133.0,185.6,219.74,188.06,156.67,188.4,162.95,184.91
Overall Habitsuelas Production,1001800000,Camiguin,0.26,0.49,0.31,0.35,0.38,0.3,0.33,0.33,0.38,0.41
Overall Habitsuelas Production,1003500000,Lanao del Norte,,,,,,,,,,
Overall Habitsuelas Production,1004200000,Misamis Occidental,19.5,62.3,19.42,70.03,21.44,42.2,20.79,41.1,20.14,40.76
Overall Habitsuelas Production,1004300000,Misamis Oriental,78.85,196.57,83.4,248.9,70.72,233.0,79.65,222.88,78.0,225.38
Overall Habitsuelas Production,1102300000,Davao del Norte,,,,,,,,,,
Overall Habitsuelas Production,1102400000,Davao del Sur,7.13,18.28,7.21,19.03,50.2,68.5,49.3,68.87,12.71,7.44
Overall Habitsuelas Production,1102500000,Davao Oriental,,,,,,,,,,
Overall Habitsuelas Production,1108200000,Davao de Oro (Compostela Valley),27.52,42.2,26.57,40.71,25.62,40.28,24.64,38.92,23.81,37.66
Overall Habitsuelas Production,1108600000,Davao Occidental,0.05,0.15,0.05,0.14,0.03,0.13,0.04,0.12,0.04,0.12
Overall Habitsuelas Production,1130700000,Davao City,41.63,44.84,42.95,47.35,,,,,34.78,57.8
Overall Habitsuelas Production,1204700000,Cotabato (North Cotabato),17.95,77.56,15.06,47.0,13.15,23.5,10.94,19.27,14.64,16.79
Overall Habitsuelas Production,1206300000,South Cotabato,23.8,82.43,25.19,119.39,25.69,124.17,34.42,89.16,38.62,69.15
Overall Habitsuelas Production,1206500000,Sultan Kudarat,7.91,6.2,7.33,6.0,8.88,6.5,8.04,6.36,2.29,6.0
Overall Habitsuelas Production,1208000000,Sarangani,0.21,0.95,0.18,0.86,0.16,0.34,0.14,0.21,,0.01
Overall Habitsuelas Production,1400100000,Abra,,,,,,,0.79,0.45,7.2,
Overall Habitsuelas Production,1401100000,Benguet,3244.67,2622.57,3350.8,2780.53,3770.52,3110.0,3544.35,4230.0,3700.0,4395.75
Overall Habitsuelas Production,1402700000,Ifugao,271.4,822.66,287.71,572.24,274.86,212.58,307.02,171.55,95.51,138.02
Overall Habitsuelas Production,1403200000,Kalinga,24.25,26.82,27.59,31.26,27.9,32.18,21.74,29.94,31.31,10.2
Overall Habitsuelas Production,1404400000,Mountain Province,105.19,265.09,108.59,279.81,106.18,237.74,100.86,224.15,108.92,190.57
Overall Habitsuelas Production,1408100000,Apayao,16.23,0.75,19.14,0.56,17.28,0.5,18.61,0.4,4.78,0.38
Overall Habitsuelas Production,1600200000,Agusan del Norte,0.09,0.07,0.09,0.07,0.08,0.07,0.08,0.07,0.08,0.07
Overall Habitsuelas Production,1600300000,Agusan del Sur,27.98,12.15,29.12,12.97,25.8,12.3,18.0,12.6,17.7,6.53
Overall Habitsuelas Production,1606700000,Surigao del Norte,,,,,,,,,,
Overall Habitsuelas Production,1606800000,Surigao del Sur,,,,,,,,,,
Overall Habitsuelas Production,1608500000,Dinagat Islands,,,,0.04,0.03,1.35,0.74,0.15,0.26,0.33
Overall Habitsuelas Production,1630400000,Butuan City,,,,,,,,,,
Overall Habitsuelas Production,1704000000,Marinduque,,,,,,,,,,
Overall Habitsuelas Production,1705100000,Occidental Mindoro,,,,,,,,,,
Overall Habitsuelas Production,1705200000,Oriental Mindoro,1.38,1.28,1.03,1.22,0.83,2.13,0.87,2.38,0.93,1.57
Overall Habitsuelas Production,1705300000,Palawan,,,,,,,,,,
Overall Habitsuelas Production,1705900000,Romblon,,,,,,,,,,
Overall Habitsuelas Production,1731500000,Puerto Princesa City,,,,,,,,,,
Overall Habitsuelas Production,1804500000,Negros Occidental,6.48,43.0,5.13,41.0,5.49,36.59,4.9,35.79,5.0,37.79
Overall Habitsuelas Production,1804600000,Negros Oriental,107.35,173.41,95.25,144.54,95.93,134.89,106.16,94.46,92.45,111.77
Overall Habitsuelas Production,1806100000,Siquijor,0.23,0.34,0.22,0.37,0.24,0.42,,0.33,,0.35
Overall Habitsuelas Production,1830200000,Bacolod City,,,,,,,,,,
Overall Habitsuelas Production,1900700000,Basilan,,,,,,,,,,
Overall Habitsuelas Production,1903600000,Lanao del Sur,,,,,,,,,,
Overall Habitsuelas Production,1907000000,Tawi-Tawi,,,,,,,,,,
Overall Habitsuelas Production,1908700000,Maguindanao del Norte,,,,,,,,,,
Overall Habitsuelas Production,1908800000,Maguindanao del Sur,,5.15,,5.33,,5.4,,2.5,,
