Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Irrigated Palay Production,0102800000,Ilocos Norte,7092.0,7172.0,8673.0,31679.0,7425.0,6619.0,9387.0,30884.0,7670.51,6882.0,8855.0,31447.0,7395.0,6513.13,8753.0,31878.0,7495.0,6681.0,8998.0,31638.0,7520.0,8965.0
Irrigated Palay Production,0102900000,Ilocos Sur,5084.0,2450.0,4758.0,19863.0,4553.0,1827.35,5531.0,19320.0,4300.0,2009.0,5193.0,19612.0,4169.0,1945.0,4881.51,19923.0,5067.0,2052.0,5202.0,19826.0,5102.0,2002.0
Irrigated Palay Production,0103300000,La Union,5629.0,2115.0,2535.0,13940.0,5697.24,2226.0,2852.0,13503.76,5799.89,2146.0,2688.67,13654.68,5708.71,2186.0,2920.0,13471.0,5735.28,2166.0,2921.86,13499.0,5771.83,1997.0
Irrigated Palay Production,0105500000,Pangasinan,48415.0,26907.0,14335.0,83836.0,48907.0,26188.0,14335.0,84404.0,47508.0,25718.0,15734.0,86832.0,46344.0,25681.0,15702.0,85914.0,46975.0,25122.0,16370.0,86857.0,48083.0,25507.0
Irrigated Palay Production,0200900000,Batanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irrigated Palay Production,0201500000,Cagayan,29495.0,66571.0,24280.0,67116.0,37780.0,63424.0,27645.0,63800.0,37055.0,61148.0,33097.0,63625.0,38290.0,57972.0,30187.0,63034.0,26512.0,69220.0,28193.0,61668.0,15707.0,83795.0
Irrigated Palay Production,0203100000,Isabela,60704.0,75076.0,43721.0,91169.0,55847.0,80420.0,48445.0,86789.0,64617.02,71570.0,51047.0,83790.0,84086.84,52022.0,50680.0,85629.37,73031.3,64323.3,55632.0,81388.0,44647.0,97774.0
Irrigated Palay Production,0205000000,Nueva Vizcaya,17540.0,14683.0,11233.0,18882.0,12449.0,19374.0,10207.0,20363.25,9218.99,23334.0,10313.0,21638.0,10081.0,22232.0,8588.0,22013.0,10023.0,20321.0,11269.0,17358.0,10111.0,20651.0
Irrigated Palay Production,0205700000,Quirino,4563.0,7564.0,1070.0,10810.0,4000.0,7708.0,1192.69,10488.5,5215.0,6539.4,2455.0,9023.0,5705.0,6026.0,1926.0,8002.0,4768.8,6861.4,2591.96,7611.0,5114.0,6962.39
Irrigated Palay Production,0300800000,Bataan,8983.45,5537.0,1680.0,10410.52,9168.0,6482.0,730.39,10335.3,8849.0,6391.0,518.31,9904.32,8985.53,5593.0,195.53,10269.0,9497.45,6057.98,511.25,9606.0,9111.47,6014.0
