Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Irrigated Palay Production,0102800000,Ilocos Norte,14264.0,40352.0,14044.0,40271.0,14552.51,40302.0,13908.13,40631.0,14176.0,40636.0,16485.0
Irrigated Palay Production,0102900000,Ilocos Sur,7534.0,24621.0,6380.35,24851.0,6309.0,24805.0,6114.0,24804.51,7119.0,25028.0,7104.0
Irrigated Palay Production,0103300000,La Union,7744.0,16475.0,7923.24,16355.76,7945.89,16343.35,7894.71,16391.0,7901.28,16420.86,7768.83
Irrigated Palay Production,0105500000,Pangasinan,75322.0,98171.0,75095.0,98739.0,73226.0,102566.0,72025.0,101616.0,72097.0,103227.0,73590.0
Irrigated Palay Production,0200900000,Batanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irrigated Palay Production,0201500000,Cagayan,96066.0,91396.0,101204.0,91445.0,98203.0,96722.0,96262.0,93221.0,95732.0,89861.0,99502.0
Irrigated Palay Production,0203100000,Isabela,135780.0,134890.0,136267.0,135234.0,136187.02,134837.0,136108.84,136309.37,137354.6,137020.0,142421.0
Irrigated Palay Production,0205000000,Nueva Vizcaya,32223.0,30115.0,31823.0,30570.25,32552.99,31951.0,32313.0,30601.0,30344.0,28627.0,30762.0
Irrigated Palay Production,0205700000,Quirino,12127.0,11880.0,11708.0,11681.19,11754.4,11478.0,11731.0,9928.0,11630.2,10202.96,12076.39
Irrigated Palay Production,0300800000,Bataan,14520.45,12090.52,15650.0,11065.69,15240.0,10422.63,14578.53,10464.53,15555.43,10117.25,15125.47
Irrigated Palay Production,0301400000,Bulacan,36589.0,35599.0,40808.0,39782.0,40024.0,34745.08,35284.0,31415.0,35246.24,36554.0,37117.0
Irrigated Palay Production,0304900000,Nueva Ecija,150914.82,153365.0,153468.19,133497.42,170200.0,118774.45,162092.76,127910.33,164329.0,132396.0,165912.6
Irrigated Palay Production,0305400000,Pampanga,46327.0,48263.7,49322.7,48860.15,49260.0,44961.0,41877.03,45529.34,43405.0,46397.0,43980.0
Irrigated Palay Production,0306900000,Tarlac,56364.0,78204.0,56194.0,80384.0,55834.0,80136.0,56312.0,80575.0,55930.0,80628.0,55851.0
Irrigated Palay Production,0307100000,Zambales,11358.0,14989.0,11029.0,12899.66,12106.61,13136.0,11093.0,12405.23,11765.0,13880.36,11979.68
Irrigated Palay Production,0307700000,Aurora,12585.0,12190.0,12644.0,10278.0,11398.0,10423.7,10247.95,9337.0,11478.0,8150.0,10273.0
