Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Irrigated Palay Production,0102800000,Ilocos Norte,37020.0,36935.6,44967.0,167142.0,39221.0,34675.5,49815.0,162974.0,43198.0,36188.0,41371.0,169138.0,40894.0,33923.0,45878.5,172140.0,41550.0,35338.0,47959.8,175012.0,41360.0,46887.24
Irrigated Palay Production,0102900000,Ilocos Sur,27504.0,12642.0,23788.0,97527.0,22610.0,9392.83,28650.0,101236.0,20640.0,10065.0,25549.0,106493.0,21100.0,9725.0,25630.0,100810.0,25645.0,9655.0,26949.0,88268.0,25740.0,9530.0
Irrigated Palay Production,0103300000,La Union,25343.0,9602.0,11059.0,56734.0,26635.0,10105.93,13241.0,60717.57,26796.0,9633.89,12276.77,63498.47,26374.74,9827.0,13355.0,62227.83,26605.01,9652.74,12881.33,63253.5,27014.77,8642.29
Irrigated Palay Production,0105500000,Pangasinan,231424.0,127808.0,69811.0,400434.0,235423.0,128583.0,70748.0,411047.0,229889.0,124475.0,78775.0,423362.03,226320.0,122596.0,78398.0,414174.0,230647.0,118584.0,81554.97,409143.0,243170.0,125239.0
Irrigated Palay Production,0200900000,Batanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irrigated Palay Production,0201500000,Cagayan,141971.0,355224.0,112929.0,287256.0,191415.0,334179.0,123008.0,260401.0,192686.0,329732.0,149633.0,272630.0,190791.0,288054.0,139415.0,270165.0,128522.0,374407.0,134956.0,279655.0,79057.0,422137.0
Irrigated Palay Production,0203100000,Isabela,315362.62,410835.92,216884.99,423900.0,290896.56,423750.0,244972.0,435758.0,343341.02,378590.45,259004.0,426347.18,439461.0,271792.0,258106.81,420271.0,394720.73,350554.98,289140.06,399822.99,235240.44,531527.25
Irrigated Palay Production,0205000000,Nueva Vizcaya,82116.0,77250.0,52677.0,86864.0,57273.0,86762.0,47023.0,85861.63,42957.61,107755.0,47372.29,91885.99,45283.9,100402.0,38747.0,97593.0,50678.4,104107.0,55758.0,83618.0,50771.0,104164.0
Irrigated Palay Production,0205700000,Quirino,22613.0,41230.0,5009.0,48536.0,19000.0,36830.4,5624.14,47047.09,24420.2,31684.02,12155.32,41691.19,25644.0,25135.36,8633.8,35094.0,23662.16,35686.78,12029.92,33420.03,25937.09,32722.8
Irrigated Palay Production,0300800000,Bataan,42595.55,25234.5,7117.0,41056.0,42838.0,29079.31,3144.15,39390.0,41789.84,26331.95,2114.1,37948.18,43552.57,24498.43,762.0,37316.43,42998.04,27086.45,2152.44,32954.92,41438.75,26897.67
Irrigated Palay Production,0301400000,Bulacan,87051.0,83128.05,27512.39,128986.2,98003.0,91250.0,24421.65,149688.0,92841.32,96623.0,24124.0,127266.0,72680.0,86735.0,29305.0,107031.0,75032.0,88120.0,33393.0,127308.0,86157.0,99459.0
Irrigated Palay Production,0304900000,Nueva Ecija,194753.63,700668.6,168243.44,758580.3,246758.09,791926.95,123955.72,591655.34,345546.7,746756.6,173951.21,554115.02,301041.41,757592.63,162628.0,539794.02,312647.88,774152.82,159674.1,554617.16,315000.7,752751.02
Irrigated Palay Production,0305400000,Pampanga,146117.99,88096.92,71409.75,171349.94,164779.19,85963.6,68824.65,154772.0,173325.0,81600.18,69303.1,139298.0,146165.56,63950.26,61591.0,149879.93,152862.9,71298.11,66412.24,128335.5,164668.68,75599.64
Irrigated Palay Production,0306900000,Tarlac,174704.0,79846.0,65878.81,265188.0,171999.0,75052.0,68930.56,270363.0,169824.0,76248.0,69046.99,277359.24,172089.0,72980.0,69915.0,288774.0,180269.0,74138.45,72890.0,279966.0,182346.15,77661.28
Irrigated Palay Production,0307100000,Zambales,28547.33,20430.0,9314.0,59193.83,19425.0,27174.28,5939.0,49482.56,24641.0,26458.32,19773.6,35092.9,23333.03,26849.24,13338.0,43342.82,33075.0,22350.0,21069.0,41201.44,26186.0,28516.88
Irrigated Palay Production,0307700000,Aurora,21857.0,35714.0,27751.0,24938.0,24856.0,33195.0,16840.0,26745.0,15921.0,37153.0,14147.12,29543.0,15991.86,30737.24,16852.0,18013.0,11351.1,40890.13,13221.36,15718.52,10185.17,37731.23
Irrigated Palay Production,0401000000,Batangas,7273.0,4843.0,3795.84,10813.0,6801.0,4472.16,8065.0,8031.45,6216.0,8093.0,6286.66,11823.0,4198.0,4943.0,2576.0,5471.99,5114.0,8488.0,1752.0,5362.0,2244.0,6136.0
Irrigated Palay Production,0402100000,Cavite,7307.94,5463.72,5381.8,8936.2,6613.0,5342.17,4666.3,6123.11,5852.08,4960.34,4115.73,5739.94,4536.6,4024.05,3317.41,3327.92,5296.06,6987.44,3045.17,3490.08,3378.65,5718.6
Irrigated Palay Production,0403400000,Laguna,22555.0,51024.14,8014.17,35239.0,23392.0,57535.0,6233.0,37331.01,19747.01,73703.05,5770.89,42832.72,19471.66,60283.62,5559.73,25894.66,26506.26,94294.0,6285.22,36473.48,22646.08,63713.8
Irrigated Palay Production,0405600000,Quezon,25189.0,42054.0,15953.0,44161.0,30764.0,36273.0,12276.0,34651.0,31301.0,37127.0,13565.0,50273.0,24382.0,38701.58,10881.35,20319.52,24857.27,35601.58,11224.0,30527.0,19154.0,49454.03
Irrigated Palay Production,0405800000,Rizal,4787.0,8357.12,1384.04,7254.0,4342.0,9397.0,834.86,7179.0,3285.0,9480.0,1351.52,7402.5,1226.0,9352.5,715.73,5863.59,1586.44,7112.56,690.66,7496.03,1614.18,8838.18
Irrigated Palay Production,0500500000,Albay,36262.0,59007.0,42787.0,52671.0,37671.0,61951.0,44004.0,49831.0,39130.28,60904.27,43309.8,52782.0,36749.2,57249.0,37220.6,42830.0,33825.0,61672.0,40846.2,40919.41,32582.0,53376.57
