Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
Irrigated Palay Production,0102800000,Ilocos Norte,5.22,5.15,5.1847,5.2761,5.2823,5.2388,5.3068,5.277,5.6317,5.2584,4.672,5.3785,5.53,5.2084,5.2415,5.4,5.5437,5.2893,5.3301,5.5317,5.5,5.23
Irrigated Palay Production,0102900000,Ilocos Sur,5.4099,5.16,4.9996,4.91,4.966,5.1401,5.1799,5.24,4.8,5.01,4.9199,5.43,5.0612,5.0,5.2504,5.06,5.0612,4.7052,5.1805,4.4521,5.0451,4.7602
Irrigated Palay Production,0103300000,La Union,4.5022,4.54,4.3625,4.0699,4.6751,4.54,4.6427,4.4963,4.6201,4.4892,4.5661,4.6503,4.6201,4.4954,4.5736,4.6194,4.6388,4.4565,4.4086,4.6858,4.6805,4.3276
Irrigated Palay Production,0105500000,Pangasinan,4.78,4.75,4.87,4.7764,4.8137,4.91,4.9353,4.87,4.839,4.84,5.0067,4.8756,4.8835,4.7738,4.9929,4.8208,4.91,4.7203,4.982,4.7105,5.0573,4.91
Irrigated Palay Production,0200900000,Batanes,,,,,,,,,,,,,,,,,,,,,,
Irrigated Palay Production,0201500000,Cagayan,4.8134,5.336,4.6511,4.28,5.0666,5.269,4.4496,4.0815,5.2,5.3924,4.521,4.285,4.9828,4.9688,4.6184,4.286,4.8477,5.4089,4.7869,4.5348,5.0332,5.0377
Irrigated Palay Production,0203100000,Isabela,5.1951,5.4723,4.9607,4.6496,5.2088,5.2692,5.0567,5.0209,5.3135,5.2898,5.0738,5.0883,5.2263,5.2246,5.0929,4.908,5.4048,5.4499,5.1974,4.9126,5.2689,5.4363
Irrigated Palay Production,0205000000,Nueva Vizcaya,4.6816,5.2612,4.6895,4.6004,4.6006,4.4783,4.6069,4.2165,4.6597,4.6179,4.5935,4.2465,4.492,4.5161,4.5118,4.4334,5.0562,5.1231,4.9479,4.8173,5.0214,5.044
Irrigated Palay Production,0205700000,Quirino,4.9557,5.4508,4.6813,4.4899,4.75,4.7782,4.7155,4.4856,4.6827,4.8451,4.9513,4.6205,4.495,4.1712,4.4828,4.3857,4.9619,5.2011,4.6412,4.391,5.0718,4.6999
Irrigated Palay Production,0300800000,Bataan,4.7416,4.5574,4.2363,3.9437,4.6726,4.4862,4.3048,3.8112,4.7225,4.1202,4.0788,3.8315,4.847,4.3802,3.8971,3.6339,4.5273,4.4712,4.2102,3.4307,4.548,4.4725
Irrigated Palay Production,0301400000,Bulacan,4.367,4.9912,4.3879,4.3979,4.6542,4.62,4.51,4.3556,4.5796,4.8921,4.3616,4.3563,4.3902,4.6311,4.453,4.3099,4.4696,4.7738,4.7152,4.3196,4.9405,5.0543
Irrigated Palay Production,0304900000,Nueva Ecija,5.5554,6.0476,6.0458,6.0427,6.2919,6.9315,5.3743,5.3576,5.9228,6.6759,6.089,6.1427,6.1144,6.7128,6.2231,5.3037,5.9724,6.9133,5.8766,5.2708,6.0932,6.5906
Irrigated Palay Production,0305400000,Pampanga,4.98,5.1864,4.9774,5.052,5.0399,5.1699,4.7659,4.4967,5.1821,5.1603,4.7171,4.602,5.0031,5.0506,4.0999,4.913,5.1804,5.1305,4.1774,4.2079,5.5154,5.3526
