Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Irrigated Palay Production,0102800000,Ilocos Norte,5.1848,5.2565,5.2618,5.2839,5.4551,5.2233,5.3794,5.3658,5.4238,5.4871,5.3532
Irrigated Palay Production,0102900000,Ilocos Sur,5.3286,4.9273,5.0158,5.2266,4.8669,5.3232,5.0417,5.0975,4.9586,4.6035,4.9648
Irrigated Palay Production,0103300000,La Union,4.5125,4.1149,4.6371,4.5219,4.5847,4.6365,4.5856,4.6112,4.5888,4.6365,4.5898
Irrigated Palay Production,0105500000,Pangasinan,4.7693,4.7901,4.8473,4.8795,4.8393,4.8957,4.8444,4.8474,4.8439,4.7536,5.0062
Irrigated Palay Production,0200900000,Batanes,,,,,,,,,,,
Irrigated Palay Production,0201500000,Cagayan,5.1756,4.3786,5.1934,4.1928,5.3198,4.3657,4.9744,4.3936,5.2535,4.6139,5.037
Irrigated Palay Production,0203100000,Isabela,5.3483,4.7504,5.2445,5.0337,5.301,5.0828,5.2256,4.9768,5.4259,5.0282,5.3838
Irrigated Palay Production,0205000000,Nueva Vizcaya,4.9457,4.6336,4.5261,4.3469,4.6298,4.3585,4.5086,4.4554,5.101,4.8687,5.0366
Irrigated Palay Production,0205700000,Quirino,5.2645,4.5072,4.7686,4.5091,4.773,4.6913,4.3286,4.4045,5.103,4.4546,4.8574
Irrigated Palay Production,0300800000,Bataan,4.6713,3.9844,4.5954,3.8438,4.4699,3.8438,4.6679,3.6388,4.5055,3.47,4.518
Irrigated Palay Production,0301400000,Bulacan,4.6511,4.3962,4.6376,4.3766,4.7338,4.3572,4.5181,4.3398,4.6289,4.3963,5.0008
Irrigated Palay Production,0304900000,Nueva Ecija,5.9333,6.0433,6.7681,5.3605,6.4178,6.1298,6.531,5.4915,6.6136,5.3951,6.4356
Irrigated Palay Production,0305400000,Pampanga,5.0557,5.0299,5.0837,4.5763,5.1751,4.6396,5.0174,4.6447,5.1644,4.1974,5.4631
Irrigated Palay Production,0306900000,Tarlac,4.5162,4.2334,4.3964,4.2209,4.4072,4.3227,4.352,4.4516,4.5487,4.3763,4.6554
Irrigated Palay Production,0307100000,Zambales,4.3121,4.5705,4.2252,4.2964,4.2208,4.1768,4.5238,4.5691,4.711,4.4862,4.5663
Irrigated Palay Production,0307700000,Aurora,4.5746,4.3223,4.5912,4.2406,4.6564,4.1914,4.5598,3.7341,4.5514,3.5509,4.6643
Irrigated Palay Production,0401000000,Batangas,3.3628,3.3627,3.3928,3.2141,3.4278,3.4253,3.2614,2.8455,3.7022,2.8697,3.6933
Irrigated Palay Production,0402100000,Cavite,3.7447,3.8066,4.0979,3.5491,4.0694,3.7281,3.6581,3.2991,4.1634,3.3065,4.2332
Irrigated Palay Production,0403400000,Laguna,4.6337,3.7878,4.8778,3.7994,5.5538,3.8883,4.8416,2.7606,4.9603,3.3379,5.0935
Irrigated Palay Production,0405600000,Quezon,4.0026,3.7443,4.007,3.3211,4.029,3.9772,3.5962,3.3066,3.6597,3.0411,3.9934
Irrigated Palay Production,0405800000,Rizal,4.4156,3.9515,4.6541,3.5586,3.8717,3.8378,4.1975,3.1802,3.9613,3.4197,4.3371
Irrigated Palay Production,0500500000,Albay,4.3631,4.438,4.4736,4.3402,4.4678,4.5008,4.1963,3.7184,4.4109,3.896,3.9873
Irrigated Palay Production,0501600000,Camarines Norte,5.148,5.1059,4.7573,4.7992,4.6073,4.8499,4.4745,4.2818,4.5121,4.5337,4.5622
Irrigated Palay Production,0501700000,Camarines Sur,4.1462,4.0457,4.0326,3.8943,3.953,3.8206,3.9569,3.5749,4.0197,3.5163,4.0699
Irrigated Palay Production,0502000000,Catanduanes,2.9883,3.2792,3.3838,3.1219,2.7888,2.4539,4.1782,2.6251,3.9229,3.6576,3.2103
Irrigated Palay Production,0504100000,Masbate,3.1834,3.2558,3.2948,3.2372,3.0482,3.1713,2.8576,3.1648,3.5999,2.8348,3.5408
