Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Overall Jute Mallow Production,0102800000,Ilocos Norte,104.85,83.34,100.5,93.01,111.28,87.5,102.68,97.78,115.59,84.85,100.11,93.27,109.05,84.23,100.85,94.33,106.97,85.53,101.21,95.13,110.54
Overall Jute Mallow Production,0102900000,Ilocos Sur,14.19,18.59,51.54,30.0,17.15,22.03,66.68,32.92,15.67,22.66,52.65,31.99,15.59,23.29,53.72,31.17,14.76,24.58,54.52,31.06,14.81
Overall Jute Mallow Production,0103300000,La Union,5.41,15.86,11.85,7.21,5.87,16.1,12.07,7.58,5.49,16.87,11.3,7.15,5.6,16.97,11.94,7.71,5.85,17.36,12.77,5.81,5.38
Overall Jute Mallow Production,0105500000,Pangasinan,18.95,41.9,143.5,44.0,19.46,42.3,145.0,45.91,18.55,42.57,114.0,49.85,18.85,42.84,116.66,48.5,16.39,44.06,111.24,46.25,15.51
Overall Jute Mallow Production,0200900000,Batanes,,0.01,,0.04,,0.02,,0.05,,0.03,,0.08,,0.05,1.15,0.05,,,,0.06,
Overall Jute Mallow Production,0201500000,Cagayan,2.62,7.34,1.38,0.74,1.98,5.78,1.38,0.68,1.98,6.3,3.11,0.8,2.35,5.65,3.15,0.75,2.65,6.25,15.43,1.85,4.46
Overall Jute Mallow Production,0203100000,Isabela,6.19,2.91,4.98,4.51,5.49,2.7,4.73,4.28,4.95,2.5,4.73,4.1,5.22,2.8,5.2,3.6,5.32,3.0,4.97,3.99,5.05
Overall Jute Mallow Production,0205000000,Nueva Vizcaya,10.42,2.45,16.72,7.8,11.58,2.45,18.29,7.15,17.55,2.79,17.51,6.45,14.57,2.62,16.27,2.24,16.06,2.71,17.35,1.95,17.71
Overall Jute Mallow Production,0205700000,Quirino,2.05,1.27,2.6,1.51,2.16,1.68,3.15,1.41,1.84,2.13,3.31,1.42,2.12,1.96,3.83,1.72,1.98,2.47,3.57,2.65,1.53
Overall Jute Mallow Production,0300800000,Bataan,1.07,1.02,0.86,5.88,1.27,1.22,0.9,4.75,1.3,1.24,0.74,3.53,1.21,1.16,0.81,4.42,1.26,1.11,0.82,4.25,1.31
Overall Jute Mallow Production,0301400000,Bulacan,,,,,,,,,,,,0.02,5.75,61.76,50.42,6.32,5.65,5.7,52.86,6.2,5.7
Overall Jute Mallow Production,0304900000,Nueva Ecija,0.56,5.19,23.19,14.73,0.64,4.31,22.55,14.2,0.56,4.45,23.51,13.92,0.53,4.83,32.6,14.76,0.47,5.22,28.46,17.55,0.52
Overall Jute Mallow Production,0305400000,Pampanga,6.0,1.1,1.8,0.81,5.8,1.04,1.78,,5.95,1.06,1.76,,5.93,1.07,1.74,,5.89,1.06,1.76,,5.92
Overall Jute Mallow Production,0306900000,Tarlac,1.51,11.97,5.02,2.19,1.39,13.21,5.3,1.55,1.48,16.77,5.37,1.8,1.96,16.83,5.45,1.9,1.81,16.16,5.55,1.73,3.46
Overall Jute Mallow Production,0307100000,Zambales,6.76,11.81,16.83,6.05,7.0,11.13,14.66,6.84,6.79,8.16,3.04,6.1,5.41,10.29,6.86,2.37,0.03,1.54,1.33,3.04,5.77
Overall Jute Mallow Production,0307700000,Aurora,6.99,12.03,18.26,8.59,3.75,27.64,26.2,13.49,5.76,41.46,17.47,9.77,7.89,32.28,19.85,8.56,1.11,2.21,4.13,1.38,2.83
Overall Jute Mallow Production,0401000000,Batangas,,,,,,,,,,,,,,,,,,,,,
